longitude,latitude
51.0145140362,-42.8401351313
51.0142644271,-42.8395376618
51.0139648266,-42.8387786953
51.0133673125,-42.8382785311
51.0130015477,-42.8376004113
51.0124867725,-42.8370193825
51.0121211148,-42.8364058829
51.0113090954,-42.8364875329
51.0109270505,-42.8359871366
51.0114729131,-42.8353241901
51.0122340306,-42.834531771
51.0122660283,-42.8338370677
51.0115527333,-42.833482424
51.0111724289,-42.8340321066
51.0105265032,-42.8343235939
51.009764154,-42.8343728802
51.0097152604,-42.8348737406
51.010561125,-42.8352120865
51.0111733393,-42.8345813787
51.0108244436,-42.8340809467
51.0101445922,-42.8339039729
51.010361079,-42.8345176331
51.0111573271,-42.8349206528
51.0119685432,-42.834354351
51.0111231069,-42.8342744861
51.0103605167,-42.8341783769
51.010013174,-42.8346149383
51.0094822259,-42.8342762533
51.0096137513,-42.8336299081
51.0105923195,-42.8340327314
51.0104271362,-42.8343721662
