time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.484 0.002  -0.324 
0.03  -0.486 0.017  -0.325 0.47           0.08           0.47            98.50         153.53        98.48          1.04        0.93        1.04         26.54          2.13           26.60           71.96         151.41        71.88          
0.07  -0.490 0.041  -0.325 0.74           0.10           0.74            98.14         -178.35       98.14          1.15        0.90        1.15         39.12          -0.19          39.12           59.01         -178.16       59.01          
0.10  -0.493 0.063  -0.329 0.67           0.15           0.68            98.93         134.29        98.82          1.11        0.90        1.12         36.42          6.78           36.78           62.50         127.51        62.04          
0.13  -0.489 0.077  -0.325 0.43           0.15           0.45            75.29         -43.43        75.71          1.19        1.12        1.19         20.73          -5.37          21.30           54.57         -38.06        54.41          
0.17  -0.482 0.099  -0.323 0.69           0.24           0.69            70.39         -15.23        70.47          1.39        1.23        1.39         27.78          -2.93          27.89           42.61         -12.31        42.59          
0.20  -0.477 0.122  -0.319 0.69           0.19           0.70            78.89         -45.52        79.10          1.32        1.14        1.33         30.89          -6.82          31.39           48.00         -38.70        47.71          
0.23  -0.473 0.136  -0.313 0.45           0.22           0.48            71.35         -48.42        72.49          1.22        1.15        1.23         20.36          -8.03          21.65           50.99         -40.38        50.84          
0.27  -0.465 0.152  -0.306 0.52           0.32           0.57            65.54         -46.91        67.75          1.31        1.24        1.33         21.40          -10.79         23.54           44.14         -36.12        44.21          
0.30  -0.455 0.167  -0.291 0.55           0.54           0.71            57.64         -56.43        65.38          1.38        1.37        1.45         19.84          -19.00         26.51           37.80         -37.42        38.87          
0.33  -0.459 0.181  -0.278 0.43           0.39           0.57            102.59        -103.63       99.33          1.00        0.98        1.07         24.65          -22.90         31.96           77.94         -80.73        67.37          
0.37  -0.462 0.193  -0.266 0.37           0.39           0.52            105.07        -104.21       100.45         0.97        0.98        1.04         21.29          -22.50         29.63           83.78         -81.71        70.82          
0.40  -0.460 0.204  -0.245 0.33           0.62           0.70            80.49         -84.91        85.50          1.10        1.22        1.27         17.27          -30.33         33.53           63.21         -54.58        51.97          
0.43  -0.459 0.219  -0.221 0.47           0.71           0.85            88.39         -88.93        89.11          1.12        1.24        1.32         24.89          -35.08         40.09           63.50         -53.86        49.02          
0.47  -0.463 0.246  -0.194 0.81           0.83           1.16            97.44         -97.32        95.23          1.20        1.21        1.46         42.03          -42.51         52.12           55.41         -54.81        43.11          
0.50  -0.465 0.249  -0.170 0.12           0.72           0.72            129.29        -96.19        96.14          0.93        1.16        1.17         5.83           -37.61         37.85           123.46        -58.59        58.29          
0.53  -0.463 0.250  -0.154 0.08           0.50           0.50            9.07          -80.48        80.48          1.08        1.19        1.19         0.70           -24.39         24.40           8.37          -56.09        56.08          
0.57  -0.452 0.249  -0.132 0.34           0.74           0.74            -6.09         -63.00        63.03          1.33        1.49        1.49         -1.53          -26.15         26.19           -4.56         -36.84        36.84          
0.60  -0.447 0.254  -0.115 0.20           0.53           0.55            51.41         -76.29        76.87          1.14        1.24        1.25         7.96           -24.59         25.57           43.45         -51.70        51.30          
0.63  -0.440 0.265  -0.122 0.39           0.31           0.44            55.55         44.68         60.41          1.26        1.24        1.28         14.67          10.07          17.55           40.88         34.61         42.86          
0.67  -0.428 0.271  -0.126 0.42           0.39           0.43            26.74         17.03         30.52          1.39        1.38        1.39         7.80           4.76           9.11            18.93         12.27         21.41          
0.70  -0.417 0.284  -0.135 0.52           0.43           0.59            51.03         39.96         56.19          1.39        1.35        1.41         16.93          11.66          20.19           34.10         28.30         36.00          
0.73  -0.402 0.290  -0.140 0.49           0.47           0.51            22.13         17.37         27.16          1.46        1.46        1.47         7.21           5.56           9.07            14.92         11.82         18.10          
0.77  -0.396 0.290  -0.162 0.18           0.70           0.70            -7.18         75.11         75.11          1.18        1.36        1.36         -1.10          29.93          29.94           -6.07         45.18         45.17          
0.80  -0.390 0.284  -0.178 0.23           0.49           0.52            -47.31        71.35         72.42          1.17        1.25        1.26         -8.41          22.02          23.30           -38.90        49.34         49.12          
0.83  -0.381 0.284  -0.195 0.28           0.58           0.58            2.15          60.89         60.90          1.28        1.38        1.38         0.47           21.45          21.46           1.68          39.44         39.44          
0.87  -0.385 0.284  -0.214 0.11           0.60           0.60            178.24        100.17        100.17         0.89        1.07        1.07         0.21           33.52          33.52           178.03        66.66         66.66          
0.90  -0.384 0.279  -0.236 0.15           0.66           0.67            -87.07        89.34         89.35          1.02        1.20        1.21         -8.42          33.13          33.79           -78.66        56.21         55.57          
0.93  -0.382 0.279  -0.245 0.07           0.25           0.25            -19.58        75.02         75.08          1.07        1.09        1.09         -1.25          12.93          12.99           -18.33        62.09         62.10          
0.97  -0.381 0.251  -0.284 0.83           1.20           1.46            -86.95        87.89         88.27          1.33        1.59        1.79         -38.38         48.92          54.35           -48.57        38.97         33.92          
1.00  -0.362 0.236  -0.294 0.72           0.63           0.77            -38.11        26.53         42.91          1.62        1.59        1.65         -15.79         10.20          18.53           -22.32        16.33         24.39          
1.03  -0.357 0.235  -0.330 0.15           1.10           1.10            -14.51        82.58         82.59          1.14        1.58        1.58         -1.84          43.69          43.71           -12.66        38.89         38.88          
1.07  -0.345 0.233  -0.338 0.37           0.44           0.45            -10.44        33.50         34.49          1.37        1.39        1.39         -2.84          10.10          10.47           -7.61         23.41         24.02          
1.10  -0.332 0.230  -0.346 0.41           0.46           0.46            -10.31        29.72         30.93          1.40        1.42        1.42         -2.97          9.24           9.69            -7.34         20.48         21.24          
1.13  -0.312 0.227  -0.351 0.61           0.62           0.63            -9.47         13.63         16.40          1.61        1.61        1.61         -3.59          5.21           6.32            -5.88         8.42          10.08          
1.17  -0.298 0.225  -0.352 0.42           0.41           0.42            -9.29         6.62          11.34          1.41        1.41        1.41         -2.73          1.94           3.35            -6.56         4.68          8.00           
1.20  -0.289 0.209  -0.357 0.53           0.29           0.55            -60.93        27.49         61.89          1.34        1.27        1.35         -20.32         6.12           21.08           -40.61        21.38         40.81          
1.23  -0.274 0.193  -0.345 0.68           0.59           0.77            -46.75        -38.10        52.87          1.54        1.51        1.59         -18.60         -13.94         22.70           -28.15        -24.16        30.17          
1.27  -0.271 0.181  -0.336 0.37           0.27           0.45            -75.30        -69.51        77.88          1.15        1.12        1.18         -18.14         -12.95         21.82           -57.16        -56.56        56.07          
1.30  -0.256 0.163  -0.300 0.70           1.16           1.29            -52.27        -68.37        70.56          1.53        1.79        1.87         -21.17         -37.07         40.33           -31.10        -31.30        30.23          
1.33  -0.250 0.131  -0.278 0.97           0.70           1.18            -78.06        -73.28        80.19          1.53        1.37        1.67         -38.31         -29.08         44.01           -39.75        -44.19        36.17          
1.37  -0.252 0.132  -0.265 0.08           0.39           0.39            155.95        -100.19       100.16         0.93        1.01        1.01         1.91           -22.52         22.59           154.05        -77.67        77.58          
1.40  -0.249 0.127  -0.249 0.16           0.48           0.50            -62.11        -81.02        81.39          1.08        1.18        1.18         -7.53          -23.88         24.80           -54.58        -57.14        56.59          
1.43  -0.242 0.117  -0.225 0.38           0.76           0.82            -55.56        -73.28        74.62          1.26        1.42        1.45         -14.61         -30.76         33.01           -40.95        -42.53        41.61          
1.47  -0.240 0.116  -0.191 0.08           1.02           1.02            -11.42        -85.64        85.65          1.08        1.48        1.48         -0.84          -43.46         43.46           -10.59        -42.18        42.18          
1.50  -0.232 0.122  -0.190 0.30           0.23           0.30            39.15         -8.38         39.61          1.24        1.23        1.24         8.66           -1.58          8.80            30.49         -6.80         30.81          
1.53  -0.231 0.146  -0.188 0.72           0.06           0.72            86.95         -53.02        86.96          1.26        1.04        1.26         34.59          -2.79          34.66           52.36         -50.23        52.30          
1.57  -0.226 0.167  -0.179 0.64           0.32           0.70            77.51         -64.42        78.63          1.30        1.17        1.33         28.78          -14.27         31.19           48.72         -50.15        47.44          
1.60  -0.225 0.193  -0.182 0.79           0.10           0.80            88.34         76.89         88.36          1.29        1.03        1.30         37.64          5.47           37.86           50.70         71.42         50.50          
1.63  -0.221 0.224  -0.190 0.93           0.26           0.96            81.90         59.67         82.12          1.46        1.15        1.48         39.18          11.22          39.99           42.72         48.46         42.14          
1.67  -0.214 0.232  -0.187 0.31           0.21           0.32            50.23         -19.66        51.42          1.23        1.20        1.23         11.38          -3.42          11.86           38.85         -16.23        39.56          
1.70  -0.218 0.254  -0.204 0.68           0.53           0.85            98.94         101.45        97.08          1.12        1.03        1.23         36.73          30.08          43.37           62.21         71.38         53.72          
1.73  -0.211 0.253  -0.208 0.21           0.23           0.24            -11.79        30.48         31.99          1.20        1.21        1.21         -2.01          5.65           6.00            -9.78         24.83         25.99          
1.77  -0.216 0.273  -0.226 0.62           0.57           0.82            104.84        106.27        101.10         1.03        1.00        1.17         35.45          32.89          43.88           69.39         73.38         57.21          
1.80  -0.205 0.268  -0.224 0.38           0.36           0.39            -22.55        -13.61        25.67          1.36        1.35        1.36         -6.12          -3.58          7.07            -16.43        -10.03        18.60          
1.83  -0.209 0.269  -0.232 0.14           0.29           0.29            174.14        118.52        118.48         0.86        0.90        0.90         0.95           16.57          16.60           173.19        101.95        101.89         
1.87  -0.209 0.269  -0.256 0.01           0.70           0.70            -22.20        89.39         89.39          1.01        1.23        1.23         -0.17          34.91          34.91           -22.02        54.48         54.48          
1.90  -0.190 0.258  -0.265 0.66           0.65           0.72            -27.83        26.81         36.16          1.61        1.61        1.64         -10.96         10.50          15.01           -16.87        16.31         21.15          
1.93  -0.188 0.258  -0.277 0.06           0.35           0.35            -20.05        81.52         81.53          1.05        1.11        1.11         -1.03          18.34          18.37           -19.02        63.18         63.16          
1.97  -0.177 0.241  -0.281 0.60           0.36           0.62            -55.45        20.09         56.27          1.43        1.35        1.44         -20.33         5.33           20.91           -35.13        14.76         35.36          
2.00  -0.162 0.229  -0.297 0.58           0.64           0.74            -39.76        46.68         53.42          1.49        1.52        1.56         -14.31         18.01          22.46           -25.44        28.66         30.97          
2.03  -0.143 0.203  -0.314 0.96           0.77           1.09            -52.99        41.33         57.86          1.76        1.66        1.83         -25.96         17.89          30.29           -27.03        23.44         27.57          
2.07  -0.128 0.191  -0.321 0.57           0.48           0.61            -40.71        26.57         44.86          1.48        1.45        1.50         -14.55         8.58           16.71           -26.16        17.99         28.15          
2.10  -0.119 0.177  -0.316 0.50           0.31           0.52            -56.31        -26.53        57.68          1.35        1.29        1.35         -18.12         -6.22          19.03           -38.18        -20.31        38.65          
2.13  -0.108 0.160  -0.306 0.61           0.47           0.69            -56.45        -43.89        60.79          1.43        1.38        1.47         -20.83         -13.65         24.29           -35.62        -30.25        36.50          
2.17  -0.099 0.164  -0.301 0.28           0.29           0.31            23.57         -26.89        33.78          1.26        1.27        1.27         5.14           -5.96          7.85            18.44         -20.93        25.94          
2.20  -0.092 0.161  -0.287 0.22           0.47           0.48            -24.23        -64.25        64.76          1.21        1.27        1.28         -4.35          -19.30         19.72           -19.88        -44.94        45.04          
2.23  -0.085 0.162  -0.252 0.22           1.07           1.07            12.90         -78.37        78.38          1.22        1.60        1.61         2.33           -40.76         40.79           10.58         -37.61        37.59          
2.27  -0.077 0.161  -0.227 0.23           0.79           0.79            -7.61         -73.19        73.20          1.23        1.44        1.44         -1.43          -31.67         31.69           -6.18         -41.52        41.51          
2.30  -0.073 0.156  -0.217 0.21           0.33           0.36            -46.88        -64.15        66.71          1.15        1.18        1.19         -7.66          -14.56         16.31           -39.22        -49.58        50.41          
2.33  -0.064 0.153  -0.200 0.26           0.56           0.57            -23.26        -64.07        64.55          1.25        1.34        1.34         -4.80          -21.91         22.33           -18.45        -42.16        42.21          
2.37  -0.061 0.153  -0.190 0.12           0.34           0.34            0.24          -70.15        70.15          1.12        1.16        1.16         0.02           -16.12         16.12           0.21          -54.03        54.03          
2.40  -0.056 0.152  -0.164 0.15           0.78           0.78            -7.80         -79.12        79.12          1.15        1.38        1.38         -1.01          -33.77         33.78           -6.79         -45.35        45.35          
2.43  -0.055 0.155  -0.151 0.09           0.38           0.39            77.55         -87.08        87.16          1.02        1.09        1.09         4.89           -20.35         20.84           72.66         -66.73        66.32          
2.47  -0.053 0.163  -0.138 0.24           0.39           0.45            74.44         -80.73        81.99          1.09        1.13        1.15         12.08          -20.06         22.94           62.36         -60.67        59.05          
2.50  -0.048 0.162  -0.135 0.14           0.17           0.17            -3.62         -34.36        34.47          1.14        1.15        1.15         -0.45          -4.88          4.90            -3.17         -29.48        29.57          
2.53  -0.038 0.163  -0.116 0.31           0.65           0.65            4.69          -62.21        62.23          1.31        1.43        1.43         1.10           -23.91         23.93           3.59          -38.30        38.31          
2.57  -0.024 0.176  -0.099 0.58           0.65           0.76            42.74         -49.69        56.27          1.48        1.51        1.56         15.38          -19.33         24.02           27.36         -30.36        32.25          
2.60  -0.017 0.188  -0.102 0.41           0.21           0.42            62.07         25.95         62.82          1.25        1.20        1.25         16.97          4.50           17.49           45.10         21.45         45.33          
2.63  -0.008 0.192  -0.103 0.30           0.27           0.30            24.04         1.88          24.10          1.28        1.27        1.28         5.47           0.40           5.48            18.57         1.48          18.62          
2.67  -0.015 0.217  -0.105 0.76           0.21           0.76            104.78        159.68        104.72         1.09        0.81        1.09         42.38          5.09           42.52           62.40         154.59        62.20          
2.70  -0.017 0.225  -0.111 0.24           0.20           0.31            106.13        109.53        102.63         0.96        0.95        0.98         14.09          11.56          17.95           92.03         97.97         84.69          
2.73  -0.028 0.247  -0.123 0.75           0.48           0.83            115.72        132.17        113.04         0.95        0.76        1.02         44.86          27.88          48.41           70.87         104.29        64.63          
2.77  -0.047 0.265  -0.144 0.79           0.85           1.00            136.77        132.51        124.77         0.69        0.76        0.93         51.55          55.62          62.60           85.22         76.89         62.17          
2.80  -0.055 0.268  -0.152 0.27           0.34           0.36            158.23        137.85        135.31         0.75        0.78        0.79         7.78           17.20          18.69           150.46        120.65        116.62         
2.83  -0.070 0.270  -0.157 0.45           0.47           0.47            175.55        160.40        159.97         0.56        0.58        0.58         3.55           15.88          16.24           172.00        144.52        143.74         
2.87  -0.080 0.263  -0.170 0.35           0.47           0.51            -144.74       127.88        124.28         0.74        0.80        0.83         -16.00         27.53          30.75           -128.74       100.34        93.53          
2.90  -0.073 0.251  -0.184 0.40           0.47           0.58            -57.24        62.57         68.00          1.26        1.29        1.33         -15.56         19.04          23.92           -41.68        43.53         44.09          
2.93  -0.073 0.259  -0.202 0.22           0.55           0.59            96.02         92.35         92.19          1.00        1.12        1.14         12.42          29.52          31.28           83.60         62.82         60.90          
2.97  -0.070 0.253  -0.214 0.20           0.38           0.42            -61.76        75.62         76.97          1.11        1.16        1.17         -9.14          18.63          20.48           -52.62        56.99         56.49          
3.00  -0.059 0.240  -0.219 0.49           0.36           0.52            -47.98        24.01         50.09          1.38        1.34        1.39         -15.41         6.31           16.54           -32.56        17.70         33.55          
3.03  -0.059 0.243  -0.226 0.07           0.20           0.21            74.97         84.99         85.23          1.02        1.04        1.04         3.61           10.94          11.49           71.35         74.05         73.74          
