time,xvel
2.0184453228,-0.0001326365
2.2213438735,0.3004217842
2.3689064559,1.4067432422
2.4795783926,2.916014537
2.5718050066,4.1234050455
2.627140975,5.6330742499
2.7009222661,6.941268536
2.7747035573,8.5514762448
2.9960474308,8.3485423243
3.2173913043,8.0449372629
3.4571805007,8.9492532562
3.6600790514,8.5451096904
3.8445322793,8.5437833249
4.0843214756,8.240045627
4.2134387352,7.3330769027
4.4532279315,6.9286680638
4.6930171278,7.4302994933
4.8774703557,8.0329999735
5.1357048748,8.6351699074
5.2648221344,9.54028172
5.5415019763,9.5382921718
5.7075098814,9.23508502
5.9472990777,8.8306761811
6.187088274,8.6276096241
6.3899868248,9.2301774677
6.6113306983,10.0339549566
6.7957839262,10.7373265777
7.0909090909,11.0372178157
7.2938076416,10.4317319681
7.4967061924,9.8262461204
7.7733860343,9.4215720084
7.9578392622,8.5142053744
8.1238471673,7.707642518
8.2898550725,6.9010796615
8.3820816864,5.5916916466
8.4927536232,4.6848555588
8.5849802372,3.5768098257
8.6956521739,2.569302597
8.8063241107,1.2597819455
8.9723320158,1.0572459347
9.1198945982,2.0628962517
9.2121212121,3.0689444783
9.3043478261,4.074992705
9.3965744401,5.2823832135
9.488801054,6.3891025811
9.581027668,7.2944796668
9.6732542819,8.3005278935
9.8392621871,9.6080589967
10.0421607378,10.2106268403
10.2819499341,10.4102448471
10.5032938076,9.603284081
10.5770750988,8.9987266891
10.7061923584,7.9910868239
10.743083004,6.7827678595
10.8906455863,5.4729819349
11.0566534914,5.0691036422
11.2595520422,6.3763694724
11.4071146245,7.3820197894
11.5177865613,8.6899488023
11.628458498,9.8972066743
11.7575757576,10.8023184869
12.0158102767,10.5991192933
12.2740447958,11.1006180863
12.5138339921,11.6022495159
12.7351778656,12.104013582
12.882740448,10.8948987983
13.0487483531,9.88699366
13.1594202899,8.8794864313
13.2516469038,7.6707695573
13.3438735178,6.2607104014
13.4729907773,4.7497148314
13.5467720685,3.7424728758
13.6574440053,2.1309388015
13.768115942,0.82141815
14.0816864295,0.1144653421
14.303030303,1.0189139719
14.4690382082,2.628458498
14.5797101449,4.1377297928
14.6350461133,5.5467278563
14.7457180501,6.4519723055
14.930171278,7.5580284903
15.1515151515,6.8517388652
15.2806324111,5.4414144362
15.4097496706,4.0310900072
15.5204216074,2.7215693557
15.6126482213,1.5128524816
15.7971014493,0.001459002
15.9446640316,-0.2009443722
