time,yvel
1.9815546772,0.1008037775
2.2397891963,0.1996180067
2.442687747,0.1981590047
2.6824769433,-0.8102766798
2.8115942029,-1.3145608404
3.069828722,-1.9204445977
3.3465085639,-2.1237764278
3.5862977602,-0.8167758708
3.8076416337,-0.2143406637
4.1027667984,0.588906279
4.3610013175,1.090405072
4.5638998682,1.5923017747
4.8590250329,1.9928641536
5.0619235837,1.8907340107
5.2279314888,0.9835000133
5.3570487484,-0.3261532748
5.5415019763,-1.1328487678
5.7628458498,-1.5371249702
6.0395256917,-0.8344165318
6.1501976285,0.4735124811
6.3899868248,0.1697747831
6.6113306983,-0.9391994058
6.722002635,-2.0473777754
6.9249011858,-2.9548770459
7.0909090909,-3.1574130567
7.4044795784,-1.649600764
7.5704874835,-1.3487810701
7.7733860343,-0.2428575218
7.9209486166,1.1654773589
8.0685111989,2.5738122397
8.1976284585,3.982279757
8.3451910408,5.088601215
8.4927536232,6.094251532
8.6403162055,6.6972172852
8.9169960474,5.4871740457
9.0830039526,3.7745709208
9.2305665349,2.3641138552
9.3227931489,1.2560681221
9.4703557312,-0.3557312253
9.6916996047,-1.4647054142
10.0421607378,-1.8699100724
10.3557312253,-1.6708226119
10.7246376812,-0.9687773563
11.0197628458,-0.3668726954
11.277997365,0.5373106613
11.6837944664,1.5411040666
12.0342555995,1.6392551131
12.255599473,0.7316232061
12.4953886693,-0.1761413375
12.7536231884,-1.1847096586
13.0118577075,-1.7905934159
13.3992094862,-1.4913653606
13.7865612648,-1.4941507282
14.0447957839,-1.5966787808
14.2108036891,-0.8931745232
14.5428194993,0.0104782874
14.7088274045,1.0159959678
15.0039525692,0.7118603602
15.3359683794,0.4074594795
15.6679841897,0.1030585988
16,-0.1006711409
