time,yvel
6.4687873731,-2.5508273802
6.6463091887,-3.9804966555
6.7574291418,-5.1036328333
6.8686991556,-6.4308515718
6.979894139,-7.6560290299
7.3107779966,-7.6580753123
7.5303918403,-6.3329028562
7.6397860953,-5.1090895862
7.7708641223,-3.3752063335
8.0126119203,-2.1522115765
8.2322257641,-0.8270391204
8.5193669257,-1.3390189668
8.7389057391,0.0881947697
8.9141016138,1.8218051848
9.2001923505,2.7384032631
9.4220571049,1.0023373092
9.6661308438,-0.9379476243
9.7557921159,-2.8772776259
9.8892711142,-4.4087153439
10.0444338846,-5.4300830791
10.331950198,-6.4522693271
10.5752736334,-7.3721414572
10.7947374165,-5.8428864404
10.991992215,-4.1094124441
11.0351346681,-2.7831486374
11.2765823447,-1.1519887591
11.4295692348,0.7858406355
11.6925506228,3.1311530574
11.889955482,4.660544493
12.0430924328,6.3942913269
12.1524116574,7.7201458772
12.5265880288,8.8402808409
12.7702115856,7.5122435895
12.9919262793,5.9802601962
13.1912068973,4.9586196234
13.5007071042,4.0383382368
13.6344111936,2.2007766778
13.8119330093,0.7711074025
13.9894548249,-0.6585618728
14.0344730368,-1.8833300744
14.1681020958,-3.6188503531
14.2797472614,-5.4562754933
14.5436290136,-4.3354584355
14.8075107657,-3.2146413776
15.1602284561,-2.9107002378
15.3157663782,-4.4422743746
15.5154221481,-5.9741213491
15.7346608401,-4.1387424913
15.9974171369,-1.4873062284
16.0621683317,0.4510688415
16.1269195265,2.3894439114
16.1921209035,3.7155712993
16.345407915,5.2452355726
16.6090645761,6.6721764714
16.9853417974,4.9351555857
17.272257868,4.7292995803
17.7573291013,5.0324222072
17.9788937343,3.7045213746
18.1562654892,2.4789346599
18.2898945482,0.7434143813
18.4015397138,-1.0940107589
18.4688419406,-2.6250392204
18.6689478926,-4.7691338769
18.8022768302,-6.0964890342
19.1331606877,-6.0985353166
19.5519050889,-5.5909208725
19.97064949,-5.0833064285
20.1457703344,-3.2476547331
20.3656092692,-2.2286061179
20.6074320975,-1.1076526413
20.827196002,0.0134372542
21.0241506791,2.1550763718
21.0229501935,3.7877368572
21.2199048706,5.9293759748
21.4167845174,8.1730563728
21.7475933446,8.2730513708
21.7710778451,6.3341306256
21.8166212695,4.3950734615
21.8839234963,2.864045
21.9734347077,1.128797559
21.9971442993,-1.1162470272
22.1746661149,-2.5459163025
22.2424185239,-4.689192446
22.3101709328,-6.8324685896
22.4654837639,-8.0579188854
22.7523998345,-8.2637748908
22.9937724807,-6.5305737321
