time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.905 0.257  -0.637 
0.03  -0.896 0.251  -0.603 0.32           1.04           1.05            -34.14        -75.43        75.64          1.27        1.61        1.62         -7.99          -38.54         38.97           -26.15        -36.89        36.68          
0.07  -0.895 0.242  -0.572 0.30           0.96           1.00            -82.60        -87.72        87.82          1.08        1.41        1.44         -15.77         -42.65         43.93           -66.83        -45.07        43.89          
0.10  -0.893 0.240  -0.549 0.07           0.67           0.67            -44.73        -85.62        85.63          1.05        1.25        1.25         -2.77          -32.47         32.55           -41.96        -53.15        53.08          
0.13  -0.896 0.242  -0.517 0.11           0.96           0.96            154.65        -95.86        95.85          0.90        1.32        1.32         2.96           -46.74         46.77           151.69        -49.12        49.08          
0.17  -0.895 0.242  -0.504 0.06           0.41           0.41            23.23         -82.79        82.80          1.05        1.13        1.13         1.20           -21.14         21.17           22.02         -61.65        61.63          
0.20  -0.896 0.243  -0.493 0.05           0.33           0.33            161.47        -97.74        97.74          0.96        1.01        1.01         0.90           -19.05         19.07           160.57        -78.69        78.67          
0.23  -0.906 0.243  -0.485 0.30           0.39           0.39            176.36        -141.29       141.20         0.70        0.74        0.74         1.59           -19.30         19.35           174.77        -121.99       121.85         
0.27  -0.916 0.244  -0.474 0.29           0.44           0.44            175.27        -131.52       131.44         0.71        0.78        0.78         1.94           -24.81         24.87           173.33        -106.71       106.57         
0.30  -0.919 0.244  -0.462 0.10           0.37           0.37            -168.56       -104.47       104.45         0.91        0.98        0.98         -1.19          -21.70         21.72           -167.37       -82.78        82.73          
0.33  -0.925 0.238  -0.455 0.25           0.28           0.32            -140.20       -134.84       127.44         0.82        0.83        0.84         -11.37         -13.64         17.50           -128.82       -121.20       109.95         
0.37  -0.922 0.234  -0.445 0.16           0.33           0.35            -46.80        -70.46        71.63          1.12        1.15        1.16         -5.98          -15.49         16.51           -40.82        -54.96        55.12          
0.40  -0.923 0.224  -0.442 0.30           0.10           0.31            -96.80        -111.62       96.52          1.01        0.97        1.01         -17.10         -5.29          17.81           -79.70        -106.33       78.71          
0.43  -0.917 0.214  -0.433 0.37           0.32           0.45            -62.32        -57.88        68.07          1.21        1.20        1.24         -15.47         -13.02         19.83           -46.86        -44.86        48.25          
0.47  -0.899 0.204  -0.432 0.62           0.56           0.63            -26.89        -3.05         27.02          1.58        1.56        1.58         -10.29         -1.09          10.34           -16.60        -1.96         16.67          
0.50  -0.883 0.199  -0.427 0.50           0.50           0.53            -18.61        -18.62        25.47          1.48        1.48        1.49         -6.18          -6.19          8.71            -12.43        -12.43        16.76          
0.53  -0.859 0.188  -0.422 0.80           0.74           0.81            -23.74        -10.66        25.56          1.76        1.74        1.76         -10.51         -4.54          11.41           -13.23        -6.12         14.16          
0.57  -0.835 0.176  -0.407 0.80           0.84           0.91            -27.25        -32.37        39.24          1.75        1.77        1.80         -12.05         -14.72         18.71           -15.20        -17.65        20.53          
0.60  -0.813 0.171  -0.397 0.69           0.74           0.76            -12.40        -24.71        27.02          1.68        1.70        1.71         -5.06          -10.51         11.62           -7.34         -14.20        15.40          
0.63  -0.786 0.163  -0.381 0.81           0.91           0.94            -16.23        -30.69        33.47          1.80        1.84        1.86         -7.28          -14.60         16.18           -8.95         -16.09        17.29          
0.67  -0.767 0.158  -0.361 0.62           0.86           0.87            -16.60        -46.04        47.18          1.60        1.71        1.72         -6.34          -21.14         21.92           -10.26        -24.90        25.26          
0.70  -0.743 0.154  -0.346 0.72           0.83           0.84            -8.15         -30.98        31.68          1.71        1.76        1.77         -3.41          -14.02         14.39           -4.74         -16.96        17.29          
0.73  -0.720 0.155  -0.328 0.69           0.88           0.88            1.73          -37.99        38.01          1.69        1.77        1.77         0.71           -17.70         17.71           1.03          -20.29        20.30          
0.77  -0.701 0.168  -0.319 0.68           0.63           0.74            35.29         -27.48        41.30          1.61        1.58        1.63         14.20          -10.54         17.44           21.09         -16.95        23.86          
0.80  -0.678 0.184  -0.308 0.85           0.77           0.91            35.06         -24.49        39.92          1.77        1.73        1.80         16.11          -10.62         19.00           18.95         -13.87        20.92          
0.83  -0.652 0.183  -0.304 0.77           0.79           0.79            -3.36         -10.00        10.53          1.77        1.78        1.78         -1.47          -4.40          4.63            -1.90         -5.61         5.90           
0.87  -0.638 0.202  -0.300 0.70           0.43           0.71            53.58         -15.40        54.13          1.53        1.42        1.53         21.76          -4.64          22.16           31.81         -10.76        31.96          
0.90  -0.628 0.210  -0.300 0.39           0.31           0.39            37.38         0.91          37.39          1.33        1.31        1.33         10.17          0.21           10.18           27.21         0.70          27.21          
0.93  -0.620 0.220  -0.310 0.39           0.38           0.49            51.68         51.08         60.54          1.28        1.28        1.31         13.79          13.51          18.95           37.89         37.57         41.59          
0.97  -0.615 0.220  -0.327 0.16           0.53           0.53            6.49          72.24         72.26          1.16        1.27        1.27         0.91           23.51          23.52           5.58          48.73         48.73          
1.00  -0.606 0.228  -0.349 0.36           0.72           0.75            41.14         67.91         69.07          1.29        1.43        1.45         10.49          27.57          28.99           30.65         40.34         40.08          
1.03  -0.603 0.237  -0.372 0.28           0.70           0.75            73.24         83.35         83.79          1.11        1.29        1.32         14.03          32.84          34.69           59.21         50.51         49.11          
1.07  -0.602 0.246  -0.397 0.28           0.75           0.80            81.04         86.66         86.87          1.08        1.28        1.31         14.88          35.67          37.43           66.16         50.99         49.44          
1.10  -0.586 0.241  -0.423 0.50           0.91           0.93            -18.78        58.72         59.25          1.48        1.67        1.68         -6.24          27.90          28.40           -12.54        30.82         30.85          
1.13  -0.577 0.233  -0.449 0.36           0.82           0.85            -42.70        70.98         71.82          1.29        1.48        1.50         -10.99         31.41          32.65           -31.71        39.57         39.16          
1.17  -0.557 0.231  -0.477 0.60           1.03           1.04            -6.34         54.98         55.06          1.59        1.80        1.81         -2.37          27.99          28.06           -3.97         26.99         27.00          
1.20  -0.538 0.233  -0.500 0.58           0.89           0.90            6.89          49.55         49.69          1.58        1.72        1.72         2.54           23.28          23.39           4.35          26.26         26.30          
1.23  -0.511 0.219  -0.511 0.90           0.87           0.96            -27.14        22.50         33.39          1.85        1.83        1.88         -12.84         10.43          16.33           -14.31        12.07         17.06          
1.27  -0.504 0.211  -0.518 0.31           0.31           0.39            -48.00        47.28         57.19          1.23        1.23        1.25         -10.92         10.65          15.08           -37.08        36.62         42.11          
1.30  -0.488 0.200  -0.510 0.58           0.53           0.63            -35.78        -27.61        41.68          1.51        1.49        1.53         -13.00         -9.52          15.92           -22.77        -18.10        25.76          
1.33  -0.482 0.191  -0.483 0.33           0.85           0.89            -55.24        -77.03        77.67          1.22        1.45        1.47         -12.95         -34.73         36.14           -42.28        -42.30        41.53          
1.37  -0.477 0.176  -0.457 0.49           0.78           0.90            -71.41        -78.50        80.12          1.24        1.38        1.46         -21.77         -33.44         37.66           -49.64        -45.06        42.47          
1.40  -0.480 0.156  -0.420 0.60           1.12           1.27            -98.88        -94.72        94.17          1.08        1.44        1.56         -33.02         -50.92         54.31           -65.86        -43.80        39.86          
1.43  -0.490 0.144  -0.379 0.46           1.25           1.30            -128.83       -103.32       102.80         0.80        1.41        1.45         -26.67         -59.64         60.67           -102.16       -43.68        42.13          
1.47  -0.502 0.133  -0.345 0.50           1.11           1.16            -138.12       -109.85       108.96         0.71        1.21        1.26         -28.34         -59.03         60.27           -109.79       -50.82        48.68          
1.50  -0.507 0.113  -0.322 0.60           0.70           0.91            -104.80       -102.82       99.78          1.03        1.08        1.23         -34.62         -38.73         46.62           -70.19        -64.09        53.17          
1.53  -0.516 0.108  -0.286 0.32           1.13           1.14            -150.19       -104.03       103.89         0.74        1.31        1.32         -12.17         -56.43         56.69           -138.02       -47.60        47.20          
1.57  -0.523 0.104  -0.257 0.23           0.89           0.90            -146.33       -102.18       102.06         0.82        1.19        1.20         -8.78          -47.05         47.35           -137.55       -55.12        54.71          
1.60  -0.511 0.102  -0.237 0.36           0.68           0.68            -10.81        -58.30        58.48          1.36        1.48        1.48         -2.88          -23.08         23.22           -7.93         -35.23        35.26          
1.63  -0.512 0.103  -0.223 0.06           0.45           0.45            152.29        -96.52        96.51          0.95        1.05        1.05         1.61           -25.05         25.09           150.69        -71.48        71.43          
1.67  -0.500 0.108  -0.209 0.40           0.55           0.58            25.43         -48.94        51.17          1.37        1.43        1.44         7.22           -17.00         18.31           18.21         -31.94        32.86          
1.70  -0.501 0.109  -0.197 0.04           0.35           0.35            152.45        -95.16        95.15          0.97        1.03        1.03         0.96           -19.58         19.60           151.49        -75.58        75.56          
1.73  -0.492 0.107  -0.174 0.27           0.74           0.74            -9.19         -68.72        68.76          1.27        1.45        1.45         -1.97          -28.62         28.66           -7.22         -40.11        40.10          
1.77  -0.493 0.104  -0.155 0.11           0.56           0.57            -103.69       -92.69        92.65          0.98        1.12        1.13         -6.31          -29.80         30.26           -97.38        -62.89        62.39          
1.80  -0.495 0.109  -0.137 0.17           0.55           0.57            112.71        -96.69        96.44          0.95        1.09        1.10         9.35           -30.44         31.39           103.36        -66.25        65.05          
1.83  -0.498 0.110  -0.113 0.08           0.72           0.72            151.20        -95.68        95.67          0.93        1.17        1.17         2.42           -37.75         37.79           148.78        -57.93        57.88          
1.87  -0.493 0.103  -0.093 0.25           0.61           0.65            -55.44        -76.77        77.46          1.16        1.29        1.30         -10.13         -27.65         28.97           -45.31        -49.13        48.49          
1.90  -0.486 0.096  -0.076 0.31           0.58           0.62            -44.38        -67.10        68.68          1.24        1.33        1.35         -10.16         -23.44         25.14           -34.22        -43.66        43.54          
1.93  -0.474 0.098  -0.057 0.36           0.67           0.68            9.17          -58.07        58.20          1.36        1.47        1.47         2.43           -22.84         22.95           6.75          -35.23        35.26          
1.97  -0.465 0.109  -0.041 0.41           0.53           0.62            51.44         -61.28        65.70          1.29        1.34        1.38         14.28          -20.31         24.19           37.16         -40.97        41.51          
2.00  -0.458 0.108  -0.034 0.22           0.31           0.31            -7.95         -44.10        44.40          1.22        1.24        1.24         -1.44          -9.92          10.02           -6.50         -34.19        34.38          
2.03  -0.448 0.114  -0.033 0.35           0.29           0.35            34.95         -7.61         35.44          1.30        1.29        1.30         8.80           -1.69          8.96            26.15         -5.91         26.48          
2.07  -0.447 0.122  -0.036 0.24           0.12           0.26            76.72         62.67         77.88          1.08        1.06        1.09         12.57          5.81           13.77           64.15         56.85         64.11          
2.10  -0.453 0.131  -0.042 0.33           0.26           0.38            123.11        134.37        118.48         0.87        0.84        0.88         18.54          12.60          21.95           104.56        121.77        96.53          
2.13  -0.456 0.138  -0.050 0.22           0.24           0.31            114.60        113.03        107.30         0.93        0.93        0.95         12.60          13.53          18.18           102.01        99.49         89.12          
2.17  -0.462 0.139  -0.077 0.20           0.85           0.85            169.19        103.45        103.44         0.80        1.15        1.15         2.68           45.73          45.76           166.51        57.72         57.67          
2.20  -0.470 0.143  -0.090 0.24           0.45           0.46            156.27        119.35        118.63         0.79        0.87        0.88         7.04           26.54          27.23           149.23        92.81         91.40          
2.23  -0.468 0.142  -0.110 0.05           0.59           0.59            -23.28        85.74         85.74          1.04        1.20        1.20         -1.04          29.55          29.56           -22.24        56.19         56.18          
2.27  -0.470 0.133  -0.126 0.27           0.48           0.54            -104.21       98.03         97.03          0.97        1.05        1.08         -15.70         26.77          30.01           -88.52        71.26         67.02          
2.30  -0.469 0.130  -0.142 0.10           0.49           0.50            -60.31        84.43         84.51          1.05        1.15        1.16         -4.53          24.89          25.21           -55.77        59.54         59.30          
2.33  -0.467 0.132  -0.160 0.06           0.55           0.56            39.81         85.32         85.34          1.05        1.18        1.18         2.06           27.86          27.92           37.74         57.46         57.42          
2.37  -0.455 0.142  -0.180 0.48           0.71           0.77            38.33         57.93         60.69          1.41        1.51        1.54         12.26          23.69          26.09           26.06         34.24         34.60          
2.40  -0.444 0.148  -0.191 0.37           0.45           0.48            30.26         44.82         49.05          1.33        1.35        1.37         7.97           13.41          15.46           22.29         31.41         33.59          
2.43  -0.432 0.149  -0.204 0.35           0.51           0.52            7.88          47.82         48.05          1.35        1.40        1.40         2.03           15.82          15.94           5.84          32.00         32.11          
2.47  -0.424 0.159  -0.218 0.38           0.52           0.59            45.83         59.05         62.97          1.30        1.34        1.37         12.25          19.37          22.45           33.59         39.68         40.52          
2.50  -0.422 0.156  -0.223 0.09           0.14           0.16            -63.19        71.98         74.70          1.05        1.05        1.05         -4.58          7.09           8.42            -58.61        64.88         66.28          
2.53  -0.414 0.161  -0.230 0.27           0.31           0.35            31.63         42.07         47.54          1.24        1.25        1.26         6.65           9.70           11.69           24.97         32.37         35.84          
2.57  -0.412 0.167  -0.233 0.19           0.12           0.22            70.78         58.59         73.16          1.08        1.07        1.08         9.65           5.54           11.07           61.14         53.05         62.09          
2.60  -0.413 0.171  -0.242 0.13           0.25           0.29            96.85         93.58         93.18          0.99        1.02        1.02         7.64           14.45          16.20           89.21         79.13         76.98          
2.63  -0.413 0.177  -0.247 0.19           0.16           0.25            89.22         89.11         89.41          1.02        1.02        1.03         10.60          9.27           13.95           78.62         79.84         75.47          
2.67  -0.415 0.176  -0.256 0.09           0.27           0.27            -143.66       105.70        105.39         0.93        0.96        0.96         -3.28          15.49          15.80           -140.38       90.20         89.58          
2.70  -0.417 0.182  -0.261 0.21           0.16           0.26            103.16        107.66        100.67         0.97        0.96        0.99         12.39          9.16           15.24           90.77         98.50         85.42          
2.73  -0.415 0.175  -0.254 0.22           0.20           0.29            -76.22        -74.96        79.73          1.07        1.07        1.09         -11.28         -10.32         15.11           -64.94        -64.64        64.62          
2.77  -0.411 0.175  -0.249 0.14           0.21           0.21            -7.68         -51.06        51.23          1.13        1.15        1.15         -0.92          -8.35          8.40            -6.77         -42.72        42.83          
2.80  -0.406 0.174  -0.237 0.15           0.39           0.39            -8.72         -67.57        67.61          1.15        1.20        1.20         -1.13          -17.31         17.34           -7.59         -50.26        50.27          
2.83  -0.395 0.181  -0.231 0.39           0.36           0.42            33.13         -26.45        39.37          1.34        1.34        1.35         9.12           -6.98          11.42           24.01         -19.47        27.96          
2.87  -0.373 0.177  -0.219 0.66           0.75           0.76            -10.43        -29.45        30.71          1.65        1.69        1.69         -4.15          -12.54         13.17           -6.28         -16.91        17.53          
2.90  -0.359 0.181  -0.211 0.46           0.51           0.52            15.93         -29.98        32.76          1.44        1.46        1.46         4.96           -9.96          11.08           10.96         -20.02        21.68          
2.93  -0.351 0.182  -0.202 0.22           0.34           0.34            7.77          -49.27        49.46          1.22        1.25        1.25         1.41           -11.86         11.94           6.36          -37.41        37.52          
2.97  -0.333 0.197  -0.200 0.70           0.54           0.70            40.12         -7.65         40.48          1.60        1.54        1.60         16.35          -2.68          16.55           23.77         -4.97         23.93          
3.00  -0.316 0.213  -0.199 0.69           0.51           0.69            42.52         -2.63         42.56          1.58        1.51        1.58         17.22          -0.89          17.24           25.31         -1.74         25.32          
3.03  -0.319 0.225  -0.198 0.37           0.09           0.37            102.87        -157.95       102.81         0.99        0.92        0.99         21.30          -2.07          21.38           81.57         -155.88       81.43          
3.07  -0.318 0.243  -0.202 0.55           0.12           0.56            86.68         75.09         86.75          1.17        1.04        1.17         27.93          6.59           28.48           58.75         68.50         58.27          
3.10  -0.330 0.258  -0.210 0.59           0.44           0.64            129.29        147.67        126.00         0.78        0.67        0.81         36.09          20.68          39.38           93.20         126.98        86.62          
3.13  -0.347 0.274  -0.221 0.68           0.59           0.76            135.20        144.81        129.39         0.71        0.62        0.78         43.01          33.52          48.85           92.19         111.29        80.54          
3.17  -0.350 0.272  -0.238 0.12           0.50           0.50            -146.42       101.33        101.24         0.90        1.03        1.03         -4.13          28.50          28.71           -142.28       72.83         72.53          
3.20  -0.365 0.281  -0.249 0.52           0.56           0.62            148.86        142.52        135.69         0.62        0.65        0.70         25.76          31.48          37.94           123.10        111.04        97.75          
3.23  -0.368 0.288  -0.255 0.22           0.21           0.30            112.87        113.96        107.01         0.94        0.93        0.96         12.76          12.13          17.34           100.11        101.83        89.67          
3.27  -0.375 0.291  -0.263 0.25           0.32           0.33            157.71        138.12        135.41         0.77        0.79        0.80         7.19           15.43          16.88           150.51        122.69        118.52         
3.30  -0.375 0.293  -0.273 0.06           0.31           0.32            77.07         87.52         87.57          1.02        1.06        1.06         3.31           17.09          17.37           73.75         70.44         70.20          
3.33  -0.369 0.294  -0.285 0.19           0.42           0.42            9.69          63.38         63.46          1.19        1.24        1.25         1.54           17.48          17.54           8.14          45.90         45.93          
3.37  -0.366 0.307  -0.296 0.40           0.33           0.51            77.10         74.19         79.90          1.16        1.13        1.20         19.68          16.13          24.70           57.42         58.06         55.21          
3.40  -0.352 0.294  -0.304 0.57           0.48           0.62            -44.60        32.12         49.46          1.46        1.43        1.48         -15.87         10.25          18.62           -28.74        21.86         30.84          
3.43  -0.337 0.296  -0.318 0.47           0.61           0.61            8.26          40.51         40.91          1.47        1.52        1.52         2.64           15.16          15.36           5.63          25.35         25.55          
3.47  -0.318 0.289  -0.338 0.61           0.83           0.86            -21.83        46.56         48.48          1.59        1.68        1.70         -8.27          20.97          22.29           -13.56        25.59         26.19          
3.50  -0.304 0.293  -0.353 0.45           0.62           0.64            18.59         46.64         48.01          1.44        1.50        1.51         5.76           17.61          18.42           12.83         29.03         29.59          
3.53  -0.289 0.291  -0.377 0.44           0.86           0.86            -9.55         59.57         59.69          1.44        1.61        1.61         -2.91          27.23          27.34           -6.64         32.34         32.35          
3.57  -0.279 0.303  -0.396 0.48           0.63           0.73            50.71         61.08         65.40          1.36        1.42        1.46         15.93          22.91          27.02           34.78         38.17         38.38          
3.60  -0.267 0.306  -0.405 0.37           0.46           0.47            14.40         39.33         40.65          1.36        1.39        1.39         3.87           12.19          12.76           10.53         27.13         27.89          
3.63  -0.264 0.306  -0.425 0.09           0.61           0.61            -16.07        81.44         81.45          1.09        1.24        1.24         -1.37          28.81          28.83           -14.71        52.63         52.61          
3.67  -0.261 0.310  -0.444 0.15           0.57           0.58            50.52         80.15         80.36          1.10        1.23        1.24         6.18           27.18          27.69           44.34         52.96         52.66          
3.70  -0.257 0.304  -0.450 0.19           0.22           0.27            -53.80        58.76         64.97          1.12        1.13        1.14         -7.92          9.52           12.29           -45.89        49.23         52.67          
3.73  -0.256 0.306  -0.477 0.06           0.80           0.80            56.44         87.63         87.64          1.03        1.30        1.30         2.75           37.60          37.65           53.69         50.03         49.98          
3.77  -0.255 0.305  -0.502 0.04           0.74           0.74            -42.64        87.95         87.95          1.03        1.26        1.26         -1.36          35.74          35.76           -41.28        52.20         52.19          
3.80  -0.251 0.294  -0.528 0.35           0.80           0.86            -69.64        81.32         81.97          1.17        1.37        1.41         -16.13         35.11          37.24           -53.52        46.22         44.73          
3.83  -0.253 0.317  -0.538 0.67           0.30           0.73            93.95         98.96         93.62          1.17        1.00        1.20         35.06          17.09          37.46           58.90         81.87         56.16          
3.87  -0.239 0.299  -0.555 0.68           0.66           0.85            -53.12        51.79         61.49          1.51        1.50        1.60         -21.10         20.20          28.07           -32.01        31.59         33.43          
3.90  -0.244 0.309  -0.603 0.34           1.45           1.48            117.71        96.29         96.16          0.89        1.66        1.69         19.71          59.63          60.17           98.00         36.66         35.99          
3.93  -0.246 0.319  -0.616 0.31           0.41           0.51            101.45        98.65         96.94          0.99        1.02        1.07         17.95          23.33          28.35           83.50         75.32         68.59          
3.97  -0.246 0.335  -0.639 0.49           0.67           0.84            89.93         89.95         89.96          1.12        1.21        1.30         26.28          33.95          39.86           63.64         55.99         50.09          
4.00  -0.251 0.360  -0.653 0.75           0.44           0.86            101.16        109.28        99.75          1.13        0.95        1.20         40.73          25.91          44.68           60.43         83.37         55.08          
4.03  -0.252 0.382  -0.666 0.67           0.41           0.78            91.27         92.08         91.08          1.19        1.07        1.26         34.06          22.35          38.35           57.21         69.74         52.73          
4.07  -0.279 0.399  -0.667 0.97           0.82           0.97            147.69        178.16        147.66         0.55        0.19        0.55         70.42          8.12           70.44           77.27         170.05        77.22          
4.10  -0.326 0.421  -0.664 1.57           1.43           1.57            155.18        -177.00       155.04         0.79        0.43        0.79         122.90         -170.06        122.73          32.28         -6.94         32.31          
4.13  -0.348 0.436  -0.655 0.79           0.72           0.84            146.87        -156.66       141.96         0.55        0.44        0.62         51.43          -39.65         56.36           95.44         -117.02       85.60          
4.17  -0.371 0.454  -0.644 0.86           0.75           0.93            141.00        -153.66       136.49         0.64        0.47        0.72         58.85          -45.33         62.72           82.15         -108.32       73.77          
4.20  -0.378 0.454  -0.637 0.21           0.29           0.29            174.04        -136.66       136.48         0.79        0.81        0.81         1.60           -14.21         14.30           172.44        -122.45       122.19         
4.23  -0.389 0.455  -0.623 0.35           0.55           0.55            177.41        -130.11       130.09         0.65        0.77        0.77         1.41           -32.79         32.81           176.00        -97.32        97.28          
