time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.225 0.240  -0.435 
0.03  -0.226 0.233  -0.435 0.22           0.03           0.22            -96.52        157.93        96.51          0.32        0.23        0.32         -44.49         2.61           44.52           -52.03        155.32        51.99          
0.07  -0.225 0.216  -0.420 0.51           0.46           0.69            -85.63        -85.19        86.76          0.58        0.54        0.74         -60.32         -57.88         67.12           -25.31        -27.31        19.64          
0.10  -0.225 0.199  -0.409 0.51           0.32           0.60            -91.91        -93.02        91.61          0.56        0.40        0.64         -65.34         -54.00         68.79           -26.57        -39.02        22.83          
0.13  -0.233 0.196  -0.397 0.26           0.45           0.46            -158.09       -123.23       122.36         0.10        0.37        0.39         -86.87         -89.17         89.20           -71.22        -34.06        33.16          
0.17  -0.226 0.176  -0.364 0.64           1.00           1.17            -68.73        -76.60        78.51          0.77        1.09        1.24         -51.04         -63.67         67.11           -17.69        -12.93        11.40          
0.20  -0.230 0.172  -0.356 0.17           0.28           0.31            -136.80       -115.98       113.90         0.17        0.28        0.31         -42.85         -63.74         65.84           -93.95        -52.24        48.06          
0.23  -0.229 0.151  -0.326 0.64           0.91           1.11            -87.91        -88.53        88.80          0.70        0.95        1.15         -66.91         -73.29         76.21           -21.00        -15.24        12.59          
0.27  -0.230 0.134  -0.297 0.48           0.87           0.99            -92.33        -91.30        91.14          0.54        0.90        1.02         -64.57         -75.12         76.94           -27.76        -16.18        14.20          
0.30  -0.235 0.124  -0.279 0.36           0.56           0.64            -117.31       -107.07       104.79         0.33        0.54        0.63         -74.91         -80.89         82.15           -42.41        -26.19        22.64          
0.33  -0.229 0.124  -0.245 0.20           1.04           1.04            -2.41         -78.96        78.96          0.45        1.12        1.12         -1.07          -66.26         66.26           -1.34         -12.70        12.70          
0.37  -0.224 0.101  -0.231 0.68           0.44           0.80            -77.52        -70.40        79.35          0.78        0.58        0.88         -59.22         -46.23         63.17           -18.30        -24.17        16.18          
0.40  -0.217 0.108  -0.208 0.28           0.73           0.76            47.21         -74.56        75.17          0.49        0.83        0.85         25.22          -57.64         58.73           21.99         -16.92        16.44          
0.43  -0.212 0.108  -0.186 0.15           0.68           0.68            -0.07         -76.73        76.73          0.40        0.77        0.77         -0.03          -58.35         58.35           -0.04         -18.38        18.38          
0.47  -0.208 0.108  -0.155 0.12           0.94           0.94            -2.59         -82.46        82.46          0.37        1.00        1.00         -0.86          -68.18         68.18           -1.73         -14.28        14.28          
0.50  -0.200 0.112  -0.121 0.26           1.05           1.06            29.90         -77.38        77.48          0.50        1.13        1.14         15.37          -64.89         65.07           14.53         -12.49        12.41          
0.53  -0.191 0.112  -0.091 0.26           0.94           0.94            -4.63         -73.83        73.83          0.51        1.04        1.04         -2.37          -60.45         60.46           -2.26         -13.38        13.38          
0.57  -0.187 0.130  -0.082 0.56           0.29           0.61            76.46         -63.62        77.78          0.66        0.46        0.71         54.87          -34.60         57.67           21.60         -29.02        20.11          
0.60  -0.176 0.141  -0.050 0.47           1.00           1.05            44.93         -70.44        71.49          0.67        1.11        1.16         29.71          -58.16         59.66           15.22         -12.28        11.83          
0.63  -0.175 0.162  -0.043 0.63           0.24           0.67            87.53         -83.36        87.68          0.69        0.36        0.73         66.26          -40.16         67.60           21.26         -43.20        20.08          
0.67  -0.163 0.178  -0.018 0.60           0.81           0.95            54.08         -64.28        68.14          0.77        0.95        1.06         38.91          -50.52         55.55           15.17         -13.76        12.59          
0.70  -0.157 0.187  0.008  0.33           0.82           0.87            57.76         -77.55        78.23          0.51        0.91        0.95         33.29          -61.94         63.29           24.47         -15.61        14.94          
0.73  -0.149 0.219  0.015  0.99           0.32           1.01            75.04         -37.71        75.34          1.08        0.54        1.10         62.10          -21.31         62.59           12.94         -16.40        12.75          
0.77  -0.144 0.239  0.026  0.60           0.34           0.68            76.94         -66.76        78.46          0.70        0.50        0.77         56.58          -39.31         59.86           20.36         -27.45        18.60          
0.80  -0.143 0.259  0.031  0.60           0.16           0.62            86.24         -75.72        86.36          0.67        0.33        0.68         64.27          -28.15         64.99           21.97         -47.57        21.38          
0.83  -0.128 0.275  0.030  0.67           0.46           0.67            46.29         1.69          46.30          0.86        0.71        0.86         34.18          1.09           34.19           12.11         0.59          12.11          
0.87  -0.123 0.307  0.033  0.97           0.16           0.97            81.60         -27.02        81.63          1.04        0.40        1.04         67.79          -10.45         67.85           13.81         -16.57        13.78          
0.90  -0.119 0.324  0.021  0.53           0.36           0.63            76.64         70.09         78.77          0.64        0.50        0.72         54.13          42.20          58.84           22.51         27.89         19.93          
0.93  -0.115 0.334  0.002  0.32           0.58           0.65            70.08         79.30         80.49          0.47        0.67        0.74         39.79          57.95          60.97           30.29         21.35         19.52          
0.97  -0.108 0.328  -0.002 0.30           0.26           0.32            -39.75        28.35         44.75          0.52        0.50        0.53         -21.75         14.51          25.44           -18.00        13.84         19.32          
1.00  -0.110 0.327  -0.010 0.07           0.26           0.26            -174.36       106.44        106.43         0.18        0.30        0.30         -2.34          54.51          54.52           -172.02       51.93         51.91          
1.03  -0.110 0.326  -0.022 0.03           0.35           0.35            -60.56        87.79         87.79          0.26        0.44        0.44         -5.21          53.11          53.18           -55.35        34.68         34.62          
1.07  -0.103 0.302  -0.041 0.77           0.62           0.96            -75.21        71.54         78.30          0.86        0.74        1.04         -58.96         52.73          64.73           -16.26        18.82         13.57          
1.10  -0.100 0.285  -0.067 0.50           0.78           0.92            -79.42        83.24         84.29          0.60        0.85        0.98         -55.22         66.22          69.59           -24.20        17.02         14.69          
1.13  -0.093 0.266  -0.091 0.62           0.74           0.94            -70.85        74.02         77.54          0.74        0.84        1.02         -52.20         57.39          63.73           -18.65        16.63         13.81          
1.17  -0.093 0.265  -0.117 0.03           0.79           0.79            -74.21        89.41         89.41          0.26        0.83        0.83         -6.31          71.85          71.86           -67.90        17.56         17.55          
1.20  -0.085 0.250  -0.150 0.50           1.02           1.11            -62.91        77.10         78.20          0.65        1.10        1.19         -42.95         64.32          66.30           -19.96        12.79         11.89          
1.23  -0.075 0.243  -0.181 0.39           0.98           1.00            -35.71        71.05         71.56          0.61        1.08        1.11         -21.90         58.45          59.20           -13.81        12.60         12.36          
1.27  -0.064 0.235  -0.211 0.41           0.98           1.00            -35.35        70.15         70.72          0.63        1.09        1.11         -22.02         57.65          58.47           -13.33        12.50         12.25          
1.30  -0.061 0.241  -0.241 0.22           0.88           0.90            62.77         83.55         83.70          0.40        0.94        0.96         28.78          68.19          68.65           33.99         15.36         15.04          
1.33  -0.041 0.227  -0.268 0.72           1.00           1.09            -36.05        54.30         57.52          0.94        1.16        1.24         -27.00         44.26          47.72           -9.05         10.04         9.80           
1.37  -0.032 0.227  -0.310 0.27           1.29           1.29            2.08          77.87         77.87          0.52        1.37        1.37         1.08           67.58          67.58           1.00          10.29         10.29          
1.40  -0.013 0.213  -0.331 0.72           0.87           0.97            -35.93        48.01         52.99          0.94        1.06        1.14         -26.91         37.90          42.90           -9.01         10.12         10.09          
1.43  -0.002 0.214  -0.353 0.31           0.73           0.73            3.27          65.05         65.06          0.56        0.86        0.86         1.80           49.81          49.82           1.47          15.24         15.23          
1.47  0.019  0.202  -0.359 0.73           0.66           0.75            -27.85        13.92         30.27          0.96        0.91        0.97         -20.84         10.12          22.81           -7.01         3.80          7.46           
1.50  0.033  0.206  -0.370 0.43           0.54           0.55            12.72         40.21         41.19          0.67        0.75        0.76         8.02           27.82          28.65           4.70          12.39         12.54          
