time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.182 0.272  -0.232 
0.03  -1.153 0.268  -0.244 0.88           0.94           0.95            -7.10         22.16         23.07          1.13        1.18        1.18         -5.53          17.57          18.32           -1.57         4.59          4.75           
0.07  -1.143 0.283  -0.257 0.53           0.51           0.67            54.05         52.37         62.16          0.71        0.69        0.82         37.43          35.75          46.42           16.62         16.61         15.73          
0.10  -1.133 0.301  -0.270 0.61           0.49           0.72            61.13         52.38         65.85          0.77        0.67        0.86         44.53          35.14          50.42           16.60         17.24         15.43          
0.13  -1.117 0.322  -0.282 0.82           0.60           0.89            53.59         36.37         57.06          0.99        0.82        1.05         41.81          25.91          45.51           11.78         10.46         11.55          
0.17  -1.110 0.338  -0.293 0.53           0.41           0.63            65.34         57.36         69.54          0.67        0.58        0.75         45.55          36.15          51.43           19.79         21.21         18.10          
0.20  -1.099 0.346  -0.295 0.39           0.32           0.40            37.63         9.23          38.24          0.61        0.56        0.61         23.14          5.15           23.60           14.49         4.08          14.64          
0.23  -1.081 0.356  -0.297 0.63           0.56           0.63            28.48         6.01          28.92          0.86        0.81        0.86         20.49          4.15           20.84           7.98          1.86          8.08           
0.27  -1.074 0.351  -0.297 0.28           0.22           0.28            -38.99        0.50          39.00          0.50        0.47        0.50         -20.58         0.23           20.59           -18.41        0.27          18.41          
0.30  -1.063 0.336  -0.292 0.55           0.37           0.57            -52.60        -24.56        54.18          0.73        0.60        0.74         -36.76         -14.62         38.35           -15.85        -9.94         15.83          
0.33  -1.043 0.315  -0.285 0.86           0.62           0.88            -47.37        -19.58        48.82          1.05        0.86        1.07         -37.24         -13.97         38.65           -10.14        -5.61         10.17          
0.37  -1.038 0.288  -0.272 0.83           0.42           0.91            -79.25        -68.25        80.27          0.91        0.56        0.99         -63.54         -43.72         65.80           -15.71        -24.53        14.47          
0.40  -1.029 0.270  -0.250 0.58           0.71           0.88            -63.87        -68.62        72.99          0.73        0.83        0.98         -45.97         -52.36         58.92           -17.90        -16.26        14.07          
0.43  -1.025 0.244  -0.217 0.80           1.01           1.28            -81.30        -83.10        84.57          0.87        1.07        1.33         -64.88         -69.65         73.78           -16.42        -13.44        10.79          
0.47  -1.017 0.205  -0.186 1.21           0.95           1.52            -78.00        -74.73        80.48          1.28        1.05        1.58         -67.02         -61.41         71.50           -10.98        -13.31        8.98           
0.50  -1.013 0.182  -0.169 0.68           0.52           0.85            -78.92        -75.49        81.13          0.77        0.63        0.92         -60.30         -52.98         65.54           -18.62        -22.51        15.59          
0.53  -1.009 0.157  -0.147 0.76           0.69           1.03            -82.32        -81.51        84.29          0.84        0.77        1.08         -65.06         -62.77         70.97           -17.26        -18.74        13.32          
0.57  -0.990 0.146  -0.125 0.67           0.86           0.93            -29.90        -47.89        51.27          0.89        1.05        1.10         -21.88         -37.69         41.05           -8.02         -10.20        10.22          
