time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.646 0.034  -0.162 
0.03  -0.621 0.035  -0.169 0.75           0.78           0.78            1.50          17.03         17.08          1.00        1.02        1.02         1.12           12.92          12.97           0.38          4.10          4.12           
0.07  -0.602 0.035  -0.184 0.59           0.73           0.73            1.01          36.88         36.88          0.84        0.94        0.94         0.71           27.73          27.74           0.30          9.15          9.15           
0.10  -0.576 0.041  -0.206 0.80           1.01           1.03            13.28         39.75         40.84          1.05        1.22        1.23         10.13          32.20          33.20           3.15          7.55          7.64           
0.13  -0.562 0.052  -0.232 0.50           0.90           0.95            37.56         63.58         65.11          0.72        1.03        1.08         25.29          51.05          52.94           12.27         12.53         12.16          
0.17  -0.547 0.059  -0.265 0.51           1.07           1.09            25.33         64.77         65.31          0.74        1.20        1.22         17.01          53.91          54.57           8.32          10.86         10.73          
0.20  -0.536 0.059  -0.296 0.32           0.99           0.99            1.51          71.09         71.09          0.57        1.10        1.10         0.85           58.62          58.62           0.66          12.47         12.47          
0.23  -0.518 0.057  -0.324 0.57           1.02           1.02            -5.02         56.35         56.39          0.82        1.18        1.18         -3.48          46.15          46.20           -1.54         10.20         10.19          
0.27  -0.512 0.047  -0.350 0.37           0.81           0.87            -62.43        77.82         78.72          0.53        0.89        0.95         -37.82         61.96          63.80           -24.60        15.85         14.92          
0.30  -0.493 0.036  -0.381 0.64           1.07           1.11            -28.11        58.09         59.42          0.87        1.22        1.26         -20.34         48.10          49.59           -7.77         9.99          9.83           
0.33  -0.476 0.018  -0.406 0.75           0.92           1.07            -46.74        56.15         61.36          0.94        1.08        1.21         -35.53         45.05          50.89           -11.21        11.10         10.46          
0.37  -0.465 0.004  -0.437 0.55           0.98           1.08            -53.38        70.40         72.20          0.73        1.09        1.18         -37.39         57.92          60.52           -15.99        12.48         11.68          
0.40  -0.445 -0.002 -0.453 0.63           0.76           0.78            -16.65        38.03         39.94          0.87        0.97        0.99         -11.91         28.90          30.58           -4.73         9.14          9.37           
0.43  -0.429 -0.005 -0.466 0.50           0.63           0.64            -9.31         38.46         39.04          0.75        0.84        0.84         -6.21          27.80          28.30           -3.10         10.66         10.75          
0.47  -0.412 -0.013 -0.488 0.55           0.83           0.86            -24.13        52.57         54.10          0.79        1.00        1.03         -16.68         41.15          42.73           -7.45         11.42         11.36          
