time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.137 0.243  -0.355 
0.03  -1.116 0.233  -0.347 0.72           0.68           0.75            -26.50        -19.91        31.64          0.95        0.92        0.97         -19.73         -14.61         23.91           -6.77         -5.30         7.73           
0.07  -1.096 0.216  -0.332 0.77           0.74           0.89            -40.22        -37.11        48.61          0.98        0.95        1.08         -30.73         -28.00         38.58           -9.49         -9.11         10.04          
0.10  -1.068 0.200  -0.311 0.98           1.07           1.17            -28.67        -36.26        42.45          1.21        1.28        1.36         -22.96         -29.61         35.33           -5.71         -6.65         7.12           
0.13  -1.059 0.199  -0.293 0.27           0.59           0.60            -10.68        -62.94        63.04          0.52        0.74        0.74         -5.59          -45.46         45.59           -5.09         -17.47        17.45          
0.17  -1.059 0.198  -0.269 0.03           0.72           0.72            -104.84       -90.61        90.61          0.24        0.76        0.76         -6.82          -71.44         71.46           -98.02        -19.17        19.15          
0.20  -1.060 0.198  -0.250 0.06           0.58           0.58            152.66        -94.95        94.95          0.20        0.61        0.61         7.29           -70.72         70.74           145.37        -24.23        24.21          
0.23  -1.046 0.204  -0.234 0.46           0.64           0.66            19.72         -47.78        49.21          0.70        0.83        0.84         12.78          -34.90         36.26           6.94          -12.88        12.95          
0.27  -1.043 0.208  -0.211 0.17           0.72           0.74            56.94         -82.54        82.68          0.37        0.79        0.81         22.72          -64.33         64.77           34.22         -18.21        17.91          
0.30  -1.028 0.210  -0.198 0.44           0.57           0.58            7.04          -40.05        40.35          0.69        0.78        0.78         4.50           -28.18         28.44           2.54          -11.87        11.91          
0.33  -1.012 0.215  -0.180 0.51           0.73           0.75            17.87         -48.62        49.72          0.75        0.92        0.93         12.01          -36.84         37.91           5.86          -11.78        11.81          
0.37  -0.997 0.217  -0.169 0.45           0.55           0.55            7.07          -35.72        36.12          0.70        0.77        0.77         4.54           -24.74         25.06           2.53          -10.99        11.07          
0.40  -0.973 0.224  -0.157 0.76           0.82           0.84            15.80         -26.03        29.44          1.01        1.05        1.07         11.92          -20.02         22.84           3.88          -6.01         6.60           
0.43  -0.957 0.231  -0.156 0.51           0.47           0.51            23.92         -3.72         24.15          0.75        0.72        0.75         16.13          -2.43          16.29           7.79          -1.29         7.86           
0.47  -0.934 0.242  -0.157 0.77           0.69           0.77            25.36         2.14          25.43          1.00        0.94        1.00         19.20          1.57           19.25           6.16          0.57          6.17           
0.50  -0.915 0.245  -0.171 0.57           0.70           0.70            9.63          36.07         36.79          0.82        0.91        0.92         6.70           26.76          27.37           2.93          9.31          9.42           
0.53  -0.893 0.248  -0.191 0.66           0.89           0.89            6.56          42.08         42.31          0.91        1.09        1.09         4.76           33.21          33.42           1.79          8.87          8.89           
0.57  -0.882 0.249  -0.201 0.34           0.45           0.45            5.93          41.60         41.80          0.59        0.66        0.66         3.42           27.07          27.22           2.51          14.54         14.57          
0.60  -0.865 0.231  -0.217 0.73           0.71           0.89            -47.06        45.19         55.82          0.92        0.90        1.05         -35.58         33.83          44.43           -11.48        11.36         11.39          
0.63  -0.856 0.209  -0.237 0.73           0.66           0.94            -66.87        64.54         72.36          0.86        0.80        1.04         -51.28         48.21          59.17           -15.59        16.33         13.19          
0.67  -0.847 0.207  -0.254 0.28           0.57           0.57            -13.60        61.14         61.35          0.53        0.72        0.72         -7.20          43.43          43.68           -6.41         17.71         17.67          
0.70  -0.843 0.202  -0.271 0.19           0.54           0.56            -50.45        77.10         77.56          0.40        0.64        0.66         -21.48         54.82          55.82           -28.98        22.28         21.74          
0.73  -0.828 0.195  -0.290 0.49           0.72           0.75            -26.02        52.23         54.07          0.72        0.89        0.92         -17.26         39.41          41.30           -8.75         12.82         12.77          
0.77  -0.827 0.194  -0.307 0.05           0.50           0.50            -25.29        85.06         85.07          0.29        0.58        0.58         -3.99          59.63          59.65           -21.31        25.43         25.41          
0.80  -0.807 0.201  -0.324 0.62           0.78           0.81            19.31         41.82         43.86          0.86        0.98        1.00         13.78          32.06          33.92           5.53          9.77          9.94           
0.83  -0.796 0.202  -0.336 0.35           0.50           0.50            5.91          46.18         46.32          0.60        0.69        0.69         3.43           31.11          31.24           2.48          15.07         15.08          
0.87  -0.782 0.209  -0.346 0.45           0.50           0.54            26.14         36.73         41.77          0.68        0.72        0.75         16.85          24.73          28.87           9.29          12.00         12.90          
0.90  -0.758 0.219  -0.350 0.80           0.74           0.81            23.41         9.92          25.03          1.03        0.99        1.04         17.88          7.42           19.19           5.53          2.50          5.85           
0.93  -0.741 0.238  -0.336 0.75           0.66           0.86            47.77         -40.36        54.29          0.94        0.87        1.03         36.38          -29.61         42.93           11.39         -10.75        11.36          
0.97  -0.714 0.245  -0.321 0.84           0.93           0.96            15.27         -29.60        32.23          1.08        1.15        1.17         11.78          -23.46         25.71           3.49          -6.14         6.52           
1.00  -0.694 0.250  -0.303 0.62           0.80           0.81            13.89         -41.34        42.42          0.86        1.00        1.01         9.90           -31.84         32.83           3.98          -9.49         9.59           
1.03  -0.680 0.246  -0.277 0.43           0.88           0.89            -15.42        -61.82        62.08          0.68        1.02        1.03         -9.77          -49.37         49.68           -5.65         -12.45        12.41          
