time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.098 0.214  -0.343 
0.03  -1.082 0.220  -0.338 0.52           0.52           0.55            19.12         -18.76        25.89          0.76        0.76        0.78         12.94          -12.70         17.84           6.17          -6.07         8.05           
0.07  -1.057 0.225  -0.334 0.77           0.76           0.78            12.61         -7.13         14.38          1.02        1.01        1.02         9.54           -5.37          10.90           3.07          -1.76         3.48           
0.10  -1.034 0.240  -0.332 0.82           0.70           0.82            31.94         -5.88         32.29          1.04        0.95        1.04         24.63          -4.33          24.93           7.31          -1.55         7.36           
0.13  -1.017 0.255  -0.325 0.66           0.52           0.69            42.68         -21.92        45.17          0.86        0.76        0.88         31.32          -14.87         33.58           11.36         -7.05         11.59          
0.17  -0.995 0.261  -0.321 0.68           0.68           0.70            14.76         -12.13        18.78          0.93        0.92        0.94         10.82          -8.86          13.86           3.94          -3.27         4.92           
0.20  -0.975 0.260  -0.319 0.63           0.63           0.63            -1.56         -5.92         6.12           0.88        0.88        0.88         -1.11          -4.24          4.38            -0.44         -1.68         1.74           
0.23  -0.949 0.257  -0.317 0.78           0.78           0.78            -6.90         -2.51         7.33           1.03        1.03        1.03         -5.23          -1.90          5.56            -1.67         -0.61         1.78           
0.27  -0.931 0.234  -0.319 0.86           0.54           0.86            -51.23        3.73          51.27          1.04        0.79        1.04         -40.39         2.55           40.43           -10.84        1.18          10.84          
0.30  -0.914 0.221  -0.317 0.64           0.49           0.64            -40.01        -5.93         40.22          0.84        0.74        0.84         -29.01         -3.92          29.19           -11.00        -2.01         11.03          
0.33  -0.894 0.211  -0.318 0.67           0.61           0.67            -24.96        4.09          25.22          0.90        0.86        0.90         -18.23         2.90           18.43           -6.73         1.19          6.78           
0.37  -0.878 0.203  -0.320 0.57           0.50           0.57            -27.85        4.74          28.14          0.80        0.75        0.80         -19.41         3.17           19.63           -8.44         1.57          8.51           
