time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.702 0.520  -0.147 
0.03  -0.694 0.534  -0.153 0.48           0.29           0.51            60.85         36.70         62.75          0.64        0.51        0.66         40.80          19.74          43.07           20.06         16.97         19.69          
0.07  -0.691 0.548  -0.155 0.43           0.12           0.43            76.74         36.70         76.94          0.54        0.36        0.55         50.13          11.87          50.56           26.61         24.82         26.38          
0.10  -0.686 0.568  -0.156 0.62           0.13           0.62            77.90         11.95         77.91          0.72        0.38        0.72         57.92          4.14           57.94           19.98         7.81          19.97          
0.13  -0.684 0.590  -0.159 0.67           0.11           0.68            84.67         55.58         84.72          0.74        0.33        0.74         64.93          16.22          65.13           19.74         39.36         19.59          
0.17  -0.689 0.608  -0.158 0.56           0.13           0.57            103.23        -167.15       103.22         0.56        0.12        0.56         77.61          -13.73         77.63           25.62         -153.42       25.59          
0.20  -0.695 0.608  -0.151 0.20           0.30           0.30            -178.85       -132.48       132.47         0.05        0.22        0.22         -4.56          -76.99         76.99           -174.28       -55.49        55.48          
0.23  -0.696 0.608  -0.140 0.02           0.31           0.31            -173.24       -93.33        93.33          0.23        0.39        0.39         -0.53          -53.51         53.51           -172.70       -39.81        39.81          
0.27  -0.698 0.602  -0.141 0.18           0.06           0.18            -109.00       168.24        108.95         0.26        0.19        0.26         -41.49         3.63           41.56           -67.51        164.61        67.39          
0.30  -0.703 0.584  -0.131 0.57           0.32           0.63            -105.03       -117.66       103.44         0.56        0.30        0.63         -79.44         -70.01         80.58           -25.59        -47.65        22.86          
0.33  -0.708 0.567  -0.128 0.55           0.19           0.56            -107.29       -150.02       107.04         0.53        0.13        0.54         -80.64         -47.46         80.79           -26.65        -102.57       26.25          
0.37  -0.706 0.533  -0.119 1.01           0.29           1.05            -86.52        -77.80        86.65          1.05        0.42        1.09         -72.81         -42.25         73.41           -13.71        -35.55        13.24          
