time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.905 0.257  -0.637 
0.03  -0.896 0.251  -0.603 0.32           1.04           1.05            -34.14        -75.43        75.64          0.54        1.13        1.14         -19.10         -63.04         63.39           -15.03        -12.40        12.26          
0.07  -0.895 0.242  -0.572 0.30           0.96           1.00            -82.60        -87.72        87.82          0.41        1.00        1.04         -45.50         -73.23         73.93           -37.10        -14.49        13.89          
0.10  -0.893 0.240  -0.549 0.07           0.67           0.67            -44.73        -85.62        85.63          0.31        0.73        0.74         -9.57          -65.76         65.82           -35.16        -19.86        19.81          
0.13  -0.896 0.242  -0.517 0.11           0.96           0.96            154.65        -95.86        95.85          0.16        0.97        0.97         17.06          -81.00         81.01           137.59        -14.85        14.84          
0.17  -0.895 0.242  -0.504 0.06           0.41           0.41            23.23         -82.79        82.80          0.30        0.51        0.51         4.19           -53.44         53.48           19.04         -29.34        29.31          
0.20  -0.896 0.243  -0.493 0.05           0.33           0.33            161.47        -97.74        97.74          0.21        0.39        0.39         4.19           -58.12         58.15           157.28        -39.62        39.59          
0.23  -0.906 0.243  -0.485 0.30           0.39           0.39            176.36        -141.29       141.20         0.06        0.25        0.25         160.34         -102.51        102.47          16.02         -38.78        38.73          
0.27  -0.916 0.244  -0.474 0.29           0.44           0.44            175.27        -131.52       131.44         0.05        0.33        0.33         149.27         -97.03         97.01           26.00         -34.49        34.44          
0.30  -0.919 0.244  -0.462 0.10           0.37           0.37            -168.56       -104.47       104.45         0.16        0.39        0.39         -6.85          -66.50         66.53           -161.71       -37.97        37.92          
0.33  -0.925 0.238  -0.455 0.25           0.28           0.32            -140.20       -134.84       127.44         0.17        0.20        0.26         -71.08         -74.14         77.66           -69.12        -60.70        49.78          
0.37  -0.922 0.234  -0.445 0.16           0.33           0.35            -46.80        -70.46        71.63          0.38        0.47        0.49         -17.93         -40.57         42.47           -28.87        -29.89        29.17          
0.40  -0.923 0.224  -0.442 0.30           0.10           0.31            -96.80        -111.62       96.52          0.37        0.23        0.38         -54.13         -22.60         55.30           -42.67        -89.03        41.22          
0.43  -0.917 0.214  -0.433 0.37           0.32           0.45            -62.32        -57.88        68.07          0.53        0.50        0.60         -37.63         -32.79         45.13           -24.69        -25.09        22.94          
0.47  -0.899 0.204  -0.432 0.62           0.56           0.63            -26.89        -3.05         27.02          0.86        0.81        0.86         -19.29         -2.11          19.39           -7.60         -0.94         7.62           
0.50  -0.883 0.199  -0.427 0.50           0.50           0.53            -18.61        -18.62        25.47          0.74        0.74        0.76         -12.43         -12.44         17.32           -6.17         -6.18         8.15           
0.53  -0.859 0.188  -0.422 0.80           0.74           0.81            -23.74        -10.66        25.56          1.03        0.99        1.04         -18.13         -7.98          19.61           -5.60         -2.68         5.95           
0.57  -0.835 0.176  -0.407 0.80           0.84           0.91            -27.25        -32.37        39.24          1.03        1.06        1.12         -20.84         -25.10         31.12           -6.41         -7.27         8.12           
0.60  -0.813 0.171  -0.397 0.69           0.74           0.76            -12.40        -24.71        27.02          0.94        0.98        0.99         -9.12          -18.56         20.41           -3.28         -6.15         6.61           
0.63  -0.786 0.163  -0.381 0.81           0.91           0.94            -16.23        -30.69        33.47          1.06        1.13        1.15         -12.44         -24.22         26.61           -3.79         -6.48         6.86           
0.67  -0.767 0.158  -0.361 0.62           0.86           0.87            -16.60        -46.04        47.18          0.86        1.05        1.06         -11.85         -36.13         37.22           -4.75         -9.91         9.96           
0.70  -0.743 0.154  -0.346 0.72           0.83           0.84            -8.15         -30.98        31.68          0.97        1.05        1.06         -6.05          -23.96         24.55           -2.10         -7.02         7.13           
0.73  -0.720 0.155  -0.328 0.69           0.88           0.88            1.73          -37.99        38.01          0.94        1.08        1.08         1.27           -29.83         29.85           0.46          -8.16         8.16           
0.77  -0.701 0.168  -0.319 0.68           0.63           0.74            35.29         -27.48        41.30          0.90        0.86        0.94         26.03          -19.75         31.22           9.26          -7.74         10.08          
0.80  -0.678 0.184  -0.308 0.85           0.77           0.91            35.06         -24.49        39.92          1.07        1.00        1.12         27.34          -18.55         31.65           7.72          -5.94         8.27           
0.83  -0.652 0.183  -0.304 0.77           0.79           0.79            -3.36         -10.00        10.53          1.02        1.03        1.03         -2.54          -7.59          8.00            -0.82         -2.41         2.54           
0.87  -0.638 0.202  -0.300 0.70           0.43           0.71            53.58         -15.40        54.13          0.88        0.68        0.88         40.29          -9.78          40.86           13.29         -5.63         13.27          
0.90  -0.628 0.210  -0.300 0.39           0.31           0.39            37.38         0.91          37.39          0.60        0.56        0.60         22.84          0.50           22.84           14.54         0.41          14.55          
0.93  -0.620 0.220  -0.310 0.39           0.38           0.49            51.68         51.08         60.54          0.58        0.57        0.65         31.82          31.27          40.97           19.86         19.81         19.57          
0.97  -0.615 0.220  -0.327 0.16           0.53           0.53            6.49          72.24         72.26          0.41        0.65        0.65         2.56           50.83          50.84           3.93          21.42         21.41          
1.00  -0.606 0.228  -0.349 0.36           0.72           0.75            41.14         67.91         69.07          0.57        0.84        0.87         24.36          51.93          53.57           16.78         15.98         15.50          
1.03  -0.603 0.237  -0.372 0.28           0.70           0.75            73.24         83.35         83.79          0.43        0.77        0.82         39.19          64.60          66.12           34.04         18.75         17.68          
1.07  -0.602 0.246  -0.397 0.28           0.75           0.80            81.04         86.66         86.87          0.40        0.80        0.85         43.35          68.59          69.81           37.69         18.07         17.06          
1.10  -0.586 0.241  -0.423 0.50           0.91           0.93            -18.78        58.72         59.25          0.74        1.06        1.08         -12.55         47.15          47.74           -6.23         11.57         11.51          
1.13  -0.577 0.233  -0.449 0.36           0.82           0.85            -42.70        70.98         71.82          0.57        0.93        0.96         -25.46         56.26          57.53           -17.24        14.72         14.29          
1.17  -0.557 0.231  -0.477 0.60           1.03           1.04            -6.34         54.98         55.06          0.85        1.20        1.20         -4.47          45.12          45.20           -1.87         9.86          9.86           
1.20  -0.538 0.233  -0.500 0.58           0.89           0.90            6.89          49.55         49.69          0.83        1.07        1.07         4.82           39.33          39.48           2.06          10.22         10.22          
1.23  -0.511 0.219  -0.511 0.90           0.87           0.96            -27.14        22.50         33.39          1.13        1.10        1.17         -21.34         17.52          26.67           -5.81         4.98          6.72           
1.27  -0.504 0.211  -0.518 0.31           0.31           0.39            -48.00        47.28         57.19          0.52        0.51        0.56         -26.90         26.32          35.32           -21.10        20.96         21.87          
1.30  -0.488 0.200  -0.510 0.58           0.53           0.63            -35.78        -27.61        41.68          0.80        0.76        0.83         -25.22         -18.87         30.20           -10.56        -8.74         11.49          
1.33  -0.482 0.191  -0.483 0.33           0.85           0.89            -55.24        -77.03        77.67          0.52        0.93        0.97         -31.88         -61.92         63.15           -23.35        -15.11        14.52          
1.37  -0.477 0.176  -0.457 0.49           0.78           0.90            -71.41        -78.50        80.12          0.61        0.86        0.98         -48.71         -62.02         65.56           -22.70        -16.48        14.57          
1.40  -0.480 0.156  -0.420 0.60           1.12           1.27            -98.88        -94.72        94.17          0.61        1.13        1.27         -75.03         -81.96         82.88           -23.85        -12.75        11.29          
1.43  -0.490 0.144  -0.379 0.46           1.25           1.30            -128.83       -103.32       102.80         0.36        1.22        1.27         -96.04         -91.78         91.71           -32.78        -11.54        11.09          
1.47  -0.502 0.133  -0.345 0.50           1.11           1.16            -138.12       -109.85       108.96         0.36        1.05        1.10         -110.45        -96.88         96.55           -27.67        -12.97        12.40          
1.50  -0.507 0.113  -0.322 0.60           0.70           0.91            -104.80       -102.82       99.78          0.59        0.68        0.90         -80.69         -81.97         83.89           -24.12        -20.85        15.89          
1.53  -0.516 0.108  -0.286 0.32           1.13           1.14            -150.19       -104.03       103.89         0.16        1.09        1.11         -98.51         -91.23         91.21           -51.68        -12.80        12.68          
1.57  -0.523 0.104  -0.257 0.23           0.89           0.90            -146.33       -102.18       102.06         0.14        0.87        0.88         -63.77         -85.95         85.99           -82.57        -16.23        16.07          
1.60  -0.511 0.102  -0.237 0.36           0.68           0.68            -10.81        -58.30        58.48          0.61        0.84        0.84         -6.41          -43.60         43.80           -4.40         -14.70        14.68          
1.63  -0.512 0.103  -0.223 0.06           0.45           0.45            152.29        -96.52        96.51          0.20        0.49        0.49         7.61           -65.81         65.85           144.68        -30.71        30.66          
1.67  -0.500 0.108  -0.209 0.40           0.55           0.58            25.43         -48.94        51.17          0.64        0.74        0.76         15.73          -34.21         36.35           9.70          -14.73        14.82          
