time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.101 0.112  -0.048 
0.03  -1.081 0.105  -0.019 0.64           1.08           1.10            -18.54        -55.72        56.39          0.88        1.24        1.26         -13.38         -46.13         46.86           -5.16         -9.59         9.53           
0.07  -1.060 0.105  -0.004 0.63           0.76           0.76            -0.12         -34.12        34.12          0.88        0.97        0.97         -0.08          -25.83         25.83           -0.03         -8.28         8.28           
0.10  -1.033 0.112  0.016  0.83           1.00           1.02            14.80         -36.77        38.40          1.07        1.21        1.23         11.38          -29.65         31.12           3.42          -7.12         7.27           
0.13  -1.006 0.117  0.041  0.81           1.10           1.11            11.24         -43.53        44.14          1.06        1.30        1.31         8.61           -35.89         36.48           2.63          -7.64         7.67           
0.17  -0.977 0.122  0.059  0.89           1.03           1.04            10.14         -31.21        32.28          1.14        1.25        1.26         7.92           -25.25         26.18           2.22          -5.97         6.10           
0.20  -0.953 0.138  0.071  0.86           0.80           0.94            33.81         -26.80        39.99          1.08        1.03        1.14         26.41          -20.53         31.88           7.40          -6.27         8.11           
0.23  -0.924 0.148  0.088  0.92           1.01           1.05            18.79         -30.30        34.06          1.16        1.23        1.26         14.79          -24.40         27.69           3.99          -5.90         6.37           
0.27  -0.895 0.158  0.102  0.92           0.96           1.01            19.61         -25.83        31.01          1.16        1.19        1.23         15.45          -20.58         25.00           4.16          -5.25         6.01           
0.30  -0.862 0.177  0.111  1.16           1.05           1.19            29.01         -15.64        31.85          1.38        1.29        1.41         23.98          -12.66         26.49           5.03          -2.98         5.36           
0.33  -0.839 0.208  0.107  1.13           0.68           1.14            53.75         8.91          53.93          1.29        0.92        1.30         44.79          6.51           44.98           8.96          2.40          8.95           
0.37  -0.817 0.232  0.103  1.00           0.68           1.01            48.28         10.93         48.69          1.18        0.92        1.19         39.17          7.99           39.58           9.10          2.94          9.11           
0.40  -0.801 0.261  0.090  0.98           0.64           1.06            59.71         39.08         62.17          1.13        0.85        1.20         48.67          28.34          51.53           11.04         10.73         10.64          
0.43  -0.787 0.290  0.076  0.96           0.57           1.04            64.92         44.92         67.02          1.09        0.77        1.16         52.90          31.68          55.58           12.02         13.24         11.44          
0.47  -0.773 0.311  0.055  0.76           0.77           1.00            56.80         57.20         65.33          0.93        0.93        1.13         43.73          44.17          53.74           13.07         13.03         11.59          
0.50  -0.764 0.328  0.021  0.57           1.04           1.16            61.78         74.93         76.47          0.73        1.14        1.24         44.13          62.66          65.20           17.64         12.27         11.27          
0.53  -0.749 0.335  -0.008 0.50           0.99           1.01            24.96         62.77         63.41          0.74        1.13        1.15         16.71          51.41          52.19           8.25          11.35         11.22          
0.57  -0.742 0.349  -0.033 0.48           0.76           0.88            64.83         74.41         76.51          0.63        0.86        0.97         43.76          58.21          61.94           21.07         16.21         14.57          
0.60  -0.726 0.346  -0.072 0.49           1.27           1.27            -9.95         67.64         67.69          0.74        1.38        1.39         -6.59          58.02          58.08           -3.36         9.62          9.61           
0.63  -0.712 0.315  -0.103 1.03           1.01           1.38            -65.85        65.51         72.28          1.15        1.14        1.48         -54.44         54.01          63.00           -11.42        11.51         9.28           
0.67  -0.692 0.297  -0.132 0.80           1.05           1.18            -41.65        55.23         59.43          1.00        1.21        1.32         -32.13         45.48          50.08           -9.53         9.75          9.35           
0.70  -0.668 0.285  -0.150 0.82           0.92           0.99            -26.60        37.25         42.32          1.05        1.13        1.19         -20.46         29.54          34.15           -6.14         7.72          8.17           
0.73  -0.630 0.277  -0.166 1.16           1.22           1.25            -12.53        22.67         25.32          1.40        1.46        1.48         -10.32         18.88          21.18           -2.22         3.79          4.14           
0.77  -0.598 0.278  -0.186 0.98           1.15           1.15            2.74          31.75         31.82          1.23        1.37        1.37         2.18           26.23          26.29           0.56          5.52          5.53           
