time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.998 0.131  -0.230 
0.03  -0.984 0.153  -0.206 0.78           0.84           1.07            58.33         -60.70        67.46          0.94        0.99        1.19         45.22          -47.93         56.26           13.11         -12.78        11.19          
0.07  -0.963 0.163  -0.189 0.71           0.82           0.88            26.65         -38.84        43.50          0.94        1.03        1.07         19.82          -30.05         34.28           6.83          -8.80         9.22           
0.10  -0.936 0.175  -0.166 0.89           1.06           1.12            23.25         -39.55        42.95          1.13        1.27        1.31         18.22          -32.33         35.50           5.03          -7.22         7.45           
0.13  -0.929 0.188  -0.142 0.44           0.76           0.85            60.94         -73.83        75.58          0.60        0.87        0.95         39.56          -57.71         60.74           21.38         -16.11        14.84          
0.17  -0.928 0.203  -0.127 0.47           0.44           0.64            86.82         -86.64        87.69          0.54        0.52        0.70         59.37          -58.03         66.75           27.45         -28.62        20.94          
0.20  -0.928 0.226  -0.114 0.68           0.38           0.78            90.88         -91.60        90.77          0.72        0.45        0.81         70.63          -57.57         72.90           20.25         -34.03        17.87          
0.23  -0.938 0.245  -0.098 0.63           0.58           0.81            118.34        -121.22       111.95         0.56        0.50        0.75         95.25          -95.89         93.92           23.09         -25.33        18.02          
0.27  -0.947 0.276  -0.086 0.98           0.44           1.04            106.14        -128.73       105.23         0.94        0.34        1.00         91.38          -93.83         91.30           14.76         -34.90        13.93          
0.30  -0.940 0.295  -0.081 0.59           0.26           0.61            69.10         -36.56        69.83          0.72        0.49        0.74         50.24          -18.79         51.32           18.86         -17.76        18.51          
0.33  -0.945 0.309  -0.074 0.45           0.26           0.50            108.81        -123.47       106.84         0.44        0.24        0.49         76.37          -64.80         77.84           32.43         -58.67        29.01          
0.37  -0.945 0.342  -0.066 1.00           0.25           1.03            89.92         -89.68        89.92          1.03        0.35        1.06         75.84          -44.36         76.24           14.08         -45.32        13.68          
0.40  -0.944 0.373  -0.051 0.94           0.42           1.03            88.13         -85.86        88.30          0.98        0.51        1.07         73.36          -56.46         74.76           14.77         -29.40        13.53          
0.43  -0.942 0.390  -0.062 0.50           0.33           0.60            81.62         77.08         82.93          0.59        0.46        0.68         57.03          44.72          61.38           24.59         32.36         21.56          
0.47  -0.927 0.389  -0.069 0.45           0.49           0.49            -2.54         23.52         23.63          0.70        0.73        0.73         -1.63          15.66          15.73           -0.90         7.87          7.90           
0.50  -0.915 0.411  -0.070 0.74           0.35           0.74            61.91         8.56          61.99          0.88        0.60        0.88         47.42          4.99           47.51           14.49         3.56          14.48          
0.53  -0.902 0.414  -0.068 0.41           0.41           0.42            14.39         -12.45        18.70          0.66        0.65        0.66         8.95           -7.72          11.74           5.44          -4.73         6.96           
0.57  -0.882 0.420  -0.066 0.62           0.60           0.62            14.87         -5.55         15.79          0.86        0.85        0.86         10.59          -3.92          11.26           4.28          -1.64         4.53           
0.60  -0.869 0.422  -0.059 0.39           0.44           0.44            8.62          -28.56        29.47          0.63        0.67        0.67         5.24           -18.21         18.86           3.38          -10.35        10.61          
0.63  -0.852 0.420  -0.055 0.52           0.53           0.53            -4.58         -13.09        13.82          0.77        0.78        0.78         -3.09          -8.91          9.42            -1.49         -4.18         4.40           
0.67  -0.845 0.404  -0.050 0.52           0.24           0.54            -67.78        -35.29        68.57          0.66        0.47        0.67         -47.17         -17.33         48.32           -20.61        -17.96        20.25          
0.70  -0.835 0.404  -0.050 0.31           0.31           0.31            -3.15         1.86          3.66           0.56        0.56        0.56         -1.75          1.03           2.03            -1.41         0.83          1.63           
0.73  -0.829 0.405  -0.052 0.18           0.19           0.19            9.07          12.65         15.40          0.43        0.43        0.43         3.83           5.39           6.60            5.23          7.27          8.80           
0.77  -0.825 0.388  -0.058 0.52           0.23           0.56            -77.06        60.15         77.96          0.63        0.42        0.66         -54.13         28.97          56.12           -22.94        31.18         21.84          
0.80  -0.817 0.379  -0.068 0.35           0.37           0.45            -45.24        47.50         56.06          0.56        0.57        0.62         -26.74         28.60          36.59           -18.50        18.90         19.47          
0.83  -0.811 0.364  -0.073 0.50           0.25           0.53            -68.98        43.05         70.12          0.64        0.46        0.66         -47.49         21.39          49.22           -21.49        21.66         20.90          
0.87  -0.800 0.349  -0.083 0.57           0.44           0.63            -53.66        40.63         58.11          0.74        0.65        0.80         -37.90         26.17          42.63           -15.76        14.46         15.48          
