time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.730 0.291  -0.710 
0.03  -0.736 0.266  -0.677 0.77           1.02           1.26            -102.71       -99.52        97.67          0.75        1.01        1.26         -83.80         -85.38         86.29           -18.91        -14.15        11.38          
0.07  -0.739 0.241  -0.634 0.78           1.28           1.50            -97.87        -94.79        94.10          0.79        1.28        1.50         -79.52         -83.60         84.52           -18.35        -11.19        9.58           
0.10  -0.743 0.218  -0.593 0.70           1.24           1.42            -99.36        -95.25        94.59          0.70        1.24        1.42         -78.81         -83.71         84.50           -20.54        -11.54        10.09          
0.13  -0.749 0.195  -0.547 0.69           1.39           1.54            -104.66       -97.17        96.47          0.67        1.39        1.54         -83.48         -86.85         87.16           -21.19        -10.32        9.30           
0.17  -0.751 0.174  -0.509 0.65           1.12           1.30            -95.35        -93.11        92.69          0.68        1.14        1.31         -73.77         -80.42         81.70           -21.58        -12.68        10.99          
0.20  -0.752 0.158  -0.462 0.47           1.42           1.49            -95.54        -91.83        91.74          0.51        1.43        1.51         -66.38         -81.80         82.20           -29.16        -10.04        9.54           
0.23  -0.755 0.131  -0.430 0.82           0.95           1.26            -96.09        -95.27        93.99          0.84        0.96        1.26         -78.79         -80.26         82.61           -17.30        -15.01        11.39          
0.27  -0.756 0.117  -0.398 0.42           0.99           1.08            -94.12        -91.77        91.63          0.48        1.01        1.10         -62.63         -77.47         78.46           -31.50        -14.30        13.17          
0.30  -0.747 0.102  -0.367 0.53           0.94           1.05            -58.48        -73.00        74.70          0.69        1.05        1.14         -40.56         -59.78         62.47           -17.92        -13.22        12.23          
0.33  -0.734 0.095  -0.331 0.45           1.17           1.19            -26.12        -69.95        70.24          0.68        1.28        1.29         -16.81         -59.38         59.77           -9.30         -10.58        10.47          
0.37  -0.706 0.085  -0.306 0.88           1.10           1.14            -21.01        -41.54        44.00          1.12        1.30        1.34         -16.41         -34.20         36.53           -4.60         -7.34         7.47           
0.40  -0.673 0.086  -0.269 0.98           1.48           1.48            2.96          -48.45        48.48          1.23        1.66        1.66         2.36           -41.97         42.00           0.60          -6.48         6.48           
0.43  -0.640 0.090  -0.242 1.01           1.30           1.31            6.57          -39.46        39.73          1.26        1.50        1.51         5.27           -33.39         33.64           1.30          -6.07         6.09           
0.47  -0.590 0.086  -0.224 1.51           1.60           1.60            -4.44         -19.21        19.64          1.76        1.83        1.84         -3.81          -16.64         17.02           -0.63         -2.57         2.62           
0.50  -0.541 0.081  -0.201 1.48           1.62           1.63            -6.29         -25.24        25.84          1.73        1.85        1.86         -5.38          -21.94         22.48           -0.91         -3.30         3.36           
0.53  -0.495 0.083  -0.177 1.38           1.55           1.55            2.37          -27.49        27.56          1.63        1.78        1.78         2.01           -23.77         23.84           0.36          -3.72         3.73           
0.57  -0.457 0.085  -0.156 1.14           1.30           1.30            3.08          -29.20        29.31          1.39        1.52        1.52         2.52           -24.60         24.70           0.55          -4.59         4.60           
0.60  -0.420 0.076  -0.138 1.15           1.25           1.28            -13.33        -26.43        28.84          1.40        1.48        1.51         -10.97         -22.12         24.25           -2.36         -4.30         4.59           
0.63  -0.389 0.087  -0.148 0.99           0.98           1.04            19.56         18.48         26.01          1.23        1.22        1.27         15.65          14.76          21.04           3.91          3.72          4.97           
0.67  -0.357 0.086  -0.158 0.94           0.98           0.98            -0.89         17.07         17.09          1.19        1.22        1.22         -0.70          13.63          13.64           -0.19         3.44          3.45           
0.70  -0.334 0.074  -0.175 0.81           0.89           0.97            -28.51        36.80         42.76          1.03        1.10        1.16         -21.88         28.95          34.35           -6.63         7.85          8.40           
0.73  -0.310 0.061  -0.207 0.82           1.20           1.26            -28.52        52.96         55.08          1.05        1.36        1.42         -21.99         44.55          46.78           -6.54         8.41          8.30           
0.77  -0.298 0.043  -0.249 0.63           1.31           1.41            -56.53        74.57         75.71          0.80        1.40        1.49         -41.35         64.63          66.36           -15.18        9.95          9.35           
0.80  -0.296 0.032  -0.296 0.32           1.42           1.45            -81.35        88.04         88.09          0.44        1.45        1.48         -46.90         78.10          78.38           -34.46        9.94          9.70           
0.83  -0.304 0.029  -0.347 0.26           1.53           1.53            -154.17       98.81         98.79          0.11        1.51        1.51         -82.06         89.40          89.40           -72.11        9.41          9.39           
