time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.158 0.434  0.016  
0.03  -1.144 0.430  -0.003 0.45           0.72           0.73            -16.81        53.63         54.29          0.69        0.89        0.90         -10.79         40.57          41.25           -6.03         13.06         13.04          
0.07  -1.133 0.414  -0.025 0.58           0.73           0.87            -54.74        62.72         67.38          0.75        0.88        1.00         -39.04         48.02          53.99           -15.70        14.70         13.39          
0.10  -1.123 0.417  -0.055 0.30           0.93           0.94            19.57         72.27         72.37          0.54        1.04        1.04         10.71          58.98          59.14           8.86          13.28         13.23          
0.13  -1.127 0.403  -0.087 0.44           0.99           1.08            -103.48       95.97         95.48          0.45        0.99        1.08         -71.10         81.50          82.20           -32.38        14.47         13.28          
0.17  -1.111 0.397  -0.117 0.51           1.00           1.02            -21.01        61.76         62.25          0.75        1.14        1.15         -14.11         50.62          51.21           -6.90         11.13         11.04          
0.20  -1.112 0.380  -0.151 0.50           1.02           1.13            -93.37        91.65         91.48          0.54        1.04        1.16         -66.11         77.78          78.99           -27.26        13.87         12.49          
0.23  -1.106 0.388  -0.199 0.31           1.45           1.47            53.57         82.80         82.90          0.50        1.50        1.52         29.67          73.28          73.50           23.89         9.52          9.40           
0.27  -1.124 0.382  -0.232 0.57           1.13           1.14            -160.14       118.62        118.16         0.35        1.03        1.05         -146.08        106.33         106.04          -14.06        12.29         12.12          
0.30  -1.135 0.386  -0.267 0.35           1.12           1.13            161.17        107.22        107.13         0.14        1.08        1.08         125.99         94.39          94.36           35.18         12.83         12.76          
0.33  -1.144 0.385  -0.295 0.28           0.87           0.87            -173.18       108.87        108.85         0.05        0.82        0.82         -131.97        92.11          92.10           -41.21        16.76         16.75          
0.37  -1.156 0.391  -0.325 0.40           0.98           1.00            149.23        110.36        109.92         0.22        0.92        0.94         113.98         95.61          95.48           35.25         14.74         14.43          
0.40  -1.157 0.392  -0.351 0.06           0.78           0.78            142.94        93.26         93.26          0.21        0.80        0.80         9.19           75.11          75.12           133.76        18.15         18.13          
0.43  -1.159 0.409  -0.379 0.49           0.82           0.96            95.89         93.51         93.02          0.53        0.85        0.98         67.83          76.38          78.23           28.06         17.13         14.78          
0.47  -1.165 0.424  -0.396 0.50           0.55           0.72            112.20        110.42        105.38         0.47        0.51        0.69         82.71          83.35          85.07           29.48         27.07         20.30          
0.50  -1.152 0.439  -0.417 0.59           0.76           0.88            48.94         59.20         63.81          0.78        0.91        1.02         34.97          45.63          51.08           13.97         13.57         12.72          
0.53  -1.143 0.456  -0.429 0.56           0.44           0.66            61.88         52.78         66.39          0.72        0.62        0.80         43.94          34.13          49.68           17.94         18.64         16.71          
0.57  -1.123 0.473  -0.444 0.81           0.77           0.92            39.62         35.51         47.55          1.01        0.98        1.11         30.59          26.99          37.96           9.04          8.52          9.58           
0.60  -1.104 0.481  -0.452 0.60           0.61           0.65            23.93         24.67         32.57          0.84        0.84        0.88         16.98          17.54          23.72           6.95          7.13          8.85           
0.63  -1.084 0.490  -0.455 0.66           0.61           0.66            22.88         6.71          23.66          0.89        0.86        0.90         16.64          4.76           17.24           6.24          1.95          6.42           
0.67  -1.062 0.495  -0.455 0.67           0.65           0.67            13.98         1.96          14.11          0.91        0.90        0.91         10.19          1.41           10.29           3.79          0.54          3.82           
0.70  -1.043 0.494  -0.451 0.58           0.59           0.59            -2.07         -12.17        12.33          0.83        0.84        0.84         -1.45          -8.57          8.69            -0.62         -3.59         3.64           
0.73  -1.020 0.476  -0.449 0.87           0.69           0.87            -38.20        -4.74         38.36          1.08        0.94        1.08         -29.97         -3.48          30.10           -8.24         -1.26         8.25           
0.77  -0.994 0.465  -0.439 0.87           0.85           0.92            -24.10        -20.75        30.38          1.10        1.08        1.14         -18.78         -16.06         24.01           -5.32         -4.69         6.37           
0.80  -0.980 0.441  -0.431 0.81           0.49           0.85            -59.26        -32.21        60.89          0.96        0.72        1.00         -46.39         -21.47         48.27           -12.87        -10.74        12.62          
0.83  -0.955 0.425  -0.419 0.88           0.82           0.95            -32.80        -25.25        38.61          1.10        1.05        1.15         -25.73         -19.43         30.84           -7.07         -5.83         7.77           
0.87  -0.944 0.409  -0.401 0.61           0.65           0.81            -54.59        -56.96        64.36          0.78        0.81        0.95         -39.45         -41.97         50.64           -15.14        -14.99        13.73          
0.90  -0.924 0.400  -0.384 0.65           0.77           0.82            -24.21        -39.82        43.45          0.88        0.98        1.01         -17.55         -30.39         33.67           -6.66         -9.43         9.78           
0.93  -0.918 0.379  -0.353 0.66           0.95           1.14            -74.14        -79.08        80.93          0.77        1.03        1.21         -55.86         -65.27         69.14           -18.29        -13.81        11.79          
0.97  -0.909 0.357  -0.326 0.71           0.85           1.08            -68.48        -72.19        76.02          0.83        0.96        1.16         -52.30         -57.81         63.98           -16.18        -14.39        12.03          
1.00  -0.902 0.346  -0.300 0.40           0.82           0.89            -56.17        -74.33        75.49          0.58        0.92        0.98         -35.11         -59.23         61.22           -21.06        -15.10        14.27          
1.03  -0.894 0.329  -0.267 0.55           1.01           1.13            -65.25        -76.97        78.31          0.69        1.10        1.20         -46.02         -64.14         66.58           -19.24        -12.82        11.73          
1.07  -0.886 0.329  -0.231 0.23           1.10           1.10            -1.93         -77.80        77.80          0.48        1.18        1.18         -0.93          -65.88         65.88           -1.00         -11.93        11.93          
1.10  -0.879 0.314  -0.200 0.49           0.96           1.06            -65.17        -77.72        78.86          0.63        1.04        1.13         -44.22         -64.19         66.37           -20.96        -13.53        12.49          
1.13  -0.872 0.316  -0.160 0.23           1.21           1.21            10.90         -79.29        79.30          0.48        1.28        1.28         5.20           -68.19         68.20           5.70          -11.10        11.09          
1.17  -0.865 0.323  -0.130 0.30           0.93           0.95            45.73         -76.91        77.25          0.51        1.01        1.03         25.08          -62.99         63.63           20.65         -13.92        13.63          
1.20  -0.857 0.317  -0.105 0.29           0.77           0.79            -37.74        -72.86        73.30          0.51        0.88        0.90         -20.27         -57.12         57.84           -17.48        -15.74        15.47          
1.23  -0.851 0.337  -0.079 0.65           0.82           1.02            71.85         -75.75        78.65          0.76        0.91        1.10         53.69          -60.35         65.77           18.16         -15.41        12.88          
1.27  -0.839 0.361  -0.057 0.79           0.75           1.03            63.75         -62.49        70.30          0.93        0.90        1.14         49.74          -48.19         58.41           14.01         -14.30        11.89          
1.30  -0.824 0.379  -0.032 0.71           0.86           1.02            51.37         -58.94        64.32          0.89        1.01        1.15         38.64          -46.69         53.03           12.73         -12.25        11.29          
1.33  -0.802 0.385  -0.022 0.69           0.73           0.75            13.83         -23.75        26.76          0.93        0.96        0.98         10.16          -17.76         20.15           3.67          -6.00         6.61           
1.37  -0.790 0.406  -0.017 0.74           0.41           0.76            59.69         -24.38        60.53          0.90        0.65        0.91         45.74          -15.21         46.71           13.95         -9.17         13.82          
1.40  -0.763 0.420  -0.020 0.90           0.81           0.90            26.79         6.47          27.37          1.13        1.05        1.13         21.05          4.94           21.52           5.75          1.53          5.84           
1.43  -0.744 0.442  -0.031 0.88           0.67           0.94            48.81         30.14         52.04          1.06        0.90        1.11         38.60          22.08          41.84           10.21         8.06          10.19          
1.47  -0.722 0.461  -0.045 0.88           0.78           0.97            41.78         31.72         47.37          1.08        1.00        1.16         32.94          24.14          38.23           8.84          7.58          9.14           
1.50  -0.704 0.482  -0.068 0.81           0.88           1.07            49.28         53.13         60.51          0.99        1.05        1.21         38.22          42.10          50.16           11.06         11.03         10.35          
1.53  -0.690 0.493  -0.090 0.52           0.78           0.84            38.20         57.90         60.64          0.74        0.93        0.99         26.10          44.79          47.91           12.10         13.11         12.74          
1.57  -0.685 0.509  -0.110 0.52           0.62           0.80            73.74         76.45         79.48          0.64        0.72        0.88         51.68          56.85          63.28           22.06         19.60         16.20          
1.60  -0.676 0.529  -0.148 0.64           1.17           1.31            64.75         76.50         77.93          0.78        1.25        1.38         47.93          65.33          67.73           16.82         11.18         10.19          
1.63  -0.677 0.512  -0.176 0.50           0.85           0.99            -91.07        90.63         90.55          0.56        0.88        1.02         -64.51         74.21          76.33           -26.56        16.42         14.21          
1.67  -0.683 0.514  -0.207 0.21           0.95           0.95            165.89        102.20        102.18         0.07        0.93        0.93         45.74          86.97          86.97           120.15        15.23         15.21          
1.70  -0.697 0.503  -0.251 0.50           1.36           1.40            -142.69       106.98        106.56         0.34        1.31        1.35         -116.00        96.47          96.31           -26.69        10.50         10.25          
1.73  -0.704 0.495  -0.274 0.34           0.72           0.76            -132.55       108.71        107.63         0.25        0.68        0.73         -85.57         88.36          88.46           -46.98        20.35         19.16          
1.77  -0.721 0.479  -0.311 0.69           1.24           1.33            -135.89       113.69        111.99         0.54        1.16        1.25         -117.11        102.29         101.33          -18.77        11.40         10.66          
1.80  -0.729 0.457  -0.336 0.70           0.78           1.02            -111.04       108.99        104.39         0.66        0.74        0.99         -90.27         90.24          90.18           -20.78        18.76         14.21          
1.83  -0.742 0.439  -0.370 0.65           1.10           1.22            -124.98       109.85        107.78         0.55        1.04        1.17         -103.07        96.83          96.07           -21.91        13.02         11.71          
1.87  -0.742 0.431  -0.392 0.24           0.66           0.70            -93.14        91.15         91.08          0.34        0.70        0.74         -45.37         70.12          71.25           -47.77        21.03         19.83          
1.90  -0.747 0.418  -0.438 0.42           1.39           1.44            -110.69       96.11         95.88          0.40        1.38        1.44         -75.32         85.75          85.91           -35.38        10.36         9.97           
1.93  -0.747 0.423  -0.468 0.15           0.90           0.92            83.70         88.99         89.00          0.30        0.94        0.95         28.48          73.60          73.79           55.22         15.39         15.21          
1.97  -0.742 0.422  -0.494 0.15           0.79           0.79            -10.10        79.31         79.31          0.40        0.87        0.87         -3.77          62.95          62.96           -6.33         16.35         16.35          
2.00  -0.741 0.425  -0.522 0.09           0.84           0.84            73.52         88.25         88.25          0.29        0.88        0.89         17.50          71.81          71.90           56.02         16.43         16.35          
2.03  -0.724 0.435  -0.538 0.59           0.68           0.75            32.12         43.49         48.68          0.81        0.88        0.93         22.65          32.23          37.10           9.47          11.25         11.59          
2.07  -0.713 0.443  -0.542 0.40           0.36           0.42            32.45         18.96         35.86          0.63        0.60        0.64         20.16          11.22          22.65           12.29         7.74          13.21          
2.10  -0.709 0.457  -0.541 0.43           0.10           0.43            76.18         -4.51         76.18          0.55        0.35        0.55         49.79          -1.32          49.80           26.38         -3.20         26.38          
2.13  -0.706 0.467  -0.535 0.33           0.22           0.38            70.12         -60.08        72.98          0.47        0.41        0.51         40.33          -28.07         45.07           29.80         -32.01        27.91          
2.17  -0.706 0.473  -0.521 0.18           0.43           0.47            90.82         -90.35        90.32          0.31        0.50        0.53         36.73          -60.12         62.16           54.09         -30.23        28.16          
2.20  -0.704 0.469  -0.503 0.12           0.53           0.54            -59.06        -83.15        83.28          0.33        0.61        0.62         -18.50         -59.08         59.58           -40.56        -24.07        23.70          
2.23  -0.713 0.464  -0.479 0.32           0.77           0.78            -150.23       -111.30       110.84         0.16        0.71        0.73         -100.03        -92.26         92.20           -50.20        -19.05        18.63          
2.27  -0.722 0.449  -0.459 0.53           0.69           0.82            -122.14       -114.21       110.08         0.45        0.63        0.77         -94.03         -92.88         92.35           -28.11        -21.32        17.74          
