time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.097 0.226  -0.283 
0.03  -1.091 0.232  -0.264 0.25           0.58           0.61            42.43         -71.46        72.22          0.47        0.70        0.72         21.26          -51.76         53.00           21.17         -19.70        19.22          
0.07  -1.076 0.241  -0.241 0.51           0.84           0.88            32.37         -58.90        60.60          0.74        0.99        1.03         21.88          -46.41         48.35           10.49         -12.49        12.24          
0.10  -1.074 0.251  -0.227 0.30           0.42           0.51            77.06         -80.75        82.43          0.43        0.52        0.60         42.81          -52.57         58.02           34.25         -28.18        24.41          
0.13  -1.075 0.256  -0.200 0.17           0.79           0.81            98.29         -91.82        91.78          0.28        0.82        0.84         37.42          -74.06         74.41           60.87         -17.76        17.37          
0.17  -1.080 0.266  -0.176 0.33           0.74           0.80            117.79        -101.89       101.06         0.31        0.73        0.79         71.52          -82.39         82.93           46.28         -19.50        18.13          
0.20  -1.085 0.268  -0.154 0.14           0.67           0.67            160.19        -101.74       101.70         0.12        0.66        0.66         23.11          -80.05         80.08           137.07        -21.68        21.62          
0.23  -1.100 0.274  -0.136 0.49           0.72           0.74            156.22        -129.04       127.37         0.28        0.59        0.62         135.29         -109.85        108.77          20.93         -19.20        18.60          
0.27  -1.110 0.280  -0.115 0.35           0.70           0.72            151.60        -116.04       115.29         0.18        0.64        0.66         109.45         -95.33         95.15           42.15         -20.71        20.13          
0.30  -1.123 0.281  -0.099 0.38           0.60           0.60            176.11        -128.99       128.95         0.13        0.48        0.48         168.46         -105.11        105.09          7.64          -23.88        23.86          
0.33  -1.138 0.286  -0.082 0.48           0.71           0.72            161.73        -130.46       129.38         0.26        0.58        0.60         144.04         -111.21        110.48          17.69         -19.25        18.90          
0.37  -1.158 0.282  -0.066 0.62           0.77           0.78            -168.81       -141.69       140.84         0.38        0.60        0.61         -161.39        -126.63        125.80          -7.42         -15.06        15.04          
0.40  -1.172 0.279  -0.049 0.42           0.63           0.64            -167.53       -130.32       129.83         0.18        0.51        0.52         -150.50        -108.35        108.06          -17.03        -21.97        21.77          
0.43  -1.184 0.274  -0.026 0.39           0.79           0.80            -158.66       -117.40       116.93         0.18        0.71        0.72         -128.46        -99.14         98.96           -30.20        -18.26        17.97          
0.47  -1.194 0.263  -0.001 0.46           0.82           0.89            -133.26       -112.77       110.98         0.35        0.76        0.83         -101.41        -95.14         94.70           -31.85        -17.63        16.28          
0.50  -1.208 0.265  0.022  0.41           0.80           0.80            168.26        -120.16       119.98         0.17        0.71        0.71         151.07         -102.32        102.24          17.19         -17.84        17.74          
0.53  -1.210 0.272  0.054  0.21           0.95           0.97            106.08        -93.48        93.41          0.28        0.96        0.99         46.06          -78.49         78.74           60.02         -14.99        14.67          
0.57  -1.211 0.275  0.072  0.10           0.55           0.56            110.83        -93.85        93.79          0.23        0.59        0.60         24.55          -68.83         69.12           86.28         -25.02        24.67          
0.60  -1.216 0.290  0.093  0.45           0.63           0.76            108.48        -102.99       100.75         0.44        0.63        0.76         75.86          -80.14         81.86           32.62         -22.86        18.89          
0.63  -1.207 0.300  0.115  0.40           0.72           0.78            50.31         -69.00        70.79          0.60        0.84        0.90         31.45          -52.90         55.54           18.86         -16.10        15.25          
0.67  -1.206 0.302  0.128  0.06           0.41           0.41            52.64         -84.45        84.50          0.29        0.50        0.50         10.09          -54.45         54.66           42.55         -30.01        29.83          
0.70  -1.207 0.317  0.140  0.47           0.36           0.59            95.31         -96.92        94.22          0.51        0.41        0.62         66.16          -60.02         70.67           29.16         -36.90        23.56          
0.73  -1.204 0.334  0.153  0.51           0.40           0.65            79.71         -76.77        81.83          0.61        0.52        0.73         55.99          -48.85         61.89           23.73         -27.93        19.94          
0.77  -1.198 0.347  0.158  0.43           0.23           0.46            65.85         -40.73        67.30          0.58        0.45        0.60         42.73          -19.62         44.71           23.13         -21.11        22.59          
0.80  -1.192 0.354  0.153  0.28           0.24           0.32            51.47         42.65         57.29          0.48        0.45        0.50         27.24          20.69          32.56           24.23         21.96         24.74          
0.83  -1.179 0.363  0.148  0.48           0.42           0.50            34.34         21.85         38.38          0.70        0.66        0.71         22.66          13.77          25.83           11.68         8.08          12.55          
0.87  -1.174 0.366  0.143  0.18           0.22           0.23            20.49         40.14         42.68          0.42        0.44        0.44         8.50           18.63          20.24           11.99         21.50         22.44          
0.90  -1.155 0.362  0.134  0.57           0.62           0.63            -11.33        26.27         28.05          0.81        0.85        0.86         -7.88          18.81          20.19           -3.46         7.46          7.86           
0.93  -1.139 0.349  0.123  0.60           0.57           0.68            -37.99        34.28         46.03          0.81        0.79        0.87         -27.06         24.03          34.14           -10.93        10.25         11.89          
0.97  -1.133 0.345  0.121  0.24           0.22           0.25            -31.84        18.80         35.30          0.48        0.46        0.48         -15.75         8.79           17.82           -16.09        10.01         17.48          
1.00  -1.109 0.337  0.107  0.75           0.83           0.86            -18.82        30.80         34.47          0.99        1.05        1.08         -14.16         23.81          26.94           -4.66         6.99          7.53           
1.03  -1.099 0.322  0.090  0.53           0.57           0.72            -57.20        59.79         66.64          0.70        0.73        0.85         -39.65         42.54          51.03           -17.55        17.26         15.60          
1.07  -1.080 0.314  0.079  0.62           0.67           0.71            -22.15        31.09         36.04          0.86        0.90        0.93         -15.84         22.80          26.89           -6.31         8.29          9.15           
1.10  -1.056 0.300  0.058  0.85           0.96           1.05            -30.43        39.88         45.60          1.07        1.16        1.24         -23.65         31.92          37.29           -6.78         7.96          8.31           
1.13  -1.031 0.285  0.039  0.86           0.93           1.04            -31.05        37.61         44.35          1.09        1.14        1.23         -24.23         29.93          36.16           -6.82         7.67          8.19           
1.17  -1.015 0.275  0.019  0.57           0.77           0.83            -33.34        52.26         55.41          0.79        0.95        1.00         -23.30         40.23          43.51           -10.04        12.03         11.90          
1.20  -0.999 0.269  -0.008 0.52           0.94           0.96            -21.24        58.91         59.59          0.76        1.09        1.11         -14.38         47.58          48.35           -6.85         11.33         11.24          
1.23  -0.975 0.267  -0.038 0.72           1.16           1.16            -3.51         51.37         51.40          0.97        1.33        1.33         -2.61          42.91          42.94           -0.90         8.46          8.46           
1.27  -0.963 0.271  -0.063 0.39           0.85           0.85            16.91         64.15         64.39          0.63        0.98        0.99         10.27          50.88          51.18           6.64          13.27         13.21          
1.30  -0.951 0.287  -0.093 0.58           0.94           1.05            54.12         68.74         71.08          0.76        1.06        1.16         38.59          56.02          59.31           15.53         12.72         11.78          
1.33  -0.940 0.300  -0.115 0.53           0.75           0.85            50.60         63.20         66.72          0.72        0.89        0.98         34.97          48.68          53.17           15.63         14.52         13.55          
1.37  -0.924 0.317  -0.129 0.69           0.64           0.81            47.46         43.11         55.16          0.88        0.84        0.98         35.32          31.33          43.05           12.14         11.79         12.11          
1.40  -0.914 0.328  -0.148 0.45           0.64           0.71            43.84         59.13         62.59          0.66        0.80        0.86         28.58          43.50          47.57           15.26         15.63         15.02          
1.43  -0.897 0.343  -0.155 0.69           0.56           0.73            42.30         23.93         45.35          0.89        0.79        0.92         31.44          16.60          34.22           10.86         7.33          11.13          
1.47  -0.875 0.366  -0.163 0.93           0.68           0.96            47.27         20.76         48.92          1.12        0.91        1.14         37.81          15.20          39.43           9.46          5.56          9.49           
1.50  -0.859 0.366  -0.172 0.49           0.56           0.56            -0.48         29.58         29.58          0.74        0.79        0.79         -0.32          20.61          20.62           -0.16         8.97          8.97           
1.53  -0.833 0.376  -0.174 0.83           0.77           0.83            21.06         3.10          21.25          1.06        1.02        1.06         16.22          2.34           16.37           4.85          0.76          4.88           
1.57  -0.805 0.375  -0.166 0.84           0.87           0.87            -2.55         -16.62        16.80          1.09        1.11        1.11         -1.97          -12.94         13.08           -0.59         -3.68         3.72           
1.60  -0.793 0.356  -0.153 0.66           0.51           0.76            -56.79        -45.12        61.32          0.83        0.71        0.90         -42.13         -30.74         47.27           -14.66        -14.38        14.05          
1.63  -0.779 0.343  -0.136 0.57           0.67           0.77            -42.96        -51.04        57.14          0.78        0.85        0.93         -30.27         -37.78         44.13           -12.69        -13.26        13.01          
1.67  -0.768 0.328  -0.120 0.56           0.60           0.74            -51.56        -54.59        62.10          0.74        0.77        0.89         -36.27         -39.32         47.72           -15.30        -15.27        14.38          
1.70  -0.747 0.314  -0.098 0.77           0.92           1.01            -33.69        -46.10        50.99          0.98        1.11        1.19         -25.59         -36.75         41.58           -8.09         -9.35         9.42           
1.73  -0.728 0.305  -0.079 0.62           0.78           0.83            -27.36        -45.37        48.68          0.85        0.97        1.01         -19.58         -34.85         38.02           -7.78         -10.53        10.66          
1.77  -0.711 0.296  -0.054 0.57           0.91           0.94            -26.76        -55.82        57.28          0.80        1.07        1.10         -18.69         -44.65         46.24           -8.07         -11.17        11.04          
1.80  -0.697 0.290  -0.036 0.47           0.70           0.72            -22.57        -51.92        53.31          0.70        0.87        0.89         -14.72         -38.90         40.31           -7.85         -13.02        13.00          
1.83  -0.675 0.279  -0.015 0.75           0.91           0.97            -26.85        -42.24        46.11          0.98        1.11        1.16         -20.25         -33.49         37.15           -6.60         -8.75         8.97           
1.87  -0.654 0.266  0.001  0.71           0.78           0.87            -31.86        -39.97        46.21          0.93        0.99        1.06         -23.70         -30.62         36.39           -8.16         -9.34         9.83           
1.90  -0.622 0.260  0.017  0.98           1.08           1.10            -10.78        -26.66        28.23          1.23        1.31        1.32         -8.60          -21.74         23.09           -2.18         -4.92         5.14           
1.93  -0.603 0.262  0.024  0.59           0.62           0.62            3.74          -18.56        18.89          0.84        0.86        0.86         2.63           -13.27         13.51           1.11          -5.30         5.38           
1.97  -0.576 0.258  0.046  0.82           1.05           1.06            -7.74         -39.23        39.61          1.07        1.25        1.26         -5.94          -31.99         32.34           -1.81         -7.24         7.28           
2.00  -0.537 0.248  0.070  1.20           1.37           1.40            -14.61        -31.78        33.90          1.44        1.59        1.61         -12.11         -27.01         28.95           -2.50         -4.76         4.96           
2.03  -0.510 0.248  0.090  0.82           1.00           1.00            0.33          -35.56        35.56          1.07        1.22        1.22         0.26           -28.69         28.69           0.08          -6.87         6.87           
2.07  -0.483 0.264  0.102  0.94           0.89           1.01            30.36         -24.90        36.78          1.16        1.13        1.22         24.11          -19.54         29.73           6.24          -5.37         7.04           
2.10  -0.466 0.283  0.107  0.76           0.50           0.77            50.52         -16.12        51.29          0.94        0.75        0.95         38.68          -10.79         39.45           11.84         -5.33         11.84          
2.13  -0.435 0.291  0.098  0.98           1.00           1.02            13.53         16.27         20.72          1.23        1.24        1.26         10.80          13.02          16.69           2.73          3.25          4.03           
2.17  -0.411 0.301  0.085  0.78           0.82           0.87            23.03         28.56         34.63          1.01        1.04        1.09         17.49          21.98          27.12           5.54          6.58          7.52           
2.20  -0.399 0.322  0.060  0.72           0.80           1.02            61.34         64.74         70.35          0.86        0.94        1.13         46.64          50.81          58.32           14.70         13.93         12.02          
2.23  -0.396 0.337  0.036  0.46           0.73           0.85            79.49         83.42         84.40          0.56        0.80        0.91         53.41          65.21          68.59           26.08         18.20         15.81          
2.27  -0.398 0.350  0.012  0.40           0.73           0.83            97.83         94.32         93.79          0.44        0.75        0.85         63.83          74.88          76.68           34.00         19.44         17.11          
2.30  -0.405 0.362  -0.016 0.41           0.87           0.94            118.74        103.06        102.06         0.36        0.85        0.93         81.69          86.46          86.74           37.05         16.60         15.32          
2.33  -0.427 0.380  -0.036 0.85           0.90           1.04            142.38        138.35        130.36         0.67        0.73        0.90         129.19         125.24         118.10          13.19         13.11         12.25          
2.37  -0.442 0.386  -0.064 0.48           0.95           0.97            158.25        117.90        117.39         0.27        0.87        0.88         137.79         103.11         102.84          20.46         14.79         14.55          
2.40  -0.453 0.384  -0.090 0.33           0.85           0.85            -172.95       112.60        112.58         0.09        0.79        0.79         -151.96        95.52          95.51           -20.99        17.08         17.06          
2.43  -0.466 0.405  -0.099 0.73           0.47           0.78            122.63        147.27        120.63         0.64        0.29        0.68         103.27         119.81         102.30          19.36         27.46         18.33          
2.47  -0.469 0.413  -0.118 0.27           0.59           0.64            108.87        98.62         97.89          0.30        0.60        0.65         57.80          74.39          75.68           51.08         24.23         22.22          
2.50  -0.477 0.420  -0.141 0.30           0.72           0.75            137.18        107.76        107.07         0.21        0.69        0.72         81.95          87.60          87.70           55.23         20.17         19.38          
