time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.157 0.315  -0.341 
0.03  -1.134 0.301  -0.311 0.83           1.17           1.24            -30.70        -52.20        54.83          1.05        1.34        1.40         -23.75         -43.69         46.45           -6.95         -8.51         8.39           
0.07  -1.111 0.288  -0.293 0.79           0.87           0.95            -30.03        -38.24        44.34          1.01        1.07        1.14         -22.92         -29.96         35.56           -7.11         -8.28         8.79           
0.10  -1.070 0.286  -0.262 1.23           1.54           1.54            -2.50         -37.00        37.04          1.48        1.75        1.75         -2.08          -32.06         32.10           -0.42         -4.94         4.94           
0.13  -1.035 0.281  -0.258 1.06           1.06           1.07            -7.56         -6.43         9.88           1.31        1.31        1.32         -6.13          -5.21          8.02            -1.44         -1.22         1.86           
0.17  -0.993 0.282  -0.251 1.24           1.25           1.25            1.61          -9.13         9.27           1.49        1.50        1.50         1.34           -7.61          7.73            0.27          -1.52         1.54           
0.20  -0.948 0.291  -0.259 1.38           1.37           1.40            11.66         10.18         15.30          1.62        1.62        1.64         9.88           8.61           13.00           1.78          1.57          2.30           
0.23  -0.906 0.291  -0.269 1.26           1.30           1.30            -0.23         13.14         13.14          1.51        1.54        1.54         -0.19          11.02          11.02           -0.04         2.11          2.11           
0.27  -0.868 0.314  -0.278 1.33           1.18           1.36            30.93         13.28         32.79          1.55        1.42        1.58         26.19          10.96          27.86           4.75          2.32          4.93           
0.30  -0.821 0.310  -0.308 1.42           1.68           1.68            -4.87         32.34         32.58          1.67        1.89        1.90         -4.14          28.29          28.51           -0.73         4.05          4.07           
0.33  -0.781 0.319  -0.341 1.22           1.54           1.56            12.29         39.28         40.25          1.47        1.74        1.76         10.21          34.07          34.98           2.08          5.22          5.27           
0.37  -0.742 0.329  -0.357 1.21           1.27           1.31            14.48         22.97         26.39          1.45        1.50        1.53         12.01          19.25          22.24           2.47          3.72          4.15           
0.40  -0.704 0.321  -0.381 1.17           1.35           1.37            -11.32        31.89         33.17          1.41        1.57        1.58         -9.33          27.06          28.21           -1.99         4.84          4.96           
0.43  -0.664 0.319  -0.403 1.21           1.38           1.38            -2.58         28.71         28.79          1.46        1.61        1.61         -2.14          24.42          24.49           -0.44         4.28          4.29           
