time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.213 0.295  -0.049 
0.03  -1.169 0.298  -0.048 1.30           1.30           1.30            4.71          -0.67         4.76           1.55        1.55        1.55         3.95           -0.56          3.99            0.76          -0.11         0.76           
0.07  -1.129 0.295  -0.048 1.21           1.21           1.21            -4.16         0.20          4.16           1.46        1.46        1.46         -3.45          0.17           3.45            -0.71         0.03          0.71           
0.10  -1.088 0.289  -0.055 1.24           1.24           1.25            -8.43         9.09          12.30          1.48        1.48        1.50         -7.01          7.57           10.26           -1.42         1.53          2.04           
0.13  -1.045 0.286  -0.060 1.32           1.32           1.33            -4.60         6.54          7.97           1.57        1.57        1.58         -3.87          5.50           6.71            -0.73         1.04          1.26           
0.17  -1.000 0.286  -0.075 1.34           1.41           1.41            0.30          18.56         18.57          1.59        1.65        1.65         0.25           15.80          15.81           0.05          2.76          2.76           
0.20  -0.950 0.287  -0.083 1.49           1.51           1.51            1.18          8.72          8.80           1.74        1.76        1.76         1.01           7.49           7.55            0.17          1.24          1.25           
0.23  -0.905 0.299  -0.088 1.39           1.36           1.40            14.26         6.84          15.70          1.64        1.61        1.64         12.10          5.78           13.34           2.16          1.06          2.36           
0.27  -0.864 0.308  -0.109 1.25           1.37           1.40            12.95         26.97         29.18          1.50        1.60        1.62         10.81          22.90          24.87           2.14          4.07          4.30           
0.30  -0.831 0.317  -0.147 1.05           1.52           1.55            15.76         48.59         49.44          1.29        1.70        1.72         12.74          42.25          43.11           3.02          6.34          6.33           
0.33  -0.797 0.316  -0.179 1.02           1.40           1.40            -3.04         43.41         43.45          1.27        1.59        1.59         -2.44          37.21          37.25           -0.60         6.20          6.20           
0.37  -0.773 0.321  -0.211 0.74           1.19           1.20            12.88         53.00         53.40          0.98        1.36        1.37         9.62           44.53          44.95           3.26          8.47          8.45           
0.40  -0.753 0.313  -0.249 0.65           1.29           1.31            -20.70        61.76         62.24          0.89        1.43        1.45         -15.02         52.89          53.44           -5.68         8.87          8.79           
0.43  -0.725 0.308  -0.293 0.84           1.57           1.57            -10.28        58.20         58.36          1.09        1.71        1.72         -7.92          51.07          51.24           -2.36         7.14          7.12           
0.47  -0.702 0.294  -0.332 0.83           1.38           1.44            -31.50        59.20         60.76          1.05        1.52        1.58         -24.34         51.08          52.82           -7.16         8.12          7.94           
0.50  -0.670 0.288  -0.368 0.98           1.43           1.44            -10.03        47.71         48.08          1.23        1.61        1.62         -8.00          41.13          41.49           -2.03         6.58          6.58           
0.53  -0.635 0.291  -0.397 1.04           1.36           1.36            4.17          40.32         40.42          1.29        1.56        1.56         3.36           34.35          34.45           0.81          5.97          5.97           
0.57  -0.589 0.279  -0.423 1.41           1.58           1.62            -14.02        30.15         32.30          1.65        1.80        1.83         -11.92         26.16          28.13           -2.10         4.00          4.18           
0.60  -0.547 0.290  -0.449 1.30           1.48           1.51            14.00         31.15         33.18          1.55        1.70        1.72         11.76          26.78          28.63           2.24          4.38          4.55           
0.63  -0.502 0.295  -0.461 1.37           1.41           1.42            5.87          15.03         16.04          1.62        1.66        1.66         4.97           12.78          13.66           0.90          2.24          2.38           
0.67  -0.454 0.311  -0.469 1.52           1.46           1.54            18.77         8.82          20.48          1.76        1.70        1.77         16.14          7.53           17.65           2.62          1.29          2.83           
0.70  -0.425 0.326  -0.473 0.97           0.88           0.98            26.77         8.33          27.71          1.20        1.13        1.21         21.39          6.49           22.19           5.37          1.84          5.52           
0.73  -0.403 0.342  -0.463 0.82           0.73           0.88            35.98         -24.29        40.52          1.04        0.96        1.08         27.83          -18.17         31.86           8.15          -6.12         8.66           
0.77  -0.396 0.371  -0.450 0.92           0.44           0.99            77.07         -62.21        78.11          1.00        0.60        1.07         62.99          -40.52         64.95           14.08         -21.69        13.16          
0.80  -0.387 0.385  -0.431 0.48           0.61           0.74            58.49         -65.65        69.99          0.65        0.75        0.86         39.38          -48.03         54.11           19.11         -17.62        15.88          
0.83  -0.383 0.399  -0.419 0.44           0.39           0.57            71.37         -68.99        75.78          0.57        0.53        0.67         46.72          -42.99         54.71           24.65         -26.00        21.07          
0.87  -0.391 0.403  -0.396 0.28           0.73           0.74            156.78        -110.42       110.19         0.11        0.69        0.70         93.01          -90.48         90.48           63.76         -19.94        19.71          
0.90  -0.393 0.408  -0.383 0.16           0.41           0.44            109.75        -97.57        97.10          0.25        0.45        0.48         37.46          -64.22         65.63           72.30         -33.35        31.47          
