x,y
196.9035584771,4.6544281848
182.1349126603,-2.9200042536
182.9587206236,-20.2456883549
166.4756167166,-21.4784705298
154.4765802855,-27.7911486218
142.6324961425,-34.3858442187
132.1495615111,-32.6735563286
137.6636059611,-21.9809803662
137.1657620549,-10.4306328087
131.74937661,-2.813555938
125.437132558,-4.4903610562
115.9030094165,-10.6674016411
108.2239733326,-18.8201924099
95.2131896082,3.1791261472
91.8602304318,-8.7856211221
91.4392116097,-22.1650133359
85.7736871917,-33.7023396927
76.8363690816,-33.5426129643
74.9591459829,-24.3837174226
72.4621137315,-14.0967518615
65.2062666698,-9.5743803536
59.6509884176,-6.8865875122
51.3234965396,-4.6154730928
46.0681399432,0.7477424493
39.1339165384,0.9032372875
33.3064951919,-8.098535766
33.9658019866,-22.0435906395
31.5421224991,-35.5595969504
24.3010327982,-35.8259890144
21.9728421158,-30.3281125553
18.4163181687,-26.23609173
17.1576021025,-17.7827282454
15.9062647167,-11.7237465467
12.4890676169,-2.8432876796
7.2298046603,3.7875417492
-0.7730252807,0.7058575871
