x,y
-0.4412804297,-0.7977501225
-0.497371955,-0.7756578082
-0.5447285682,-0.7393872013
-0.589156276,-0.6974500592
-0.6420080734,-0.6527633325
-0.692034573,-0.6080526964
-0.7333261605,-0.5491637676
-0.7718960577,-0.4958935552
-0.8017310428,-0.4284450502
-0.8231419383,-0.3637461297
-0.8502552332,-0.3019163409
-0.860054115,-0.2201939055
-0.8587072171,-0.1468397709
-0.8545350213,-0.073461727
-0.8358737104,0.0197850542
-0.8204003236,0.0932587359
-0.7904896253,0.183779842
-0.7612005722,0.2404451936
-0.7347368169,0.2970866358
-0.7113055745,0.3424189171
-0.6820165214,0.3990842688
-0.6644948933,0.4302621669
-0.6466624427,0.4783679422
-0.6261601055,0.5180336884
-0.6084830661,0.5576755251
-0.6335999235,0.5743882174
-0.656564932,0.5544477519
-0.6684877683,0.5204963598
-0.6632516029,0.4979736757
-0.6525202533,0.4670348719
-0.6360865043,0.4389651998
-0.6083515643,0.4109911655
-0.5807202318,0.3773745054
-0.5672153881,0.3436382981
-0.5707141349,0.3069373214
-0.6047731194,0.2981864697
-0.6268056602,0.3290296357
-0.6459092956,0.365539337
-0.6565888415,0.3992994537
-0.6787249897,0.424499994
-0.7154538608,0.4241891714
-0.7273766971,0.3902377793
-0.7137164421,0.3649655106
-0.6796056538,0.3765376753
-0.6481647519,0.3965498691
-0.6336756367,0.4164186063
-0.6133287108,0.4476204139
-0.5873311895,0.4788700403
-0.5556312688,0.5129887984
-0.5241903669,0.5330009922
-0.5134590172,0.5020621884
-0.5367866522,0.4623725328
-0.5570299705,0.436813351
-0.5744997948,0.4084567658
-0.5946913093,0.3857188968
-0.6037370441,0.354612727
-0.6271682865,0.3092804457
-0.6419682244,0.2724838312
-0.6703248096,0.2666021112
-0.6609164485,0.3174574711
-0.6461165107,0.3542540855
-0.6340900668,0.3938481034
-0.6221672305,0.4277994955
-0.6101407867,0.4673935134
-0.5953408489,0.5041901278
-0.5804891073,0.5438080551
-0.5599867701,0.5834738012
-0.5368145465,0.6146995182
-0.5075772972,0.668543557
-0.4732592938,0.6914009731
