x,y
-0.5736904866,-0.6366240861
-0.611689138,-0.5921716835
-0.6495201594,-0.5366861854
-0.6926658107,-0.4673636007
-0.7332589158,-0.411855244
-0.7738939284,-0.3591051611
-0.8088790512,-0.2981259739
-0.8325643946,-0.2206885779
-0.8590537292,-0.1459865972
-0.8715650156,-0.0603658142
-0.879013117,-0.0051317609
-0.8778397077,0.0720999074
-0.8515141933,0.1684337652
-0.8337682821,0.2455282818
-0.8080294724,0.3032463055
-0.7625789099,0.3856287836
-0.7313159328,0.44330109
-0.6999691409,0.5064899441
-0.6520917545,0.5667833726
-0.6041724607,0.629835075
-0.5424846561,0.6900142104
-0.4756079441,0.7280814377
-0.4150516414,0.7137871786
-0.4404970989,0.675377072
-0.4743545296,0.6287607197
-0.5193022024,0.5794775281
-0.5668024215,0.5440085644
-0.6087365658,0.5112521573
-0.6618866746,0.4675540892
-0.6977099469,0.4733677991
-0.7162901978,0.5231767391
-0.6848176834,0.5946404148
-0.640079548,0.6301322371
-0.6158494074,0.5885524015
-0.6277358915,0.5334783586
-0.6533489788,0.4840351566
-0.668039454,0.4262256984
-0.6911419025,0.3602099946
-0.7028607567,0.3161690471
-0.7256698529,0.2694612603
-0.7567652,0.2228220494
-0.7925046574,0.234152307
-0.8335587448,0.2593196512
-0.8355245864,0.3117497133
-0.8044711467,0.3556306504
-0.7862680631,0.2809972455
-0.7844279439,0.2202923618
-0.7854756308,0.1513355151
-0.7917960401,0.0989740288
-0.7954800882,0.0383148623
-0.7961506078,-0.0058175196
-0.8077437396,-0.0415836454
-0.827245955,-0.0524567305
-0.8512665582,0.0029144745
-0.8749519016,0.0803518704
-0.8395057966,0.0497136957
-0.8182053695,-0.0028763768
-0.8134355368,-0.0525710236
-0.8033091667,-0.1133444833
-0.790336898,-0.1686242538
-0.7664420172,-0.2322702804
-0.7479036738,-0.2848374942
-0.7237992556,-0.3346921515
-0.7051351897,-0.3789845438
-0.6585150276,-0.4014393313
-0.6329019403,-0.3519961293
-0.6292178922,-0.2913369628
