x,y
5.9932942163,-0.3640167364
5.9262363789,-0.3389121339
5.8675607712,-0.3054393305
5.8172673931,-0.230125523
5.7669740151,-0.179916318
5.6999161777,-0.1129707113
5.64124057,-0.0878661088
5.5574182733,-0.0627615063
5.4987426655,-0.0292887029
5.3646269908,-0.0041841004
5.255658005,0.0041841004
5.1634534786,0.0125523013
5.0880134116,0.0209205021
5.0209555742,0.0543933054
4.9622799665,0.0962343096
4.9203688181,0.1380753138
4.8533109807,0.1715481172
4.7778709137,0.179916318
4.719195306,0.1966527197
4.6772841576,0.2468619247
4.6353730092,0.3556485356
4.5934618609,0.4393305439
4.5850796312,0.5481171548
4.5850796312,0.6736401674
4.5850796312,0.7573221757
4.6437552389,0.8493723849
4.6856663873,0.89958159
4.7527242246,0.949790795
4.8533109807,1.0083682008
4.9706621961,1.0083682008
5.0461022632,1.0083682008
5.1466890193,0.9330543933
5.1886001676,0.8828451883
5.2388935457,0.7824267782
5.2388935457,0.690376569
5.1969823973,0.6066945607
5.1634534786,0.5313807531
5.1466890193,0.4393305439
5.1215423303,0.3305439331
5.1047778709,0.2552301255
5.1047778709,0.1380753138
5.0544844929,0.0543933054
5.0293378039,-0.0125523013
4.9455155071,-0.0543933054
4.8616932104,-0.0962343096
4.769488684,-0.0962343096
4.6940486169,-0.0711297071
4.6437552389,-0.0209205021
4.5766974015,0.0209205021
4.4844928751,0.0460251046
4.409052808,0.0460251046
4.3419949707,0.0711297071
4.283319363,0.1380753138
4.2665549036,0.2384937238
4.2665549036,0.2384937238
4.2497904443,0.3389121339
4.2414082146,0.4309623431
4.2330259849,0.5313807531
4.2330259849,0.6234309623
4.2665549036,0.7405857741
4.308466052,0.7991631799
4.35875943,0.8661087866
4.4509639564,0.9330543933
4.5683151718,0.9748953975
4.6605196982,0.9748953975
4.744341995,0.9581589958
4.8365465214,0.89958159
4.9036043588,0.8326359833
4.9371332775,0.7656903766
4.9036043588,0.640167364
4.8616932104,0.5648535565
4.8113998324,0.4728033473
4.7862531433,0.3891213389
4.7862531433,0.3221757322
4.769488684,0.2384937238
4.744341995,0.1213389121
4.7359597653,0.0460251046
4.719195306,-0.0460251046
4.6940486169,-0.129707113
4.6018440905,-0.1966527197
4.5012573345,-0.179916318
4.409052808,-0.1046025105
4.3419949707,-0.0376569038
4.2581726739,0.0209205021
4.1743503772,0.1129707113
4.1240569992,0.1631799163
4.0737636211,0.2635983264
4.0234702431,0.3556485356
4.0150880134,0.4644351464
4.0150880134,0.5983263598
4.0234702431,0.7071129707
4.0737636211,0.7991631799
4.1408214585,0.9163179916
4.1743503772,0.9748953975
4.2749371333,1.0669456067
4.3419949707,1.0920502092
4.4593461861,1.0920502092
4.5599329422,1.0753138075
4.6353730092,1.0334728033
4.7024308466,0.9832635983
4.7275775356,0.9163179916
4.7359597653,0.8410041841
4.7359597653,0.7405857741
4.6772841576,0.6820083682
4.5934618609,0.5732217573
4.5683151718,0.4811715481
4.5347862531,0.3472803347
4.5264040235,0.2217573222
4.5012573345,0.1464435146
4.5012573345,0.0711297071
4.4928751048,-0.0209205021
4.4509639564,-0.0711297071
4.333612741,-0.0878661088
4.2665549036,-0.0627615063
4.1911148365,0.0209205021
4.1072925398,0.0878661088
4.0150880134,0.0878661088
3.9061190277,0.1213389121
3.8306789606,0.1631799163
3.7887678122,0.2384937238
3.7384744342,0.3138075314
3.7217099749,0.4058577406
3.6797988265,0.4811715481
3.6797988265,0.589958159
3.6797988265,0.7238493724
3.6881810562,0.8242677824
3.7133277452,0.9414225941
3.7971500419,1.0418410042
3.8390611903,1.1422594142
3.9396479464,1.2259414226
4.0318524728,1.2426778243
4.1575859179,1.2426778243
4.2749371333,1.2175732218
4.3419949707,1.1673640167
4.409052808,1.0753138075
4.3922883487,1.0083682008
4.3755238894,0.9163179916
4.308466052,0.7740585774
4.2665549036,0.7238493724
4.2246437552,0.589958159
4.1994970662,0.4979079498
4.1994970662,0.3974895397
4.1994970662,0.2970711297
4.1994970662,0.1715481172
4.1994970662,0.0962343096
4.1994970662,-0.0543933054
4.1994970662,-0.1631799163
4.1994970662,-0.2468619247
4.1156747695,-0.3305439331
4.0569991618,-0.3305439331
3.9396479464,-0.3054393305
3.8893545683,-0.2050209205
3.8222967309,-0.1380753138
3.7971500419,-0.0711297071
3.6881810562,-0.0209205021
3.5708298407,-0.0376569038
3.461860855,-0.0878661088
3.3445096396,-0.0543933054
3.2606873428,-0.0460251046
3.1265716681,-0.0041841004
2.9924559933,0.0376569038
2.9002514669,0.1046025105
2.7745180218,0.0209205021
2.6823134954,-0.0627615063
2.5481978206,-0.0209205021
2.4140821459,-0.0125523013
2.3386420788,-0.0711297071
2.2212908634,-0.0041841004
2.0452640402,0.0209205021
1.9446772842,0.0209205021
1.8608549874,-0.0543933054
1.743503772,-0.0962343096
1.693210394,-0.0209205021
1.5171835708,0.0125523013
1.4082145851,-0.0209205021
1.3411567477,-0.1129707113
1.2489522213,-0.179916318
1.1316010059,-0.2217573222
1.0561609388,-0.1464435146
0.9891031014,-0.0209205021
0.821458508,0.0209205021
0.6370494552,-0.0209205021
0.5029337804,-0.0376569038
0.3939647946,-0.1213389121
0.2849958089,-0.1464435146
0.1257334451,-0.129707113
