longitude,latitude
52.390131771,-45.103725695
52.3918621848,-45.1028284644
52.3937701076,-45.1018669742
52.3930150399,-45.1015509075
52.3938125939,-45.1001470937
52.3956760511,-45.0991220508
52.3978522524,-45.0998794514
52.3983391125,-45.0985403213
52.3994483502,-45.0979635403
52.4008235336,-45.0970037467
52.4014440026,-45.0960463567
52.4014425888,-45.0947724758
52.4001101037,-45.094203471
52.400198116,-45.0935025538
52.4010850255,-45.0926080095
52.4024160967,-45.0919031335
52.4024153898,-45.091266193
52.4038350388,-45.0903699521
52.4041003482,-45.0894136932
52.4064095223,-45.0899795875
52.4072965732,-45.0892124313
52.4091164837,-45.0889518583
52.410492162,-45.0884379231
52.4121340685,-45.0877957514
52.4121329375,-45.0867766467
52.412131665,-45.0856301539
52.4106218829,-45.0853164908
52.4087572946,-45.085322429
52.4078243642,-45.0847521517
52.4079567008,-45.083987399
52.4091102628,-45.0833467826
52.4079997526,-45.0827770709
52.4089756641,-45.0820733259
52.4100402948,-45.0813056042
52.4099504445,-45.0803504763
52.4081305339,-45.0806110493
52.4060884365,-45.080681247
52.4058652599,-45.0795991552
52.4051992648,-45.079537582
52.4062641076,-45.0789609423
52.4057752682,-45.0785166393
52.4078610537,-45.0778093597
52.4086592439,-45.0769787922
52.4088791687,-45.0751309581
52.4086111023,-45.0736031494
52.4068806885,-45.07450038
52.4058586148,-45.0736119152
52.405813018,-45.0725292579
52.4082529028,-45.0708654366
52.4076753442,-45.0704851104
