time,xvel
6.4894207202,-0.6121794726
6.6430828835,0.407278399
6.7960697737,2.3451077936
6.8609710292,4.0794003028
7.0144081015,5.4049820155
7.2795653696,4.7910973075
7.5877150302,5.707558967
7.8072538436,7.1347727035
8.1152534434,8.2553169237
8.3571513021,9.27422912
8.5994993429,9.6808936342
8.8634561254,10.6996694117
9.238532861,10.5953090114
9.5917757638,10.1849611888
9.7692975795,8.7552919135
9.9465943041,7.6317464793
10.1682339674,6.2018043663
10.3235467985,4.9763540705
10.5223022041,4.6690024601
10.8309770771,4.8711751572
11.0304077559,3.6454520238
11.1633615417,2.8283032681
11.2966904793,1.5009481108
11.5182551123,0.1730472782
11.8047210008,0.5794389548
11.9801419665,2.006925529
12.0454934041,3.1289703562
12.1767965222,4.556729768
12.3743514422,5.8820386429
12.3731509565,7.5146991283
12.5707809068,8.7379667229
12.8348127197,9.65470122
13.1438627445,9.3466675155
13.2330738344,8.0195851958
13.4326545739,6.5897795017
13.5664336936,4.6501766624
13.7435053272,3.8327550691
14.0310216406,2.810568821
14.2286515909,4.0338364156
14.3378957851,5.4617322462
14.4911827967,6.9913965195
14.7107216101,8.418610256
14.9761039693,7.4986017071
15.1533256636,6.4770975531
15.3083383733,5.6598123786
15.5728203682,5.9642991938
15.7038233649,7.8002237269
15.9016033759,8.8194087608
16.1432761435,10.1444447981
16.4743100618,9.9383159551
16.6736657102,8.814634102
16.8949302218,7.8948983907
17.0283341897,6.4655019531
17.1394541428,5.3423657752
17.4053617145,3.708068264
17.472588911,2.2790810828
17.6946037261,0.3389325682
17.7615308011,-0.6818894917
18.0931649622,-1.7043485774
18.2919953981,-2.1137414681
18.6222790129,-1.2994575078
18.9296033395,0.7394582354
19.2164443798,0.6356435103
19.4804011623,1.6544192878
19.7219988996,3.0814966054
19.8311680634,4.6114337164
20.0061388471,6.6511679725
20.0933241175,8.0792002219
20.4234576715,9.0975667429
20.6874894844,10.01430124
21.0396069319,11.1345726226
21.2600461096,11.337290995
21.4380931377,9.1933327573
21.5498133336,7.2538663368
21.7932868297,6.1299116461
22.1021117634,6.1280017825
22.3221757893,6.8409265567
22.2575746552,4.6984689261
22.4135627595,2.5546471072
22.4807149256,1.2277012064
22.7458721938,0.6138164985
22.7448967992,1.9403531429
22.8316318874,3.9806330743
22.9395255353,7.2452719509
