x,y
0.1292825272,-0.1963581225
0.197920236,-0.1598568902
0.2422439462,-0.0702117328
0.335019744,0.0437584175
0.4399497925,0.133197431
0.552960686,0.2226089586
0.5649885017,0.2919558027
0.5770053231,0.3694659496
0.5002372947,0.3697270653
0.2578394276,0.3501433846
0.0920611652,0.4405031746
0.0596608244,0.497756237
0.0555379442,0.5589947502
-0.0050738912,0.5632825456
-0.1546959605,0.6576690152
-0.223421624,0.6864742045
-0.3488506326,0.8175130787
-0.4538466472,0.7770538815
-0.5225778079,0.8099407221
-0.5347650416,0.8589617672
-0.5470292358,0.9651259311
-0.4420607071,1.0259933851
-0.3654026222,1.1073652963
-0.3089411528,1.1847242709
-0.2118995483,1.131332973
-0.0906209058,1.0819408687
-0.0058434955,1.1347137347
0.0426030949,1.1631203789
0.0263094725,1.2611349831
0.054389035,1.4120598825
0.0299760873,1.538673532
0.0460223368,1.6243332387
0.0458079471,1.7835176413
0.0578192713,1.8651094396
0.0496669629,1.918198393
0.0334557981,1.9549882269
0.0211696153,2.0774789962
0.0250451226,2.1999147938
0.0289151328,2.3264322428
0.0328895893,2.375398316
0.048941336,2.4569763713
0.0487489349,2.5998341686
