x,y
0.5748438894,-0.0004
0.5866190901,0.0116
0.5887600357,0.026
0.5844781445,0.0356
0.5737734166,0.0404
0.5694915254,0.0348
0.571632471,0.0268
0.5791257806,0.0228
0.5812667261,0.0148
0.5684210526,-0.0004
0.5673505798,-0.0188
0.5791257806,-0.0332
0.5919714541,-0.046
0.6016057092,-0.0524
0.6080285459,-0.0404
0.6219446922,-0.0172
0.6358608385,0.0052
0.6454950937,0.0268
0.6508474576,0.0412
0.6519179304,0.0516
0.6444246209,0.0468
0.6561998216,0.0276
0.6733273863,0.0092
0.6829616414,-0.002
0.6904549509,0.0108
0.7011596789,0.0276
0.7193577163,0.0452
0.7289919715,0.0572
0.7386262266,0.0644
0.741837645,0.054
0.7407671722,0.042
0.7322033898,0.0332
0.7343443354,0.0428
0.7386262266,0.0508
0.7386262266,0.0604
0.7332738626,0.0692
0.7247100803,0.074
0.7033006244,0.07
0.6904549509,0.0628
0.6883140054,0.05
0.6968777877,0.0332
0.7065120428,0.0212
0.7043710972,0.0108
0.6936663693,-0.0004
0.6743978591,-0.014
0.6604817128,-0.022
0.6647636039,-0.0308
0.6711864407,-0.0436
0.6776092774,-0.0564
0.6840321142,-0.0652
0.6786797502,-0.0716
0.6690454951,-0.0716
0.654058876,-0.058
0.6444246209,-0.0436
0.6390722569,-0.0284
0.6272970562,-0.01
0.6133809099,0.0068
0.6069580731,0.0236
0.6155218555,0.038
0.6198037467,0.05
0.6251561106,0.058
0.6251561106,0.0668
0.6272970562,0.0756
0.6272970562,0.0916
0.6326494202,0.102
0.6390722569,0.1076
0.648706512,0.106
0.6615521855,0.086
0.6669045495,0.058
0.6679750223,0.0324
0.6615521855,0.0108
0.6497769848,-0.0068
0.6412132025,-0.0204
0.6390722569,-0.03
0.6390722569,-0.038
0.6422836753,-0.0452
0.6476360393,-0.054
0.6497769848,-0.062
0.6390722569,-0.0644
0.6240856378,-0.0604
0.6123104371,-0.0556
0.6037466548,-0.0516
0.5919714541,-0.0564
0.5855486173,-0.0636
0.5812667261,-0.0716
0.5694915254,-0.0764
0.551293488,-0.0692
0.5309545049,-0.0572
0.5181088314,-0.0412
0.5052631579,-0.0212
0.4870651204,-0.0084
0.468867083,0.0004
0.4613737734,0.0148
0.4592328278,0.0268
0.4560214095,0.0372
0.437823372,0.0468
0.4206958073,0.0492
0.4024977698,0.0508
0.3853702052,0.0508
0.37573595,0.0508
0.3682426405,0.0524
0.3661016949,0.058
0.3575379126,0.074
0.3489741302,0.086
0.3393398751,0.0852
0.32970562,0.0764
0.3168599465,0.0588
0.3061552186,0.0444
0.3115075825,0.034
0.3232827832,0.022
0.3264942016,0.0084
0.3275646744,-0.01
0.3275646744,-0.0252
0.3371989295,-0.0356
0.3489741302,-0.0436
0.3543264942,-0.058
0.3671721677,-0.0676
0.3778768956,-0.0724
0.3746654773,-0.066
0.3703835861,-0.0572
0.3703835861,-0.0452
0.3671721677,-0.0372
0.360749331,-0.0268
0.3521855486,-0.01
0.3489741302,0.0036
0.3436217663,0.014
0.3350579839,0.0228
0.3361284567,0.0308
0.3511150758,0.038
0.3725245317,0.046
0.3832292596,0.0524
0.3950044603,0.0636
0.4003568243,0.0796
0.4003568243,0.0868
0.4024977698,0.094
0.4024977698,0.1028
0.3992863515,0.09
0.3939339875,0.0796
0.3842997324,0.0644
0.3768064228,0.0436
0.3725245317,0.0244
0.3661016949,0.0068
0.3703835861,-0.0116
0.3693131133,-0.0228
0.3650312221,-0.0316
0.3703835861,-0.046
0.381088314,-0.0532
0.3950044603,-0.0636
0.4046387154,-0.0748
0.4089206066,-0.0828
0.4046387154,-0.0908
0.3907225691,-0.086
0.3768064228,-0.078
0.3586083854,-0.0724
0.3350579839,-0.0756
0.3157894737,-0.0764
0.3008028546,-0.0652
0.293309545,-0.05
0.2847457627,-0.0372
0.2708296164,-0.0228
0.2547725245,-0.0116
0.2387154326,-0.002
0.2237288136,0.002
0.216235504,-0.0052
0.2333630687,-0.0148
0.2440677966,-0.0268
0.247279215,-0.0316
0.2504906334,-0.0388
0.2462087422,-0.0276
0.2462087422,-0.0124
0.2483496878,-0.0028
0.2397859054,0.0092
