time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.164 0.244  -0.172 
0.03  -1.155 0.241  -0.163 0.30           0.39           0.40            -19.91        -43.71        45.63          0.54        0.59        0.60         -10.85         -26.83         28.40           -9.06         -16.88        17.22          
0.07  -1.134 0.239  -0.161 0.63           0.63           0.63            -4.43         -4.53         6.32           0.88        0.88        0.88         -3.17          -3.24          4.53            -1.26         -1.29         1.79           
0.10  -1.114 0.243  -0.161 0.60           0.59           0.60            9.75          0.74          9.77           0.84        0.84        0.84         6.87           0.52           6.89            2.88          0.22          2.89           
0.13  -1.098 0.240  -0.169 0.50           0.55           0.55            -8.31         25.88         26.87          0.75        0.78        0.78         -5.54          17.86          18.60           -2.77         8.03          8.28           
0.17  -1.072 0.239  -0.183 0.79           0.89           0.89            -3.28         27.76         27.90          1.04        1.11        1.11         -2.49          21.76          21.88           -0.79         6.00          6.03           
0.20  -1.059 0.247  -0.203 0.45           0.69           0.73            32.12         56.97         58.95          0.67        0.86        0.89         20.71          42.81          45.02           11.40         14.15         13.93          
0.23  -1.044 0.256  -0.220 0.53           0.70           0.75            32.40         50.51         53.86          0.75        0.88        0.92         22.09          37.81          41.21           10.31         12.70         12.65          
0.27  -1.043 0.273  -0.240 0.52           0.58           0.78            86.12         86.56         87.43          0.59        0.65        0.83         61.11          63.97          69.91           25.01         22.59         17.51          
0.30  -1.050 0.294  -0.258 0.65           0.59           0.85            108.78        110.74        104.20         0.62        0.55        0.83         86.22          85.79          87.18           22.56         24.96         17.02          
0.33  -1.054 0.312  -0.268 0.57           0.33           0.64            102.51        112.09        101.02         0.57        0.33        0.64         77.06          67.20          78.60           25.45         44.89         22.41          
0.37  -1.068 0.322  -0.278 0.50           0.49           0.58            142.76        144.25        133.69         0.34        0.32        0.44         116.05         117.30         109.54          26.71         26.95         24.15          
0.40  -1.067 0.335  -0.286 0.38           0.23           0.45            87.56         85.98         87.91          0.46        0.35        0.52         55.00          40.94          59.11           32.55         45.04         28.81          
0.43  -1.068 0.345  -0.293 0.29           0.22           0.37            95.76         97.56         94.59          0.37        0.31        0.43         53.01          45.27          59.05           42.75         52.28         35.54          
0.47  -1.063 0.349  -0.295 0.18           0.14           0.19            42.37         19.89         44.46          0.41        0.39        0.41         17.82          7.26           19.07           24.55         12.62         25.39          
0.50  -1.063 0.352  -0.298 0.09           0.09           0.13            86.49         86.13         87.40          0.27        0.27        0.29         20.24          18.49          26.46           66.25         67.63         60.93          
0.53  -1.055 0.344  -0.298 0.34           0.24           0.34            -44.38        1.04          44.39          0.54        0.49        0.54         -25.64         0.51           25.65           -18.74        0.53          18.74          
0.57  -1.042 0.326  -0.301 0.68           0.40           0.69            -55.49        15.24         55.95          0.85        0.64        0.85         -41.42         9.38           41.91           -14.07        5.85          14.04          
0.60  -1.032 0.306  -0.300 0.67           0.31           0.68            -62.99        -8.90         63.06          0.82        0.56        0.82         -47.19         -4.93          47.28           -15.80        -3.98         15.78          
0.63  -1.019 0.287  -0.295 0.70           0.43           0.71            -54.72        -20.40        55.62          0.86        0.67        0.88         -41.06         -12.91         42.01           -13.66        -7.49         13.61          
0.67  -1.007 0.270  -0.285 0.62           0.46           0.69            -55.32        -40.72        59.27          0.79        0.67        0.84         -40.18         -26.70         44.51           -15.13        -14.02        14.76          
0.70  -0.994 0.249  -0.276 0.74           0.46           0.78            -58.38        -32.50        60.18          0.90        0.68        0.93         -44.63         -21.16         46.68           -13.75        -11.33        13.50          
0.73  -0.973 0.231  -0.259 0.82           0.81           0.97            -39.62        -39.07        49.23          1.02        1.02        1.14         -30.66         -30.17         39.70           -8.96         -8.90         9.52           
0.77  -0.959 0.219  -0.240 0.57           0.71           0.81            -41.98        -53.78        58.55          0.77        0.88        0.96         -29.46         -40.60         45.75           -12.53        -13.19        12.81          
0.80  -0.945 0.204  -0.226 0.62           0.61           0.76            -45.90        -45.38        55.34          0.81        0.81        0.92         -33.13         -32.66         42.45           -12.77        -12.72        12.89          
0.83  -0.932 0.193  -0.201 0.49           0.83           0.89            -40.82        -63.70        65.55          0.70        0.97        1.02         -27.24         -50.33         52.66           -13.58        -13.37        12.89          
0.87  -0.920 0.191  -0.182 0.38           0.68           0.68            -9.85         -56.64        56.81          0.63        0.84        0.84         -5.93          -42.29         42.48           -3.91         -14.35        14.34          
0.90  -0.910 0.189  -0.170 0.29           0.47           0.47            -9.96         -52.03        52.29          0.54        0.65        0.65         -5.36          -34.41         34.66           -4.60         -17.62        17.63          
0.93  -0.893 0.189  -0.161 0.53           0.59           0.59            -0.64         -26.06        26.07          0.78        0.82        0.82         -0.43          -18.39         18.39           -0.20         -7.68         7.68           
0.97  -0.878 0.188  -0.149 0.45           0.58           0.58            -4.40         -38.98        39.11          0.70        0.79        0.79         -2.83          -27.45         27.55           -1.57         -11.54        11.56          
1.00  -0.858 0.178  -0.145 0.68           0.62           0.69            -26.14        -11.05        27.84          0.91        0.87        0.92         -19.17         -7.87          20.51           -6.97         -3.17         7.33           
1.03  -0.830 0.168  -0.145 0.88           0.83           0.88            -19.72        -0.73         19.73          1.12        1.08        1.12         -15.40         -0.56          15.41           -4.32         -0.17         4.32           
1.07  -0.809 0.165  -0.148 0.64           0.64           0.65            -8.81         9.23          12.65          0.89        0.89        0.89         -6.33          6.64           9.13            -2.48         2.60          3.52           
1.10  -0.786 0.165  -0.163 0.69           0.83           0.83            -0.18         33.92         33.92          0.94        1.04        1.04         -0.13          26.24          26.24           -0.05         7.68          7.68           
1.13  -0.771 0.169  -0.178 0.47           0.64           0.65            13.84         44.97         45.82          0.71        0.84        0.84         9.02           32.76          33.54           4.82          12.21         12.28          
1.17  -0.755 0.176  -0.202 0.51           0.85           0.88            24.75         56.71         57.85          0.75        1.01        1.03         16.71          44.76          46.02           8.03          11.94         11.83          
1.20  -0.744 0.184  -0.223 0.44           0.71           0.76            35.57         60.16         62.04          0.66        0.86        0.90         22.75          45.62          47.85           12.82         14.54         14.20          
1.23  -0.737 0.200  -0.243 0.50           0.64           0.79            67.22         72.14         75.66          0.64        0.75        0.88         46.25          53.69          59.76           20.97         18.44         15.89          
1.27  -0.744 0.224  -0.260 0.75           0.54           0.91            105.52        111.78        102.84         0.73        0.51        0.88         86.16          84.48          86.85           19.35         27.29         16.00          
1.30  -0.748 0.244  -0.278 0.60           0.55           0.81            101.58        102.63        98.60          0.60        0.55        0.81         77.61          76.49          80.79           23.97         26.14         17.81          
1.33  -0.763 0.267  -0.289 0.83           0.56           0.90            122.16        142.08        119.45         0.73        0.40        0.81         105.37         119.31         103.87          16.79         22.77         15.58          
1.37  -0.772 0.276  -0.297 0.39           0.38           0.46            136.27        139.06        127.75         0.27        0.25        0.37         97.04          97.76          95.23           39.23         41.30         32.52          
1.40  -0.782 0.293  -0.298 0.59           0.30           0.59            120.47        174.97        120.44         0.51        0.06        0.51         95.64          152.32         95.63           24.83         22.65         24.81          
1.43  -0.788 0.311  -0.305 0.57           0.27           0.60            108.59        131.73        107.47         0.54        0.21        0.58         82.69          71.23          83.16           25.90         60.50         24.31          
1.47  -0.783 0.328  -0.306 0.52           0.17           0.52            71.26         10.17         71.30          0.64        0.42        0.64         49.70          4.11           49.75           21.56         6.07          21.54          
1.50  -0.783 0.331  -0.306 0.12           0.01           0.12            93.57         177.87        93.57          0.27        0.24        0.27         25.58          0.06           25.58           67.99         177.81        67.99          
1.53  -0.776 0.336  -0.305 0.24           0.20           0.25            36.93         -10.05        37.68          0.47        0.45        0.47         18.27          -4.45          18.74           18.66         -5.60         18.94          
1.57  -0.768 0.328  -0.298 0.35           0.30           0.40            -47.59        -39.57        53.90          0.55        0.52        0.58         -27.93         -21.81         33.59           -19.66        -17.76        20.31          
1.60  -0.758 0.317  -0.293 0.45           0.34           0.48            -46.98        -26.78        49.83          0.65        0.58        0.67         -30.57         -15.54         33.14           -16.41        -11.23        16.69          
1.63  -0.753 0.306  -0.285 0.35           0.29           0.42            -61.92        -55.10        67.04          0.52        0.48        0.57         -36.62         -29.61         43.10           -25.30        -25.49        23.94          
1.67  -0.746 0.283  -0.268 0.75           0.57           0.92            -73.40        -67.93        76.50          0.85        0.70        1.00         -57.12         -48.68         62.49           -16.28        -19.25        14.01          
1.70  -0.734 0.263  -0.255 0.67           0.52           0.77            -59.07        -48.53        63.62          0.82        0.71        0.91         -44.00         -33.21         49.39           -15.08        -15.32        14.23          
1.73  -0.726 0.239  -0.241 0.78           0.50           0.89            -70.72        -58.88        73.16          0.90        0.66        0.99         -55.43         -40.07         59.20           -15.28        -18.81        13.96          
1.77  -0.714 0.224  -0.220 0.57           0.71           0.84            -53.36        -61.38        66.25          0.74        0.86        0.97         -37.74         -46.53         52.61           -15.63        -14.85        13.65          
1.80  -0.706 0.213  -0.192 0.40           0.86           0.92            -51.86        -73.31        74.35          0.59        0.96        1.01         -32.34         -58.91         60.61           -19.52        -14.40        13.75          
1.83  -0.704 0.212  -0.174 0.08           0.54           0.55            -37.87        -83.49        83.52          0.32        0.62        0.63         -8.75          -60.04         60.14           -29.12        -23.46        23.38          
1.87  -0.692 0.222  -0.154 0.47           0.72           0.78            40.38         -59.70        62.38          0.68        0.87        0.92         26.67          -45.31         48.46           13.70         -14.39        13.91          
1.90  -0.675 0.231  -0.139 0.58           0.67           0.73            29.31         -41.70        46.48          0.80        0.87        0.92         20.54          -30.74         35.10           8.77          -10.96        11.38          
1.93  -0.662 0.247  -0.130 0.63           0.47           0.68            50.22         -32.28        53.62          0.81        0.70        0.85         36.49          -21.25         39.88           13.74         -11.03        13.73          
1.97  -0.645 0.252  -0.126 0.54           0.54           0.56            16.38         -14.69        21.50          0.79        0.78        0.80         11.23          -10.04         14.90           5.15          -4.65         6.60           
2.00  -0.633 0.259  -0.130 0.39           0.36           0.41            29.17         21.14         34.18          0.62        0.60        0.63         17.84          12.57          21.38           11.33         8.57          12.80          
2.03  -0.608 0.256  -0.138 0.76           0.80           0.80            -5.38         17.39         18.11          1.01        1.04        1.04         -4.05          13.26          13.83           -1.32         4.13          4.28           
2.07  -0.595 0.256  -0.155 0.37           0.62           0.62            -1.72         52.94         52.95          0.62        0.79        0.79         -1.03          38.35          38.35           -0.69         14.59         14.59          
