time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.164 0.245  -0.371 
0.03  -1.154 0.252  -0.386 0.36           0.56           0.59            33.45         57.20         59.33          0.59        0.72        0.75         19.87          40.33          42.69           13.58         16.87         16.64          
0.07  -1.133 0.252  -0.405 0.62           0.82           0.82            -0.80         41.42         41.43          0.87        1.02        1.02         -0.57          32.10          32.11           -0.23         9.32          9.32           
0.10  -1.117 0.255  -0.411 0.50           0.53           0.53            9.68          21.05         22.83          0.75        0.77        0.77         6.45           14.31          15.59           3.23          6.73          7.23           
0.13  -1.101 0.258  -0.414 0.48           0.48           0.49            11.21         12.07         16.25          0.72        0.72        0.73         7.36           7.93           10.76           3.85          4.13          5.49           
0.17  -1.089 0.257  -0.402 0.38           0.51           0.52            -1.99         -43.11        43.13          0.63        0.72        0.72         -1.20          -29.34         29.36           -0.80         -13.76        13.77          
0.20  -1.072 0.261  -0.392 0.50           0.57           0.58            11.74         -31.65        33.05          0.75        0.80        0.80         7.83           -22.18         23.28           3.91          -9.47         9.76           
0.23  -1.051 0.258  -0.385 0.65           0.69           0.69            -6.33         -19.88        20.72          0.90        0.93        0.93         -4.58          -14.63         15.27           -1.75         -5.25         5.45           
0.27  -1.039 0.258  -0.369 0.34           0.57           0.57            -0.81         -53.75        53.75          0.59        0.75        0.75         -0.46          -38.11         38.11           -0.34         -15.64        15.64          
0.30  -1.028 0.260  -0.353 0.33           0.60           0.60            8.18          -56.42        56.54          0.58        0.76        0.76         4.67           -40.58         40.71           3.51          -15.84        15.83          
0.33  -1.018 0.265  -0.337 0.34           0.56           0.58            27.00         -56.88        58.24          0.57        0.72        0.74         15.61          -40.05         41.54           11.39         -16.83        16.70          
0.37  -1.018 0.270  -0.320 0.16           0.52           0.54            84.78         -88.40        88.47          0.31        0.58        0.60         30.96          -63.04         64.06           53.82         -25.36        24.41          
0.40  -1.014 0.280  -0.301 0.31           0.58           0.65            68.72         -78.62        79.86          0.47        0.67        0.74         38.83          -57.30         60.30           29.88         -21.32        19.56          
0.43  -1.019 0.288  -0.288 0.28           0.43           0.49            123.09        -110.99       108.30         0.25        0.41        0.48         67.87          -76.54         78.34           55.22         -34.46        29.95          
0.47  -1.015 0.294  -0.271 0.22           0.49           0.53            59.07         -76.63        77.54          0.41        0.60        0.63         27.66          -52.88         54.87           31.42         -23.75        22.67          
0.50  -1.021 0.315  -0.253 0.66           0.59           0.87            104.66        -106.60       101.12         0.65        0.57        0.86         82.70          -81.69         84.50           21.95         -24.91        16.62          
0.53  -1.024 0.324  -0.243 0.28           0.29           0.40            107.54        -106.92       102.36         0.32        0.33        0.42         58.58          -59.55         67.04           48.96         -47.37        35.32          
0.57  -1.025 0.325  -0.230 0.02           0.40           0.40            156.82        -93.25        93.25          0.23        0.46        0.46         2.43           -60.19         60.20           154.39        -33.06        33.05          
0.60  -1.023 0.323  -0.222 0.07           0.26           0.27            -47.13        -79.26        79.47          0.30        0.39        0.40         -9.98          -40.73         41.31           -37.15        -38.53        38.16          
0.63  -1.011 0.313  -0.223 0.47           0.35           0.47            -41.15        8.07          41.52          0.67        0.60        0.68         -27.04         4.73           27.34           -14.12        3.34          14.18          
0.67  -1.002 0.299  -0.225 0.49           0.28           0.49            -55.20        9.74          55.38          0.66        0.53        0.66         -37.11         5.16           37.30           -18.09        4.58          18.08          
0.70  -0.987 0.287  -0.229 0.59           0.47           0.60            -40.84        17.19         42.55          0.79        0.71        0.81         -28.97         11.21          30.45           -11.87        5.98          12.10          
0.73  -0.972 0.272  -0.240 0.62           0.54           0.70            -44.96        35.26         50.74          0.82        0.76        0.87         -32.49         24.27          37.96           -12.47        11.00         12.78          
0.77  -0.956 0.253  -0.253 0.75           0.64           0.86            -49.02        39.51         54.77          0.94        0.85        1.02         -37.41         28.71          43.25           -11.61        10.80         11.52          
0.80  -0.945 0.242  -0.264 0.47           0.46           0.57            -45.13        44.62         54.62          0.67        0.66        0.74         -29.74         29.30          38.69           -15.39        15.32         15.93          
0.83  -0.929 0.232  -0.282 0.58           0.72           0.79            -33.14        48.23         52.35          0.80        0.91        0.96         -23.27         36.40          40.48           -9.88         11.83         11.87          
0.87  -0.913 0.230  -0.298 0.48           0.67           0.67            -6.17         43.84         44.02          0.73        0.86        0.87         -4.07          32.28          32.44           -2.10         11.56         11.58          
0.90  -0.892 0.236  -0.314 0.65           0.81           0.83            16.68         38.89         40.71          0.90        1.01        1.03         12.09          29.97          31.59           4.59          8.92          9.12           
0.93  -0.876 0.235  -0.313 0.47           0.47           0.47            -4.29         -5.45         6.92           0.72        0.72        0.72         -2.80          -3.55          4.52            -1.49         -1.89         2.40           
0.97  -0.853 0.245  -0.318 0.77           0.73           0.79            22.79         11.89         25.17          1.01        0.97        1.02         17.28          8.86           19.18           5.51          3.03          5.99           
1.00  -0.835 0.262  -0.322 0.74           0.55           0.75            43.19         11.97         43.90          0.94        0.80        0.95         32.71          8.26           33.36           10.47         3.72          10.53          
1.03  -0.819 0.255  -0.317 0.50           0.48           0.52            -22.23        -17.19        27.14          0.74        0.73        0.75         -14.86         -11.35         18.41           -7.37         -5.83         8.73           
1.07  -0.794 0.257  -0.318 0.76           0.76           0.76            2.87          1.68          3.32           1.01        1.01        1.01         2.15           1.26           2.50            0.71          0.42          0.82           
1.10  -0.782 0.247  -0.319 0.46           0.36           0.46            -39.03        6.77          39.33          0.67        0.61        0.67         -25.49         3.99           25.72           -13.55        2.78          13.61          
1.13  -0.762 0.244  -0.311 0.62           0.66           0.66            -9.55         -21.31        23.01          0.87        0.89        0.90         -6.81          -15.47         16.78           -2.74         -5.83         6.24           
1.17  -0.746 0.233  -0.301 0.56           0.56           0.64            -33.46        -33.75        43.23          0.78        0.78        0.84         -23.30         -23.52         31.48           -10.17        -10.23        11.74          
1.20  -0.733 0.224  -0.284 0.50           0.65           0.71            -35.76        -51.06        55.07          0.72        0.83        0.88         -24.04         -37.48         41.58           -11.71        -13.58        13.49          
1.23  -0.720 0.212  -0.268 0.52           0.61           0.71            -43.17        -52.13        57.86          0.72        0.79        0.87         -29.40         -37.68         43.71           -13.77        -14.45        14.15          
1.27  -0.706 0.210  -0.249 0.43           0.72           0.72            -9.12         -53.63        53.82          0.68        0.89        0.90         -5.78          -40.60         40.80           -3.33         -13.03        13.03          
1.30  -0.695 0.216  -0.231 0.37           0.60           0.63            31.50         -58.38        60.06          0.60        0.76        0.79         18.87          -42.18         44.08           12.63         -16.20        15.98          
1.33  -0.685 0.229  -0.213 0.48           0.62           0.73            51.50         -61.05        65.58          0.67        0.77        0.86         34.46          -44.62         50.24           17.04         -16.43        15.34          
1.37  -0.671 0.238  -0.205 0.51           0.49           0.57            34.47         -31.57        42.66          0.73        0.72        0.78         23.31          -21.09         30.04           11.16         -10.48        12.62          
1.40  -0.661 0.253  -0.188 0.54           0.58           0.72            53.92         -57.04        64.15          0.71        0.75        0.86         37.45          -40.73         49.05           16.47         -16.31        15.10          
1.43  -0.648 0.267  -0.184 0.58           0.40           0.59            48.49         -17.23        49.52          0.77        0.65        0.78         34.39          -10.64         35.36           14.10         -6.59         14.15          
1.47  -0.627 0.278  -0.179 0.72           0.66           0.74            27.64         -14.83        30.41          0.95        0.90        0.96         20.60          -10.76         22.84           7.04          -4.07         7.56           
1.50  -0.616 0.299  -0.178 0.70           0.31           0.70            63.86         -4.91         63.88          0.84        0.56        0.84         48.39          -2.72          48.42           15.46         -2.19         15.46          
1.53  -0.607 0.310  -0.189 0.43           0.44           0.55            49.29         49.64         58.84          0.63        0.63        0.71         31.67          31.99          41.28           17.61         17.65         17.56          
1.57  -0.597 0.317  -0.198 0.36           0.39           0.44            35.93         42.69         49.55          0.58        0.60        0.64         21.21          26.29          32.14           14.72         16.40         17.42          
1.60  -0.598 0.331  -0.211 0.43           0.40           0.58            91.80         91.93         91.31          0.49        0.46        0.63         61.05          59.33          67.97           30.75         32.60         23.34          
1.63  -0.611 0.345  -0.227 0.57           0.61           0.74            133.24        129.36        121.72         0.44        0.49        0.64         108.52         106.28         102.41          24.73         23.08         19.31          
1.67  -0.628 0.349  -0.243 0.52           0.69           0.70            167.15        137.14        136.30         0.28        0.53        0.54         155.62         118.48         117.78          11.53         18.66         18.52          
1.70  -0.648 0.369  -0.258 0.86           0.76           0.97            134.92        142.93        128.54         0.71        0.58        0.84         120.40         127.91         115.11          14.52         15.01         13.43          
1.73  -0.671 0.382  -0.276 0.80           0.89           0.96            152.64        142.53        137.24         0.59        0.71        0.80         141.33         130.16         124.97          11.30         12.37         12.27          
1.77  -0.693 0.387  -0.290 0.66           0.76           0.78            164.40        147.12        144.85         0.43        0.56        0.59         155.31         133.21         130.77          9.09          13.91         14.08          
1.80  -0.710 0.387  -0.304 0.52           0.68           0.68            -178.26       140.64        140.62         0.27        0.51        0.51         -176.68        122.51         122.49          -1.59         18.14         18.13          
1.83  -0.721 0.392  -0.324 0.36           0.68           0.70            156.98        119.33        118.65         0.17        0.60        0.62         120.83         98.10          97.89           36.16         21.22         20.77          
1.87  -0.732 0.394  -0.340 0.33           0.59           0.59            165.76        123.17        122.82         0.11        0.50        0.50         131.33         98.30          98.19           34.43         24.87         24.63          
1.90  -0.742 0.397  -0.355 0.31           0.55           0.55            165.08        123.90        123.48         0.10        0.46        0.46         123.73         96.82          96.71           41.35         27.09         26.77          
1.93  -0.743 0.391  -0.372 0.18           0.50           0.53            -96.58        92.41         92.27          0.29        0.55        0.58         -38.50         65.33          66.66           -58.08        27.08         25.60          
1.97  -0.745 0.366  -0.382 0.76           0.32           0.82            -94.62        101.17        94.27          0.78        0.36        0.84         -76.03         58.68          77.04           -18.58        42.49         17.24          
2.00  -0.734 0.351  -0.391 0.56           0.42           0.62            -54.84        40.38         58.86          0.73        0.63        0.78         -38.55         25.52          42.89           -16.29        14.86         15.96          
2.03  -0.724 0.340  -0.387 0.44           0.33           0.47            -47.81        -25.43        50.23          0.64        0.57        0.65         -30.94         -14.49         33.14           -16.87        -10.94        17.09          
2.07  -0.704 0.327  -0.386 0.72           0.61           0.72            -31.35        -3.26         31.46          0.94        0.86        0.94         -23.39         -2.32          23.48           -7.96         -0.95         7.98           
2.10  -0.691 0.306  -0.382 0.75           0.39           0.75            -60.03        -15.05        60.32          0.90        0.63        0.90         -46.09         -9.15          46.43           -13.94        -5.90         13.89          
2.13  -0.669 0.281  -0.368 1.00           0.79           1.09            -48.51        -33.06        52.53          1.18        1.01        1.25         -39.36         -25.28         43.43           -9.14         -7.78         9.10           
2.17  -0.657 0.269  -0.351 0.50           0.62           0.71            -44.30        -54.89        59.90          0.70        0.79        0.86         -29.79         -39.84         45.34           -14.51        -15.05        14.56          
2.20  -0.646 0.253  -0.331 0.58           0.68           0.83            -53.69        -59.67        65.41          0.76        0.84        0.96         -38.28         -44.75         51.72           -15.41        -14.92        13.68          
2.23  -0.631 0.247  -0.314 0.48           0.69           0.71            -22.52        -49.36        51.04          0.72        0.87        0.89         -14.89         -36.76         38.41           -7.64         -12.60        12.63          
2.27  -0.620 0.244  -0.316 0.35           0.34           0.36            -18.54        9.64          20.60          0.59        0.59        0.60         -10.86         5.55           12.14           -7.68         4.09          8.46           
2.30  -0.609 0.240  -0.291 0.34           0.81           0.81            -18.18        -66.71        66.91          0.58        0.94        0.94         -10.44         -52.50         52.77           -7.74         -14.21        14.14          
2.33  -0.600 0.239  -0.281 0.29           0.42           0.42            -8.32         -45.62        45.91          0.54        0.62        0.62         -4.50          -28.82         29.07           -3.82         -16.80        16.84          
2.37  -0.591 0.238  -0.272 0.26           0.38           0.39            -6.87         -48.50        48.66          0.51        0.58        0.58         -3.48          -29.70         29.84           -3.39         -18.80        18.82          
2.40  -0.588 0.250  -0.263 0.38           0.28           0.46            75.00         -69.89        77.80          0.50        0.44        0.57         46.30          -37.45         52.36           28.70         -32.44        25.43          
2.43  -0.584 0.270  -0.253 0.63           0.31           0.69            79.38         -68.08        80.36          0.72        0.47        0.77         59.37          -38.20         61.78           20.01         -29.89        18.58          
2.47  -0.581 0.281  -0.243 0.32           0.30           0.43            75.53         -74.68        79.36          0.45        0.44        0.54         43.23          -41.51         52.24           32.30         -33.16        27.12          
2.50  -0.584 0.315  -0.244 1.02           0.08           1.02            94.27         162.52        94.26          1.04        0.18        1.04         80.33          7.85           80.33           13.94         154.67        13.93          
2.53  -0.582 0.331  -0.244 0.50           0.07           0.50            82.09         -16.18        82.10          0.59        0.32        0.59         57.35          -3.60          57.37           24.74         -12.58        24.73          
2.57  -0.580 0.337  -0.246 0.19           0.09           0.20            76.88         59.79         77.79          0.35        0.30        0.35         32.32          14.22          34.28           44.55         45.57         43.51          
2.60  -0.583 0.359  -0.237 0.65           0.28           0.70            98.54         -110.47       97.93          0.66        0.30        0.71         76.55          -59.25         77.49           21.99         -51.22        20.44          
2.63  -0.567 0.332  -0.231 0.94           0.51           0.96            -59.47        -21.44        60.13          1.09        0.75        1.11         -48.09         -14.46         48.83           -11.39        -6.97         11.30          
2.67  -0.558 0.320  -0.226 0.44           0.30           0.46            -52.45        -28.29        54.61          0.62        0.54        0.64         -33.96         -15.57         36.09           -18.49        -12.72        18.53          
2.70  -0.547 0.306  -0.219 0.55           0.41           0.59            -50.52        -31.44        53.66          0.73        0.64        0.76         -35.27         -19.61         38.38           -15.24        -11.83        15.27          
2.73  -0.532 0.308  -0.213 0.45           0.48           0.48            8.83          -22.30        23.68          0.70        0.72        0.72         5.67           -14.69         15.66           3.16          -7.61         8.02           
2.77  -0.516 0.285  -0.209 0.86           0.50           0.87            -55.68        -14.22        56.08          1.02        0.74        1.03         -43.99         -9.48          44.42           -11.69        -4.74         11.66          
2.80  -0.492 0.266  -0.213 0.91           0.72           0.91            -38.05        9.20          38.63          1.11        0.97        1.12         -30.10         6.84           30.62           -7.95         2.36          8.01           
2.83  -0.479 0.253  -0.214 0.56           0.40           0.57            -44.54        6.18          44.71          0.76        0.65        0.76         -31.24         3.82           31.39           -13.30        2.36          13.31          
2.87  -0.463 0.239  -0.224 0.64           0.57           0.70            -40.15        31.48         46.19          0.84        0.79        0.89         -29.12         22.01          34.54           -11.03        9.47          11.65          
2.90  -0.450 0.242  -0.243 0.39           0.69           0.69            10.67         56.00         56.21          0.64        0.86        0.86         6.52           41.97          42.20           4.15          14.02         14.01          
2.93  -0.427 0.234  -0.250 0.73           0.71           0.75            -19.56        16.52         24.84          0.97        0.96        0.99         -14.59         12.26          18.73           -4.97         4.26          6.11           
2.97  -0.415 0.241  -0.257 0.42           0.42           0.47            30.01         30.10         39.30          0.65        0.65        0.68         18.91          18.97          25.89           11.10         11.13         13.41          
3.00  -0.399 0.252  -0.260 0.58           0.48           0.59            35.57         9.11          36.24          0.80        0.73        0.80         25.08          5.99           25.62           10.49         3.12          10.62          
3.03  -0.384 0.268  -0.256 0.66           0.46           0.67            47.17         -14.38        47.95          0.85        0.71        0.86         34.69          -9.34          35.43           12.48         -5.04         12.53          
3.07  -0.370 0.287  -0.252 0.70           0.44           0.71            53.20         -15.44        53.77          0.88        0.68        0.88         39.99          -9.83          40.58           13.21         -5.61         13.19          
