time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.358 0.260  -0.203 
0.03  -0.353 0.257  -0.198 0.16           0.19           0.21            -29.70        -42.10        46.90          0.40        0.41        0.42         -11.58         -17.98         21.00           -18.12        -24.12        25.90          
0.07  -0.356 0.253  -0.183 0.15           0.47           0.49            -123.90       -100.00       99.68          0.21        0.50        0.51         -36.20         -70.27         70.87           -87.70        -29.74        28.82          
0.10  -0.353 0.248  -0.171 0.17           0.37           0.40            -60.34        -77.05        77.96          0.36        0.49        0.51         -23.71         -47.41         49.55           -36.63        -29.65        28.41          
0.13  -0.354 0.246  -0.153 0.07           0.54           0.54            -115.68       -93.03        93.01          0.23        0.58        0.58         -14.95         -67.59         67.71           -100.72       -25.44        25.30          
0.17  -0.357 0.252  -0.137 0.18           0.50           0.52            116.75        -99.19        98.75          0.23        0.52        0.54         42.69          -70.82         71.68           74.06         -28.36        27.08          
0.20  -0.353 0.258  -0.124 0.25           0.39           0.44            57.12         -70.11        72.48          0.44        0.53        0.57         28.34          -43.95         47.85           28.78         -26.16        24.63          
0.23  -0.343 0.269  -0.118 0.43           0.35           0.47            46.30         -31.26        50.42          0.63        0.58        0.65         29.60          -18.24         33.29           16.70         -13.02        17.13          
0.27  -0.345 0.286  -0.120 0.52           0.08           0.52            97.59         146.57        97.56          0.54        0.19        0.55         70.54          13.97          70.60           27.05         132.59        26.95          
0.30  -0.342 0.302  -0.122 0.50           0.12           0.50            79.25         36.93         79.35          0.60        0.35        0.60         55.06          11.55          55.33           24.19         25.39         24.03          
0.33  -0.341 0.310  -0.129 0.22           0.20           0.30            85.02         84.66         86.36          0.35        0.34        0.40         38.99          37.05          47.90           46.03         47.62         38.45          
0.37  -0.346 0.324  -0.131 0.45           0.17           0.45            110.32        155.98        110.07         0.43        0.12        0.44         77.41          36.46          77.57           32.92         119.51        32.50          
0.40  -0.355 0.318  -0.144 0.30           0.45           0.48            -145.03       123.63        121.10         0.17        0.37        0.41         -89.77         89.89          89.90           -55.26        33.74         31.19          
0.43  -0.369 0.317  -0.155 0.43           0.54           0.54            -176.90       142.05        141.99         0.18        0.38        0.38         -172.58        118.09         118.03          -4.32         23.97         23.96          
0.47  -0.394 0.318  -0.164 0.75           0.80           0.80            178.34        159.66        159.60         0.50        0.58        0.58         177.52         150.98         150.91          0.82          8.68          8.70           
0.50  -0.414 0.322  -0.181 0.60           0.77           0.78            168.20        139.61        138.78         0.36        0.60        0.62         160.02         124.03         123.26          8.18          15.58         15.52          
0.53  -0.434 0.326  -0.189 0.63           0.67           0.68            167.58        156.91        154.37         0.39        0.45        0.47         159.64         144.31         141.05          7.94          12.60         13.32          
0.57  -0.453 0.326  -0.202 0.57           0.69           0.69            -179.10       145.73        145.72         0.32        0.50        0.50         -178.40        129.50         129.49          -0.70         16.23         16.23          
0.60  -0.476 0.317  -0.209 0.72           0.70           0.75            -158.66       163.36        153.81         0.50        0.47        0.54         -148.11        154.55         141.93          -10.55        8.81          11.88          
0.63  -0.483 0.307  -0.231 0.38           0.69           0.76            -124.54       108.08        106.44         0.31        0.66        0.73         -83.34         86.83          87.13           -41.20        21.26         19.30          
0.67  -0.487 0.283  -0.243 0.73           0.38           0.81            -100.91       111.14        99.79          0.73        0.37        0.81         -81.14         72.64          82.06           -19.76        38.50         17.72          
0.70  -0.500 0.263  -0.263 0.73           0.73           0.95            -122.84       122.88        114.55         0.63        0.63        0.88         -103.30        103.31         99.49           -19.55        19.57         15.06          
