time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.166 0.181  -0.226 
0.03  -1.170 0.214  -0.235 0.98           0.31           1.03            96.64         111.63        96.37          0.99        0.32        1.03         82.07          64.63          82.39           14.57         47.00         13.98          
0.07  -1.179 0.234  -0.245 0.66           0.40           0.72            114.85        134.59        112.74         0.60        0.28        0.66         92.70          95.74          92.45           22.14         38.85         20.29          
0.10  -1.189 0.252  -0.255 0.63           0.44           0.71            117.89        132.33        114.59         0.56        0.33        0.64         94.50          97.71          93.89           23.39         34.61         20.69          
0.13  -1.196 0.267  -0.266 0.48           0.37           0.57            114.98        124.00        110.98         0.44        0.31        0.54         84.07          81.45          85.11           30.92         42.56         25.86          
0.17  -1.202 0.274  -0.279 0.28           0.43           0.48            131.00        114.83        112.22         0.22        0.40        0.45         71.49          79.89          81.06           59.51         34.94         31.16          
0.20  -1.207 0.279  -0.288 0.23           0.34           0.37            135.96        119.41        116.34         0.18        0.30        0.34         61.91          73.77          75.66           74.05         45.64         40.67          
0.23  -1.210 0.292  -0.297 0.38           0.28           0.46            103.56        108.55        101.08         0.40        0.31        0.48         66.18          58.43          70.28           37.38         50.12         30.80          
0.27  -1.210 0.302  -0.307 0.30           0.30           0.43            89.98         89.98         89.98          0.39        0.39        0.49         50.45          50.10          59.57           39.52         39.87         30.42          
0.30  -1.205 0.298  -0.313 0.20           0.23           0.26            -38.55        47.75         53.66          0.42        0.44        0.45         -16.84         22.70          27.31           -21.71        25.06         26.35          
0.33  -1.203 0.293  -0.320 0.16           0.22           0.26            -68.53        74.18         77.05          0.34        0.37        0.40         -25.99         34.09          39.83           -42.53        40.08         37.22          
0.37  -1.195 0.283  -0.324 0.37           0.29           0.40            -47.87        28.85         51.01          0.57        0.52        0.59         -28.96         15.41          31.72           -18.91        13.44         19.28          
0.40  -1.182 0.278  -0.333 0.41           0.46           0.49            -24.73        35.33         40.21          0.64        0.67        0.70         -15.39         22.96          26.80           -9.34         12.37         13.40          
0.43  -1.170 0.273  -0.338 0.40           0.41           0.43            -18.36        23.13         28.41          0.64        0.65        0.66         -11.26         14.38          17.98           -7.09         8.75          10.42          
0.47  -1.158 0.282  -0.345 0.42           0.39           0.46            35.73         28.93         42.21          0.64        0.62        0.67         22.62          17.75          27.72           13.11         11.18         14.49          
0.50  -1.143 0.289  -0.346 0.52           0.47           0.53            26.33         4.18          26.57          0.76        0.72        0.76         17.90          2.73           18.09           8.42          1.45          8.49           
0.53  -1.129 0.301  -0.346 0.54           0.41           0.54            40.03         0.76          40.04          0.75        0.66        0.75         27.57          0.47           27.58           12.46         0.29          12.46          
0.57  -1.119 0.310  -0.343 0.41           0.32           0.42            41.93         -15.93        43.30          0.62        0.57        0.63         26.38          -8.96          27.49           15.55         -6.97         15.81          
0.60  -1.109 0.317  -0.335 0.34           0.36           0.41            34.38         -39.07        46.71          0.57        0.58        0.61         19.97          -23.33         29.42           14.40         -15.74        17.29          
0.63  -1.105 0.311  -0.324 0.20           0.37           0.40            -49.39        -68.99        70.68          0.41        0.52        0.54         -22.08         -42.16         44.78           -27.31        -26.83        25.91          
0.67  -1.105 0.304  -0.298 0.22           0.77           0.80            -88.25        -89.50        89.52          0.34        0.81        0.84         -40.81         -71.62         72.29           -47.44        -17.88        17.23          
0.70  -1.091 0.285  -0.284 0.70           0.58           0.82            -56.19        -47.06        61.47          0.87        0.77        0.97         -42.36         -33.27         48.32           -13.83        -13.79        13.15          
0.73  -1.076 0.253  -0.267 1.06           0.70           1.18            -63.22        -46.81        66.04          1.19        0.89        1.30         -52.45         -34.97         55.90           -10.77        -11.85        10.14          
0.77  -1.074 0.226  -0.246 0.82           0.64           1.04            -86.55        -85.55        87.27          0.87        0.70        1.08         -69.90         -64.75         73.87           -16.65        -20.80        13.40          
0.80  -1.062 0.198  -0.222 0.91           0.80           1.16            -67.71        -64.63        72.77          1.03        0.94        1.26         -54.68         -50.67         61.81           -13.02        -13.96        10.96          
0.83  -1.053 0.183  -0.201 0.54           0.68           0.81            -56.25        -64.13        68.57          0.71        0.82        0.94         -39.12         -48.26         54.16           -17.13        -15.87        14.41          
0.87  -1.041 0.182  -0.180 0.34           0.72           0.72            -3.86         -61.70        61.72          0.59        0.86        0.86         -2.23          -46.94         46.96           -1.63         -14.77        14.76          
0.90  -1.016 0.188  -0.171 0.76           0.79           0.81            13.59         -19.89        23.51          1.01        1.03        1.04         10.25          -15.15         18.03           3.34          -4.74         5.48           
0.93  -1.004 0.206  -0.159 0.64           0.53           0.74            53.92         -44.03        59.22          0.82        0.73        0.89         39.58          -30.21         45.31           14.35         -13.82        13.90          
0.97  -0.988 0.230  -0.153 0.89           0.52           0.91            56.72         -20.50        57.48          1.05        0.76        1.07         45.24          -13.90         46.08           11.48         -6.60         11.40          
1.00  -0.989 0.260  -0.150 0.88           0.10           0.88            93.54         -122.65       93.53          0.90        0.21        0.90         77.38          -23.36         77.44           16.16         -99.29        16.09          
1.03  -0.989 0.285  -0.149 0.77           0.03           0.77            89.37         -75.67        89.37          0.81        0.26        0.81         71.40          -7.30          71.42           17.97         -68.37        17.95          
1.07  -0.995 0.306  -0.149 0.67           0.19           0.67            106.72        179.73        106.72         0.64        0.06        0.64         84.73          0.88           84.73           21.98         178.85        21.98          
1.10  -1.011 0.317  -0.158 0.56           0.53           0.62            145.74        151.19        138.80         0.38        0.33        0.46         124.05         129.92         117.73          21.70         21.27         21.07          
1.13  -1.025 0.336  -0.159 0.70           0.42           0.71            126.19        176.11        126.16         0.59        0.17        0.59         106.29         170.34         106.28          19.90         5.77          19.88          
1.17  -1.042 0.355  -0.171 0.77           0.64           0.86            132.51        144.88        127.61         0.63        0.46        0.73         115.57         126.58         111.91          16.94         18.30         15.70          
1.20  -1.049 0.372  -0.186 0.55           0.49           0.70            111.92        114.80        106.88         0.51        0.44        0.68         84.88          84.12          86.13           27.04         30.67         20.75          
1.23  -1.064 0.385  -0.199 0.59           0.60           0.72            138.27        137.62        128.08         0.44        0.45        0.60         116.10         115.59         108.90          22.17         22.03         19.18          
1.27  -1.073 0.396  -0.215 0.42           0.56           0.64            131.69        120.30        116.04         0.32        0.48        0.58         95.68          93.73          93.12           36.02         26.57         22.92          
1.30  -1.089 0.416  -0.233 0.78           0.71           0.95            126.89        131.12        119.64         0.66        0.58        0.85         109.30         112.16         104.87          17.59         18.96         14.77          
1.33  -1.102 0.430  -0.254 0.57           0.75           0.85            133.85        122.12        117.72         0.44        0.65        0.77         109.56         103.07         101.00          24.29         19.05         16.72          
1.37  -1.105 0.433  -0.270 0.13           0.50           0.51            133.13        100.33        100.15         0.19        0.51        0.52         30.59          71.77          72.09           102.55        28.56         28.06          
1.40  -1.105 0.438  -0.285 0.14           0.44           0.46            95.75         91.79         91.71          0.27        0.50        0.51         29.89          61.59          62.68           65.86         30.20         29.03          
1.43  -1.114 0.437  -0.305 0.25           0.66           0.66            -171.72       112.12        112.09         0.04        0.61        0.61         -86.99         89.82          89.82           -84.73        22.30         22.26          
1.47  -1.111 0.425  -0.325 0.36           0.60           0.70            -76.81        82.06         83.16          0.49        0.68        0.77         -46.72         60.71          64.27           -30.09        21.34         18.89          
1.50  -1.102 0.408  -0.336 0.57           0.42           0.66            -63.22        52.22         67.07          0.72        0.61        0.79         -45.18         33.23          50.21           -18.04        18.98         16.86          
1.53  -1.093 0.397  -0.346 0.42           0.39           0.51            -50.11        46.37         57.85          0.61        0.59        0.68         -31.91         28.63          39.63           -18.20        17.74         18.22          
1.57  -1.078 0.357  -0.342 1.30           0.47           1.30            -69.29        -12.00        69.36          1.41        0.72        1.41         -59.72         -7.84          59.80           -9.57         -4.17         9.55           
1.60  -1.069 0.326  -0.330 0.94           0.44           1.01            -74.10        -54.39        75.17          1.04        0.62        1.10         -60.69         -35.33         62.45           -13.41        -19.07        12.72          
1.63  -1.044 0.300  -0.317 1.11           0.87           1.18            -46.30        -27.53        49.46          1.30        1.09        1.36         -38.28         -21.46         41.41           -8.01         -6.07         8.05           
