time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.279 0.248  -0.252 
0.03  -1.271 0.230  -0.281 0.59           0.90           1.05            -66.61        74.89         77.10          0.73        0.99        1.13         -48.18         60.81          64.65           -18.43        14.08         12.45          
0.07  -1.260 0.212  -0.311 0.62           0.95           1.09            -57.76        69.76         72.34          0.78        1.07        1.19         -42.05         57.06          60.78           -15.70        12.70         11.57          
0.10  -1.255 0.205  -0.346 0.27           1.06           1.08            -53.06        81.39         81.55          0.46        1.13        1.15         -27.37         68.73          69.12           -25.70        12.65         12.44          
0.13  -1.233 0.204  -0.366 0.64           0.88           0.88            -2.94         43.75         43.80          0.89        1.07        1.07         -2.11          34.48          34.52           -0.83         9.27          9.27           
0.17  -1.223 0.210  -0.378 0.37           0.47           0.51            31.27         48.37         51.97          0.60        0.67        0.69         18.68          32.06          35.44           12.60         16.31         16.53          
0.20  -1.202 0.218  -0.378 0.67           0.63           0.67            20.26         1.56          20.31          0.91        0.88        0.91         14.80          1.11           14.84           5.46          0.44          5.47           
0.23  -1.181 0.233  -0.379 0.76           0.63           0.76            34.59         0.95          34.60          0.98        0.88        0.98         26.26          0.68           26.27           8.33          0.27          8.33           
0.27  -1.167 0.241  -0.370 0.50           0.50           0.57            32.29         -32.91        42.13          0.72        0.72        0.77         21.61          -22.07         29.55           10.69         -10.83        12.59          
0.30  -1.143 0.240  -0.360 0.72           0.78           0.78            -3.65         -22.77        23.00          0.97        1.01        1.01         -2.71          -17.28         17.46           -0.94         -5.49         5.54           
0.33  -1.124 0.231  -0.353 0.63           0.61           0.66            -23.73        -18.31        28.82          0.87        0.85        0.89         -17.06         -13.01         21.01           -6.67         -5.30         7.81           
0.37  -1.105 0.217  -0.346 0.72           0.62           0.75            -35.97        -20.04        39.09          0.93        0.86        0.95         -26.89         -14.29         29.57           -9.09         -5.74         9.52           
0.40  -1.075 0.199  -0.336 1.04           0.95           1.09            -31.47        -20.05        35.47          1.26        1.18        1.30         -25.54         -15.90         29.09           -5.93         -4.15         6.39           
0.43  -1.059 0.189  -0.327 0.56           0.53           0.61            -33.63        -28.21        40.52          0.78        0.76        0.82         -23.43         -19.27         29.11           -10.20        -8.95         11.41          
0.47  -1.036 0.191  -0.312 0.71           0.84           0.84            5.14          -32.45        32.70          0.96        1.06        1.06         3.81           -25.18         25.40           1.33          -7.26         7.30           
0.50  -1.008 0.198  -0.293 0.85           1.01           1.03            14.01         -34.88        36.51          1.10        1.22        1.24         10.84          -28.15         29.61           3.16          -6.73         6.90           
0.53  -0.998 0.212  -0.271 0.54           0.73           0.85            53.87         -64.37        68.15          0.72        0.87        0.98         37.48          -49.40         54.39           16.39         -14.97        13.77          
0.57  -0.984 0.230  -0.255 0.67           0.63           0.82            51.12         -48.17        59.07          0.85        0.82        0.97         37.85          -34.99         46.28           13.27         -13.18        12.79          
0.60  -0.971 0.244  -0.239 0.57           0.61           0.75            49.05         -52.21        59.97          0.76        0.79        0.90         34.62          -37.69         46.01           14.44         -14.53        13.95          
0.63  -0.961 0.257  -0.228 0.50           0.46           0.60            51.08         -47.00        58.60          0.68        0.65        0.76         34.52          -30.78         42.30           16.56         -16.22        16.30          
0.67  -0.954 0.271  -0.216 0.46           0.43           0.60            62.45         -60.17        68.90          0.62        0.60        0.73         41.55          -38.89         50.15           20.90         -21.29        18.75          
0.70  -0.937 0.274  -0.215 0.51           0.51           0.51            9.27          -2.45         9.57           0.76        0.76        0.76         6.23           -1.64          6.44            3.04          -0.81         3.13           
0.73  -0.926 0.279  -0.221 0.36           0.37           0.41            25.98         29.33         36.65          0.60        0.60        0.62         15.40          17.62          22.81           10.58         11.71         13.84          
0.77  -0.903 0.282  -0.234 0.68           0.78           0.79            8.74          30.55         31.38          0.93        1.01        1.01         6.40           23.29          23.98           2.34          7.26          7.40           
0.80  -0.880 0.272  -0.242 0.77           0.75           0.81            -22.80        18.48         28.23          1.01        0.99        1.04         -17.29         13.90          21.68           -5.51         4.58          6.55           
0.83  -0.859 0.268  -0.257 0.62           0.77           0.77            -10.59        36.99         37.82          0.87        0.98        0.98         -7.55          28.13          28.85           -3.03         8.86          8.97           
0.87  -0.836 0.252  -0.285 0.85           1.08           1.18            -35.09        49.78         53.98          1.07        1.25        1.35         -27.34         41.03          45.35           -7.75         8.75          8.63           
0.90  -0.811 0.239  -0.300 0.85           0.88           0.96            -26.92        30.87         38.11          1.07        1.10        1.17         -20.88         24.17          30.50           -6.05         6.69          7.61           
0.93  -0.777 0.233  -0.318 1.03           1.16           1.17            -10.93        28.61         30.06          1.28        1.38        1.40         -8.81          23.64          24.91           -2.12         4.97          5.15           
0.97  -0.748 0.230  -0.323 0.88           0.89           0.90            -6.47         9.64          11.55          1.13        1.14        1.14         -5.04          7.53           9.03            -1.43         2.11          2.51           
1.00  -0.705 0.232  -0.332 1.28           1.31           1.31            3.47          11.66         12.14          1.53        1.55        1.55         2.90           9.80           10.20           0.57          1.87          1.94           
1.03  -0.696 0.253  -0.334 0.69           0.27           0.70            67.24         11.21         67.31          0.82        0.52        0.83         51.01          5.86           51.10           16.24         5.35          16.21          
1.07  -0.681 0.276  -0.334 0.82           0.46           0.82            55.83         1.01          55.84          0.99        0.71        0.99         43.74          0.66           43.74           12.10         0.36          12.10          
1.10  -0.673 0.298  -0.334 0.70           0.22           0.70            71.80         -3.46         71.81          0.81        0.47        0.81         54.82          -1.61          54.83           16.98         -1.84         16.98          
1.13  -0.685 0.327  -0.339 0.93           0.39           0.95            111.88        153.78        111.50         0.87        0.20        0.89         96.42          119.65         96.30           15.46         34.13         15.20          
1.17  -0.702 0.346  -0.344 0.76           0.53           0.77            132.02        163.81        131.08         0.62        0.30        0.64         114.55         150.20         113.84          17.47         13.61         17.24          
1.20  -0.725 0.373  -0.351 1.08           0.72           1.10            130.19        164.16        129.40         0.94        0.49        0.96         118.41         156.11         117.74          11.78         8.06          11.66          
1.23  -0.745 0.384  -0.349 0.68           0.60           0.68            152.39        -173.79       151.89         0.47        0.36        0.47         138.10         -169.43        137.49          14.29         -4.36         14.40          
1.27  -0.766 0.402  -0.352 0.82           0.62           0.83            138.04        171.38        137.64         0.66        0.37        0.67         123.35         165.64         122.98          14.69         5.75          14.66          
1.30  -0.771 0.411  -0.355 0.30           0.19           0.32            121.14        145.16        119.12         0.27        0.14        0.29         69.67          48.63          71.14           51.47         96.53         47.97          
1.33  -0.786 0.424  -0.350 0.60           0.47           0.62            137.70        -160.66       135.72         0.45        0.25        0.48         115.80         -141.40        114.27          21.91         -19.26        21.45          
1.37  -0.786 0.434  -0.346 0.31           0.13           0.34            90.69         -91.58        90.64          0.39        0.28        0.42         51.28          -28.63         53.71           39.41         -62.95        36.93          
1.40  -0.784 0.431  -0.326 0.12           0.58           0.59            -67.53        -85.56        85.64          0.31        0.65        0.66         -20.24         -63.00         63.40           -47.30        -22.55        22.23          
1.43  -0.783 0.415  -0.319 0.49           0.23           0.53            -84.53        -78.20        85.02          0.57        0.37        0.61         -58.47         -36.78         60.85           -26.06        -41.42        24.17          
1.47  -0.775 0.402  -0.307 0.44           0.42           0.56            -59.86        -58.42        67.12          0.60        0.59        0.70         -38.79         -37.20         47.87           -21.07        -21.22        19.25          
1.50  -0.760 0.377  -0.287 0.89           0.75           1.07            -59.18        -52.58        64.80          1.04        0.92        1.20         -47.23         -40.14         53.89           -11.95        -12.45        10.91          
1.53  -0.736 0.352  -0.276 1.05           0.81           1.10            -45.70        -24.77        48.34          1.24        1.04        1.28         -37.40         -18.99         39.97           -8.31         -5.78         8.37           
1.57  -0.711 0.337  -0.245 0.86           1.19           1.27            -31.35        -52.27        55.02          1.08        1.36        1.43         -24.42         -43.93         46.80           -6.94         -8.35         8.22           
1.60  -0.678 0.322  -0.236 1.10           1.05           1.14            -23.41        -14.87        26.92          1.34        1.29        1.36         -19.15         -12.02         22.16           -4.26         -2.85         4.76           
1.63  -0.641 0.290  -0.220 1.46           1.19           1.54            -41.48        -23.75        44.64          1.65        1.43        1.72         -35.73         -19.70         38.79           -5.75         -4.05         5.85           
