time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.220 0.186  -0.293 
0.03  -1.204 0.203  -0.302 0.69           0.55           0.75            47.43         31.47         51.31          0.88        0.77        0.93         35.36          21.76          39.15           12.06         9.71          12.16          
0.07  -1.188 0.222  -0.310 0.75           0.55           0.79            49.28         26.45         51.64          0.93        0.78        0.96         37.53          18.21          39.88           11.74         8.24          11.76          
0.10  -1.184 0.244  -0.323 0.67           0.40           0.77            79.11         71.37         80.51          0.76        0.53        0.85         60.29          45.00          63.64           18.82         26.36         16.87          
0.13  -1.183 0.275  -0.333 0.93           0.31           0.98            89.28         87.86         89.32          0.96        0.41        1.01         74.22          49.99          75.00           15.06         37.87         14.31          
0.17  -1.182 0.298  -0.342 0.69           0.26           0.74            86.40         80.35         86.63          0.75        0.39        0.79         66.94          40.96          68.23           19.46         39.39         18.39          
0.20  -1.176 0.321  -0.352 0.73           0.37           0.80            75.73         60.39         76.93          0.83        0.54        0.89         58.79          36.47          61.06           16.93         23.93         15.87          
0.23  -1.161 0.339  -0.363 0.70           0.55           0.77            50.08         35.47         54.30          0.88        0.77        0.93         37.48          24.56          41.75           12.61         10.91         12.55          
0.27  -1.152 0.350  -0.370 0.42           0.34           0.48            52.49         40.11         57.20          0.61        0.55        0.65         33.47          23.14          38.21           19.02         16.97         18.99          
0.30  -1.141 0.355  -0.381 0.37           0.48           0.50            21.77         44.76         46.91          0.61        0.68        0.70         13.01          29.85          31.74           8.76          14.92         15.17          
0.33  -1.128 0.348  -0.388 0.45           0.45           0.49            -28.26        27.48         36.80          0.68        0.68        0.71         -18.24         17.69          24.63           -10.02        9.80          12.17          
0.37  -1.113 0.327  -0.399 0.77           0.56           0.83            -53.51        35.87         56.88          0.94        0.78        0.99         -41.11         25.03          44.71           -12.39        10.84         12.18          
0.40  -1.101 0.300  -0.413 0.88           0.54           0.97            -66.66        49.20         68.90          1.01        0.72        1.09         -53.51         34.05          56.51           -13.15        15.15         12.39          
0.43  -1.086 0.273  -0.416 0.94           0.47           0.95            -60.68        10.83         60.82          1.09        0.72        1.09         -49.12         7.08           49.29           -11.55        3.75          11.53          
0.47  -1.074 0.240  -0.431 1.04           0.58           1.14            -71.11        54.34         72.84          1.14        0.75        1.24         -59.18         38.65          61.70           -11.93        15.70         11.13          
0.50  -1.059 0.210  -0.436 1.01           0.49           1.02            -62.89        17.92         63.21          1.15        0.73        1.16         -51.73         11.85          52.10           -11.17        6.07          11.11          
0.53  -1.037 0.179  -0.441 1.13           0.67           1.14            -54.65        11.89         54.95          1.29        0.91        1.30         -45.55         8.65           45.87           -9.10         3.23          9.08           
0.57  -1.014 0.171  -0.433 0.74           0.73           0.77            -20.37        -18.89        26.79          0.97        0.97        1.00         -15.25         -14.10         20.34           -5.12         -4.79         6.45           
0.60  -0.991 0.153  -0.429 0.87           0.70           0.88            -37.70        -10.82        38.52          1.08        0.95        1.09         -29.59         -7.99          30.32           -8.11         -2.83         8.20           
0.63  -0.968 0.156  -0.417 0.71           0.78           0.79            8.16          -26.17        27.11          0.95        1.01        1.01         6.03           -19.90         20.66           2.13          -6.27         6.45           
0.67  -0.947 0.162  -0.409 0.65           0.67           0.69            15.61         -20.89        25.32          0.89        0.91        0.92         11.28          -15.24         18.66           4.33          -5.65         6.65           
0.70  -0.929 0.173  -0.398 0.61           0.63           0.70            30.62         -33.23        41.44          0.84        0.85        0.91         21.89          -23.98         30.93           8.73          -9.25         10.50          
0.73  -0.919 0.187  -0.383 0.53           0.54           0.69            52.82         -53.05        61.89          0.71        0.72        0.83         36.62          -36.86         46.55           16.20         -16.20        15.34          
0.77  -0.907 0.206  -0.371 0.68           0.51           0.78            58.48         -45.92        62.61          0.84        0.71        0.92         43.83          -31.30         48.65           14.65         -14.62        13.96          
0.80  -0.890 0.218  -0.354 0.61           0.72           0.80            34.43         -45.43        50.77          0.83        0.91        0.98         24.65          -34.20         39.35           9.77          -11.22        11.41          
0.83  -0.883 0.230  -0.336 0.41           0.58           0.68            60.46         -69.36        72.59          0.58        0.71        0.79         38.39          -50.02         55.07           22.07         -19.35        17.52          
0.87  -0.869 0.239  -0.316 0.50           0.73           0.77            32.48         -54.63        57.10          0.72        0.89        0.93         21.75          -41.44         44.09           10.73         -13.19        13.01          
0.90  -0.855 0.238  -0.297 0.43           0.71           0.71            -1.79         -52.81        52.82          0.68        0.89        0.89         -1.14          -39.83         39.84           -0.66         -12.98        12.98          
0.93  -0.853 0.238  -0.276 0.05           0.63           0.63            5.08          -85.82        85.82          0.30        0.69        0.69         0.79           -64.65         64.65           4.29          -21.17        21.17          
0.97  -0.830 0.228  -0.263 0.75           0.80           0.86            -23.33        -31.21        36.64          0.98        1.02        1.07         -17.54         -23.95         28.60           -5.79         -7.26         8.04           
1.00  -0.810 0.223  -0.249 0.63           0.73           0.75            -15.64        -32.82        35.11          0.88        0.95        0.96         -11.23         -24.58         26.51           -4.41         -8.23         8.60           
1.03  -0.784 0.218  -0.243 0.80           0.81           0.83            -11.06        -14.53        17.99          1.05        1.06        1.07         -8.44          -11.12         13.84           -2.63         -3.41         4.15           
1.07  -0.758 0.219  -0.241 0.76           0.76           0.76            2.58          -2.93         3.90           1.01        1.01        1.01         1.94           -2.20          2.93            0.64          -0.72         0.96           
1.10  -0.731 0.202  -0.236 0.96           0.83           0.97            -32.35        -10.45        33.41          1.18        1.07        1.19         -25.85         -8.03          26.77           -6.50         -2.42         6.64           
