time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.945 0.109  -0.299 
0.03  -0.925 0.127  -0.300 0.81           0.59           0.81            43.20         3.08          43.25          1.01        0.84        1.01         33.46          2.17           33.50           9.74          0.91          9.75           
0.07  -0.919 0.148  -0.303 0.64           0.21           0.64            73.40         28.46         73.60          0.75        0.44        0.75         54.72          12.87          55.07           18.68         15.59         18.53          
0.10  -0.898 0.168  -0.305 0.88           0.63           0.88            44.48         4.24          44.56          1.07        0.88        1.07         35.09          3.04           35.17           9.39          1.21          9.39           
0.13  -0.882 0.180  -0.308 0.59           0.49           0.60            35.76         12.35         36.97          0.80        0.73        0.81         25.30          8.18           26.29           10.47         4.18          10.68          
0.17  -0.862 0.188  -0.319 0.66           0.70           0.74            21.34         27.75         33.24          0.90        0.93        0.96         15.54          20.53          25.01           5.80          7.21          8.23           
0.20  -0.840 0.186  -0.328 0.66           0.71           0.72            -5.32         22.51         23.02          0.91        0.95        0.95         -3.86          16.73          17.13           -1.46         5.78          5.89           
0.23  -0.827 0.179  -0.336 0.43           0.45           0.49            -28.80        32.26         39.93          0.66        0.67        0.70         -18.29         20.77          26.71           -10.52        11.48         13.22          
0.27  -0.805 0.176  -0.350 0.69           0.80           0.80            -5.77         31.44         31.79          0.93        1.02        1.02         -4.23          24.10          24.39           -1.54         7.34          7.40           
0.30  -0.788 0.149  -0.359 0.96           0.58           1.00            -58.55        30.05         60.03          1.11        0.80        1.14         -47.44         21.07          49.12           -11.11        8.98          10.91          
0.33  -0.779 0.143  -0.366 0.34           0.35           0.40            -33.75        37.40         45.44          0.56        0.57        0.60         -19.41         21.96          28.17           -14.34        15.44         17.27          
0.37  -0.761 0.139  -0.370 0.53           0.53           0.54            -12.30        11.14         16.37          0.78        0.78        0.79         -8.39          7.58           11.23           -3.92         3.56          5.14           
0.40  -0.753 0.142  -0.382 0.25           0.42           0.43            16.56         55.27         55.83          0.50        0.60        0.61         8.31           35.31          35.88           8.25          19.96         19.95          
0.43  -0.742 0.156  -0.386 0.54           0.36           0.56            52.17         22.32         53.50          0.72        0.60        0.73         36.30          13.18          37.63           15.87         9.14          15.87          
0.47  -0.737 0.174  -0.387 0.57           0.15           0.57            74.72         11.72         74.74          0.68        0.40        0.68         53.87          4.44           53.91           20.85         7.28          20.82          
0.50  -0.728 0.184  -0.386 0.40           0.27           0.40            48.20         -5.44         48.30          0.60        0.52        0.60         29.95          -2.81          30.04           18.25         -2.63         18.26          
0.53  -0.732 0.208  -0.381 0.73           0.18           0.74            98.09         -124.86       97.92          0.74        0.21        0.75         78.46          -44.96         78.69           19.63         -79.90        19.24          
0.57  -0.742 0.231  -0.376 0.77           0.36           0.79            114.65        -153.02       114.08         0.70        0.18        0.72         95.84          -113.64        95.69           18.81         -39.38        18.39          
0.60  -0.740 0.245  -0.369 0.41           0.21           0.45            77.76         -66.27        78.99          0.52        0.39        0.56         49.80          -30.30         52.85           27.95         -35.97        26.14          
0.63  -0.739 0.266  -0.356 0.63           0.39           0.74            89.68         -89.49        89.73          0.68        0.47        0.79         68.13          -57.28         71.20           21.55         -32.21        18.53          
0.67  -0.731 0.269  -0.339 0.27           0.58           0.59            22.48         -64.50        64.92          0.51        0.72        0.73         11.70          -46.37         46.91           10.78         -18.13        18.01          
0.70  -0.726 0.264  -0.324 0.22           0.48           0.50            -42.38        -69.96        70.91          0.44        0.61        0.63         -19.93         -47.45         48.95           -22.45        -22.51        21.96          
0.73  -0.712 0.256  -0.315 0.48           0.50           0.55            -29.63        -33.08        40.85          0.71        0.72        0.76         -19.60         -22.19         28.43           -10.03        -10.89        12.42          
0.77  -0.686 0.247  -0.300 0.82           0.89           0.93            -20.41        -29.48        34.09          1.06        1.11        1.15         -15.70         -23.12         27.08           -4.71         -6.35         7.01           
0.80  -0.663 0.258  -0.286 0.78           0.82           0.89            25.62         -31.70        38.02          1.01        1.04        1.10         19.47          -24.48         29.96           6.15          -7.22         8.07           
0.83  -0.640 0.235  -0.285 0.97           0.69           0.97            -44.72        -1.55         44.73          1.16        0.94        1.16         -35.99         -1.14          36.00           -8.73         -0.41         8.73           
0.87  -0.612 0.237  -0.284 0.83           0.83           0.83            3.49          -2.12         4.08           1.08        1.08        1.08         2.68           -1.63          3.14            0.81          -0.49         0.95           
0.90  -0.596 0.252  -0.275 0.64           0.54           0.69            42.96         -28.39        47.11          0.84        0.76        0.88         31.31          -19.45         35.12           11.65         -8.94         12.00          
0.93  -0.578 0.262  -0.269 0.63           0.57           0.66            30.77         -20.32        35.04          0.85        0.81        0.87         22.13          -14.20         25.59           8.64          -6.13         9.45           
0.97  -0.557 0.273  -0.266 0.72           0.64           0.72            28.14         -7.99         28.94          0.94        0.89        0.95         20.96          -5.74          21.61           7.18          -2.25         7.33           
1.00  -0.544 0.288  -0.256 0.60           0.49           0.67            48.46         -36.67        53.52          0.79        0.71        0.84         34.70          -24.55         39.68           13.76         -12.12        13.84          
1.03  -0.536 0.292  -0.250 0.26           0.29           0.31            21.70         -34.71        38.62          0.50        0.52        0.53         11.06          -18.79         21.43           10.64         -15.92        17.20          
1.07  -0.519 0.287  -0.249 0.54           0.52           0.54            -14.14        -5.12         14.97          0.78        0.77        0.78         -9.67          -3.47          10.25           -4.47         -1.65         4.72           
1.10  -0.510 0.269  -0.236 0.62           0.47           0.73            -65.14        -56.30        69.16          0.76        0.64        0.85         -47.68         -37.35         53.21           -17.46        -18.95        15.95          
1.13  -0.495 0.258  -0.237 0.56           0.47           0.56            -34.19        3.61          34.30          0.78        0.72        0.78         -23.85         2.35           23.94           -10.34        1.26          10.36          
1.17  -0.477 0.247  -0.236 0.63           0.53           0.63            -32.08        -2.82         32.16          0.85        0.78        0.85         -23.12         -1.92          23.18           -8.96         -0.90         8.98           
1.20  -0.456 0.212  -0.248 1.22           0.72           1.27            -59.44        30.89         60.90          1.36        0.94        1.41         -50.34         23.08          51.98           -9.11         7.82          8.91           
1.23  -0.436 0.190  -0.250 0.89           0.60           0.89            -47.88        5.95          48.00          1.07        0.85        1.07         -37.92         4.20           38.05           -9.95         1.75          9.96           
1.27  -0.417 0.175  -0.258 0.73           0.62           0.77            -37.32        20.80         40.42          0.95        0.86        0.97         -28.10         14.89          30.82           -9.22         5.90          9.61           
1.30  -0.399 0.162  -0.269 0.67           0.64           0.75            -36.00        32.72         44.12          0.88        0.86        0.95         -26.43         23.73          33.57           -9.57         8.99          10.55          
1.33  -0.391 0.153  -0.275 0.36           0.30           0.40            -46.84        34.03         51.61          0.56        0.52        0.59         -27.88         18.52          32.06           -18.96        15.50         19.55          
1.37  -0.376 0.149  -0.282 0.44           0.48           0.50            -18.39        27.91         32.02          0.69        0.71        0.72         -11.79         18.40          21.44           -6.60         9.51          10.58          
1.40  -0.382 0.160  -0.293 0.38           0.36           0.50            118.08        119.47        111.20         0.34        0.32        0.47         78.10          77.42          81.29           39.98         42.05         29.91          
1.43  -0.385 0.171  -0.291 0.34           0.11           0.34            105.24        -144.80       104.98         0.36        0.17        0.37         63.71          -21.26         64.12           41.53         -123.54       40.86          
1.47  -0.381 0.185  -0.298 0.45           0.24           0.49            73.89         58.09         75.32          0.57        0.43        0.61         49.09          28.16          51.83           24.80         29.93         23.49          
1.50  -0.390 0.204  -0.297 0.63           0.25           0.63            113.15        -175.07       113.13         0.58        0.02        0.58         89.85          -85.97         89.85           23.29         -89.09        23.28          
1.53  -0.387 0.208  -0.306 0.14           0.29           0.31            54.01         73.43         74.61          0.35        0.43        0.45         18.76          39.67          41.86           35.25         33.77         32.74          
1.57  -0.380 0.207  -0.313 0.20           0.28           0.28            -11.53        45.88         46.43          0.45        0.49        0.49         -5.10          24.30          24.71           -6.43         21.58         21.72          
1.60  -0.380 0.209  -0.317 0.07           0.12           0.14            91.10         90.65         90.56          0.26        0.28        0.29         16.41          26.40          30.00           74.69         64.25         60.57          
1.63  -0.367 0.195  -0.307 0.59           0.51           0.66            -45.73        -35.01        51.16          0.79        0.73        0.84         -32.61         -23.60         37.77           -13.12        -11.41        13.40          
1.67  -0.360 0.188  -0.293 0.30           0.48           0.53            -46.80        -64.43        66.91          0.51        0.63        0.66         -25.69         -43.37         46.67           -21.10        -21.07        20.24          
1.70  -0.342 0.174  -0.283 0.67           0.62           0.74            -36.74        -29.58        43.16          0.88        0.85        0.94         -27.00         -21.19         32.63           -9.74         -8.40         10.53          
1.73  -0.339 0.168  -0.265 0.22           0.53           0.57            -72.15        -82.69        83.20          0.38        0.61        0.65         -33.28         -58.75         60.59           -38.87        -23.94        22.62          
1.77  -0.327 0.152  -0.242 0.60           0.80           0.92            -50.47        -61.50        65.60          0.78        0.95        1.05         -36.21         -48.06         53.11           -14.26        -13.44        12.50          
1.80  -0.319 0.158  -0.238 0.28           0.25           0.30            36.38         -25.42        41.24          0.50        0.49        0.51         19.18          -12.65         22.49           17.20         -12.77        18.75          
1.83  -0.312 0.165  -0.234 0.32           0.25           0.34            44.57         -26.40        47.81          0.53        0.49        0.54         25.11          -13.29         27.69           19.46         -13.11        20.11          
1.87  -0.317 0.169  -0.209 0.20           0.77           0.78            142.17        -101.84       101.69         0.15        0.76        0.77         52.99          -83.00         83.09           89.18         -18.83        18.59          
1.90  -0.311 0.166  -0.205 0.21           0.23           0.24            -25.95        -31.88        38.30          0.45        0.46        0.47         -11.92         -15.09         18.90           -14.03        -16.79        19.40          
1.93  -0.304 0.170  -0.208 0.24           0.21           0.25            34.04         22.09         38.24          0.47        0.45        0.47         16.57          10.14          19.15           17.46         11.95         19.09          
1.97  -0.308 0.171  -0.198 0.13           0.33           0.33            171.98        -113.87       113.83         0.12        0.32        0.32         8.96           -68.44         68.48           163.02        -45.43        45.35          
2.00  -0.306 0.185  -0.198 0.44           0.07           0.44            81.07         7.67          81.07          0.54        0.32        0.54         53.68          1.65           53.68           27.39         6.02          27.39          
2.03  -0.312 0.209  -0.208 0.74           0.34           0.79            104.56        123.33        103.58         0.72        0.29        0.77         84.84          77.12          85.20           19.72         46.21         18.38          
2.07  -0.297 0.216  -0.200 0.50           0.52           0.56            23.10         -27.66        34.05          0.74        0.75        0.78         15.50          -18.81         23.71           7.60          -8.84         10.33          
2.10  -0.301 0.240  -0.209 0.74           0.31           0.80            99.20         112.58        98.59          0.74        0.31        0.80         79.84          65.30          80.52           19.36         47.28         18.06          
2.13  -0.299 0.267  -0.211 0.80           0.07           0.80            86.08         35.46         86.08          0.86        0.31        0.86         69.13          7.30           69.15           16.95         28.16         16.93          
2.17  -0.306 0.308  -0.213 1.24           0.24           1.24            100.30        159.25        100.27         1.22        0.09        1.23         88.69          71.59          88.69           11.61         87.66         11.58          
2.20  -0.315 0.341  -0.219 1.04           0.31           1.06            103.94        144.94        103.74         1.01        0.18        1.03         90.05          90.31          90.05           13.89         54.63         13.69          
2.23  -0.327 0.364  -0.229 0.77           0.47           0.82            119.18        142.81        117.21         0.68        0.31        0.74         100.50         113.61         99.68           18.69         29.19         17.53          
2.27  -0.343 0.398  -0.242 1.13           0.60           1.20            113.91        139.60        112.53         1.06        0.44        1.13         101.44         118.20         100.72          12.47         21.40         11.81          
2.30  -0.346 0.410  -0.261 0.36           0.57           0.67            106.95        100.49        98.99          0.37        0.58        0.68         66.98          75.53          77.56           39.97         24.96         21.43          
2.33  -0.363 0.427  -0.283 0.72           0.83           0.98            133.70        126.84        120.52         0.58        0.71        0.88         115.44         110.45         106.35          18.27         16.39         14.17          
2.37  -0.367 0.433  -0.306 0.22           0.70           0.72            122.25        99.56         99.24          0.23        0.70        0.73         53.89          78.98          79.35           68.36         20.57         19.89          
2.40  -0.378 0.440  -0.321 0.42           0.58           0.62            149.38        128.11        125.43         0.24        0.47        0.51         116.97         103.29         102.09          32.41         24.82         23.34          
2.43  -0.379 0.431  -0.338 0.27           0.51           0.58            -92.78        91.45         91.28          0.36        0.56        0.62         -48.20         65.06          67.58           -44.57        26.38         23.70          
2.47  -0.390 0.428  -0.361 0.34           0.77           0.78            -164.74       115.10        114.92         0.12        0.70        0.71         -130.98        96.34          96.29           -33.75        18.76         18.63          
2.50  -0.399 0.432  -0.390 0.31           0.92           0.92            159.15        108.27        108.14         0.12        0.87        0.88         109.10         92.49          92.47           50.05         15.78         15.67          
2.53  -0.413 0.434  -0.401 0.41           0.51           0.52            171.44        141.16        140.67         0.16        0.36        0.36         158.19         115.04         114.66          13.25         26.12         26.01          
2.57  -0.436 0.448  -0.409 0.81           0.74           0.85            149.52        161.40        145.86         0.61        0.51        0.65         137.51         152.36         133.46          12.01         9.04          12.40          
2.60  -0.448 0.449  -0.434 0.37           0.84           0.85            172.89        116.05        116.00         0.13        0.77        0.77         159.03         99.04          99.02           13.86         17.01         16.98          
2.63  -0.469 0.453  -0.454 0.64           0.86           0.87            170.57        137.30        136.84         0.40        0.70        0.70         164.63         123.21         122.79          5.94          14.09         14.05          
2.67  -0.490 0.452  -0.469 0.62           0.77           0.78            -178.52       143.15        143.13         0.37        0.59        0.59         -177.52        128.53         128.51          -1.00         14.62         14.62          
2.70  -0.504 0.449  -0.479 0.43           0.52           0.53            -166.61       144.01        142.61         0.20        0.35        0.36         -149.49        119.08         117.86          -17.12        24.93         24.75          
2.73  -0.527 0.450  -0.489 0.68           0.74           0.74            176.78        156.81        156.64         0.43        0.52        0.52         174.92         145.89         145.66          1.86          10.93         10.98          
2.77  -0.541 0.443  -0.499 0.46           0.52           0.56            -153.38       143.20        138.00         0.27        0.35        0.41         -128.40        117.97         113.81          -24.98        25.23         24.19          
2.80  -0.560 0.454  -0.499 0.65           0.57           0.65            151.91        -177.82       151.85         0.44        0.32        0.44         136.52         -176.14        136.45          15.39         -1.69         15.40          
2.83  -0.574 0.471  -0.498 0.68           0.43           0.68            128.79        -179.39       128.78         0.56        0.18        0.56         108.42         -178.52        108.42          20.36         -0.86         20.36          
2.87  -0.585 0.488  -0.499 0.60           0.33           0.60            123.98        176.87        123.97         0.50        0.09        0.50         99.59          167.70         99.58           24.39         9.17          24.38          
2.90  -0.604 0.508  -0.489 0.81           0.63           0.87            133.11        -151.63       129.88         0.67        0.43        0.73         117.26         -135.54        114.69          15.85         -16.09        15.18          
2.93  -0.618 0.530  -0.491 0.79           0.43           0.79            122.97        171.60        122.85         0.68        0.19        0.69         105.09         160.44         105.02          17.88         11.16         17.82          
