time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.101 0.238  -0.058 
0.03  -1.092 0.221  -0.086 0.59           0.87           1.02            -62.83        71.98         74.64          0.74        0.98        1.11         -45.31         57.91          62.09           -17.52        14.07         12.54          
0.07  -1.080 0.203  -0.118 0.66           1.04           1.18            -55.66        69.10         71.56          0.83        1.16        1.28         -41.21         57.45          60.88           -14.45        11.65         10.69          
0.10  -1.061 0.194  -0.143 0.63           0.94           0.98            -24.97        52.39         54.05          0.86        1.11        1.14         -17.96         42.10          43.83           -7.01         10.29         10.22          
0.13  -1.043 0.190  -0.162 0.52           0.76           0.77            -10.99        47.20         47.66          0.77        0.95        0.95         -7.45          36.02          36.46           -3.54         11.18         11.20          
0.17  -1.021 0.199  -0.177 0.73           0.82           0.86            21.06         33.13         37.16          0.97        1.04        1.07         15.76          25.56          29.05           5.30          7.57          8.11           
0.20  -0.999 0.209  -0.186 0.72           0.71           0.77            23.86         22.56         31.25          0.96        0.95        0.99         17.78          16.77          23.76           6.07          5.79          7.49           
0.23  -0.971 0.220  -0.194 0.88           0.85           0.91            21.39         16.09         25.94          1.12        1.09        1.14         16.70          12.46          20.43           4.69          3.63          5.51           
0.27  -0.949 0.239  -0.195 0.89           0.68           0.89            40.89         4.45          41.01          1.09        0.92        1.09         32.27          3.24           32.38           8.62          1.20          8.63           
0.30  -0.924 0.273  -0.198 1.26           0.75           1.26            53.50         5.18          53.56          1.42        1.00        1.42         45.37          3.89           45.44           8.13          1.29          8.13           
0.33  -0.898 0.295  -0.204 1.01           0.79           1.03            40.99         13.41         42.02          1.21        1.03        1.23         33.22          10.19          34.19           7.77          3.22          7.84           
0.37  -0.878 0.326  -0.206 1.12           0.63           1.12            56.21         4.99          56.26          1.28        0.87        1.28         46.84          3.56           46.89           9.37          1.42          9.37           
0.40  -0.857 0.351  -0.204 0.96           0.62           0.96            49.73         -4.16         49.79          1.14        0.87        1.14         40.11          -2.97          40.17           9.62          -1.19         9.62           
0.43  -0.835 0.376  -0.202 1.00           0.67           1.00            48.69         -5.86         48.81          1.18        0.91        1.18         39.55          -4.26          39.67           9.14          -1.60         9.14           
0.47  -0.803 0.401  -0.186 1.20           1.06           1.30            38.59         -27.01        43.44          1.41        1.28        1.49         32.24          -21.94         36.81           6.35          -5.07         6.63           
0.50  -0.778 0.423  -0.171 1.03           0.89           1.12            41.15         -29.28        46.08          1.23        1.12        1.31         33.47          -23.00         38.16           7.67          -6.29         7.92           
0.53  -0.748 0.454  -0.152 1.28           1.05           1.40            46.56         -33.41        51.23          1.46        1.27        1.57         39.42          -27.19         44.11           7.13          -6.23         7.12           
0.57  -0.723 0.473  -0.129 0.93           1.03           1.17            36.42         -42.82        49.83          1.15        1.22        1.34         28.97          -34.82         41.64           7.44          -8.00         8.19           
0.60  -0.702 0.482  -0.105 0.70           0.95           0.99            22.99         -47.30        49.33          0.93        1.13        1.17         16.99          -37.97         39.97           6.00          -9.33         9.36           
0.63  -0.671 0.501  -0.090 1.08           1.02           1.17            32.72         -26.74        39.23          1.30        1.25        1.38         26.74          -21.56         32.63           5.97          -5.18         6.59           
0.67  -0.650 0.497  -0.048 0.65           1.41           1.42            -12.49        -63.14        63.28          0.90        1.54        1.55         -9.04          -54.80         54.97           -3.45         -8.33         8.31           
0.70  -0.627 0.488  -0.024 0.74           1.01           1.04            -19.68        -46.49        48.05          0.98        1.19        1.22         -14.73         -37.76         39.28           -4.95         -8.74         8.77           
0.73  -0.608 0.487  0.013  0.56           1.23           1.23            -2.72         -63.03        63.04          0.81        1.36        1.36         -1.88          -53.60         53.61           -0.84         -9.43         9.43           
0.77  -0.590 0.471  0.041  0.73           1.00           1.11            -42.00        -57.01        60.73          0.93        1.15        1.25         -31.66         -46.54         50.71           -10.34        -10.47        10.02          
0.80  -0.573 0.453  0.080  0.74           1.30           1.40            -46.57        -66.99        68.82          0.93        1.42        1.51         -35.29         -57.63         59.96           -11.28        -9.36         8.86           
0.83  -0.557 0.450  0.108  0.50           0.96           0.96            -11.14        -58.82        59.00          0.75        1.11        1.11         -7.45          -47.68         47.88           -3.68         -11.14        11.12          
0.87  -0.556 0.446  0.139  0.12           0.93           0.94            -79.44        -88.62        88.63          0.30        0.97        0.98         -23.87         -73.72         73.85           -55.57        -14.90        14.78          
0.90  -0.531 0.425  0.176  0.99           1.35           1.50            -40.67        -56.38        60.00          1.19        1.51        1.64         -32.79         -48.43         52.40           -7.88         -7.94         7.59           
0.93  -0.529 0.422  0.207  0.11           0.92           0.92            -43.70        -85.11        85.13          0.34        0.97        0.98         -12.85         -70.28         70.34           -30.85        -14.83        14.78          
0.97  -0.517 0.396  0.236  0.85           0.93           1.21            -65.82        -68.08        73.32          0.97        1.05        1.30         -52.29         -55.27         62.70           -13.54        -12.81        10.62          
1.00  -0.512 0.384  0.267  0.41           0.95           1.02            -68.11        -80.69        81.37          0.56        1.02        1.09         -43.40         -66.67         68.23           -24.70        -14.02        13.14          
1.03  -0.495 0.361  0.284  0.85           0.72           0.99            -54.15        -45.79        59.88          1.02        0.91        1.14         -42.67         -34.40         48.94           -11.48        -11.39        10.94          
1.07  -0.499 0.355  0.258  0.20           0.79           0.81            -122.64       97.68         97.52          0.22        0.80        0.81         -48.77         79.55          79.77           -73.87        18.13         17.75          
1.10  -0.485 0.336  0.232  0.69           0.87           1.03            -54.17        62.17         66.92          0.86        1.01        1.16         -40.59         49.52          55.44           -13.58        12.64         11.48          
1.13  -0.476 0.316  0.201  0.68           0.97           1.15            -65.72        73.30         75.98          0.81        1.07        1.23         -49.44         60.35          64.64           -16.28        12.95         11.33          
1.17  -0.478 0.299  0.160  0.50           1.24           1.34            -95.54        92.24         92.07          0.54        1.26        1.35         -68.05         80.78          81.44           -27.49        11.46         10.64          
1.20  -0.487 0.295  0.126  0.30           1.06           1.07            -157.02       105.23        105.13         0.12        1.02        1.03         -103.45        91.58          91.57           -53.57        13.64         13.56          
1.23  -0.477 0.299  0.076  0.30           1.52           1.52            19.47         79.11         79.13          0.55        1.59        1.59         10.71          70.21          70.25           8.77          8.90          8.88           
1.27  -0.478 0.304  0.038  0.15           1.15           1.16            97.54         90.98         90.97          0.27        1.17        1.18         32.87          78.69          78.78           64.67         12.29         12.19          
1.30  -0.483 0.318  -0.008 0.46           1.38           1.44            108.93        96.15         95.87          0.44        1.37        1.44         76.65          85.73          85.93           32.27         10.42         9.94           
1.33  -0.483 0.304  -0.054 0.41           1.37           1.43            -91.44        90.43         90.41          0.47        1.39        1.45         -59.56         80.06          80.47           -31.88        10.37         9.94           
1.37  -0.492 0.295  -0.101 0.37           1.43           1.46            -132.65       100.01        99.83          0.27        1.41        1.44         -89.75         89.95          89.95           -42.90        10.05         9.88           
1.40  -0.498 0.278  -0.141 0.57           1.21           1.32            -110.30       99.42         98.60          0.54        1.19        1.31         -84.45         87.50          87.72           -25.85        11.91         10.88          
1.43  -0.503 0.275  -0.184 0.16           1.32           1.33            -146.76       95.79         95.78          0.15        1.32        1.33         -36.92         84.95          84.96           -109.84       10.84         10.82          
1.47  -0.511 0.264  -0.229 0.42           1.37           1.41            -127.77       100.76        100.45         0.33        1.34        1.38         -90.93         90.23          90.22           -36.84        10.53         10.23          
1.50  -0.509 0.255  -0.268 0.25           1.15           1.18            -77.28        87.25         87.31          0.39        1.19        1.22         -38.73         75.16          75.47           -38.54        12.10         11.84          
1.53  -0.517 0.253  -0.316 0.25           1.47           1.47            -161.72       99.12         99.10          0.08        1.45        1.45         -77.55         89.33          89.33           -84.16        9.79          9.77           
1.57  -0.513 0.249  -0.351 0.16           1.07           1.07            -46.83        84.00         84.03          0.38        1.12        1.13         -18.22         71.18          71.29           -28.62        12.81         12.74          
1.60  -0.504 0.246  -0.387 0.28           1.11           1.11            -15.75        76.03         76.06          0.52        1.20        1.20         -8.31          64.34          64.39           -7.44         11.69         11.67          
1.63  -0.492 0.245  -0.432 0.37           1.38           1.38            -5.92         74.29         74.30          0.62        1.46        1.47         -3.55          64.83          64.84           -2.37         9.46          9.45           
1.67  -0.492 0.257  -0.473 0.36           1.23           1.28            89.56         89.87         89.88          0.44        1.26        1.31         54.59          78.41          78.85           34.96         11.46         11.02          
1.70  -0.483 0.246  -0.510 0.42           1.16           1.21            -52.29        77.20         77.70          0.61        1.24        1.28         -33.25         65.84          66.72           -19.05        11.35         10.98          
