time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.731 0.071  -0.338 
0.03  -0.738 0.095  -0.340 0.75           0.20           0.75            104.77        163.51        104.73         0.73        0.08        0.73         85.37          43.94          85.38           19.40         119.57        19.35          
0.07  -0.739 0.120  -0.329 0.75           0.32           0.82            93.45         -98.07        93.17          0.78        0.38        0.84         74.73          -57.28         75.90           18.71         -40.79        17.27          
0.10  -0.751 0.147  -0.317 0.90           0.50           0.97            112.97        -133.94       111.21         0.83        0.38        0.91         96.88          -105.34        96.30           16.09         -28.60        14.91          
0.13  -0.760 0.176  -0.310 0.90           0.37           0.93            108.84        -142.29       108.26         0.86        0.23        0.88         92.79          -100.46        92.70           16.05         -41.83        15.56          
0.17  -0.772 0.197  -0.300 0.74           0.46           0.79            119.37        -141.50       117.19         0.65        0.31        0.71         99.88          -111.26        99.03           19.49         -30.24        18.15          
0.20  -0.780 0.221  -0.287 0.75           0.45           0.85            106.50        -117.96       104.50         0.72        0.40        0.82         87.04          -84.70         87.41           19.46         -33.27        17.09          
0.23  -0.790 0.238  -0.279 0.60           0.41           0.65            122.29        -142.10       119.55         0.52        0.26        0.57         98.08          -106.11        97.26           24.20         -35.99        22.29          
0.27  -0.798 0.256  -0.272 0.58           0.29           0.61            112.69        -140.40       111.56         0.54        0.19        0.57         87.32          -82.29         87.47           25.37         -58.11        24.10          
0.30  -0.798 0.257  -0.263 0.02           0.28           0.28            153.04        -93.97        93.97          0.23        0.36        0.36         2.41           -50.04         50.05           150.63        -43.93        43.91          
0.33  -0.786 0.265  -0.274 0.44           0.49           0.55            35.36         41.90         48.84          0.66        0.69        0.74         22.75          27.94          34.07           12.61         13.96         14.78          
0.37  -0.780 0.281  -0.269 0.50           0.25           0.52            66.02         -34.65        66.97          0.65        0.48        0.66         45.37          -17.30         46.67           20.64         -17.35        20.30          
0.40  -0.765 0.287  -0.269 0.48           0.44           0.48            24.57         -2.41         24.66          0.72        0.69        0.72         16.24          -1.54          16.31           8.33          -0.87         8.36           
0.43  -0.745 0.286  -0.268 0.60           0.60           0.60            -4.50         -2.10         4.97           0.85        0.85        0.85         -3.18          -1.48          3.51            -1.32         -0.62         1.46           
0.47  -0.723 0.282  -0.276 0.66           0.69           0.70            -9.67         20.39         22.24          0.91        0.93        0.94         -7.01          15.02          16.45           -2.66         5.37          5.79           
0.50  -0.703 0.282  -0.281 0.60           0.62           0.62            0.86          12.94         12.97          0.85        0.87        0.87         0.61           9.23           9.25            0.25          3.71          3.72           
0.53  -0.687 0.289  -0.290 0.54           0.57           0.60            22.26         28.99         34.57          0.78        0.80        0.82         15.24          20.25          24.64           7.02          8.74          9.93           
0.57  -0.672 0.300  -0.296 0.55           0.49           0.59            36.73         24.40         41.13          0.77        0.72        0.80         25.53          16.19          29.20           11.20         8.21          11.93          
0.60  -0.658 0.310  -0.302 0.51           0.46           0.54            34.23         22.83         38.67          0.73        0.69        0.75         23.11          14.79          26.64           11.13         8.04          12.02          
0.63  -0.645 0.314  -0.303 0.40           0.39           0.40            17.14         5.02          17.78          0.64        0.63        0.65         10.58          3.04           10.99           6.56          1.97          6.79           
0.67  -0.630 0.315  -0.307 0.45           0.45           0.46            6.87          13.81         15.31          0.69        0.70        0.70         4.40           8.92           9.92            2.47          4.89          5.39           
0.70  -0.618 0.320  -0.309 0.38           0.36           0.38            20.00         6.93          20.99          0.62        0.61        0.62         12.05          4.08           12.69           7.95          2.85          8.30           
0.73  -0.607 0.336  -0.310 0.60           0.34           0.61            56.30         5.97          56.36          0.77        0.59        0.77         40.66          3.43           40.73           15.64         2.54          15.63          
0.77  -0.591 0.343  -0.302 0.53           0.54           0.57            20.20         -24.28        30.20          0.77        0.78        0.80         13.74          -16.69         21.15           6.45          -7.59         9.05           
0.80  -0.578 0.358  -0.293 0.58           0.47           0.65            50.67         -37.77        55.32          0.77        0.68        0.82         36.04          -24.80         40.76           14.62         -12.97        14.56          
0.83  -0.567 0.363  -0.290 0.36           0.34           0.37            24.38         -14.82        27.69          0.60        0.59        0.60         14.44          -8.55          16.61           9.94          -6.27         11.08          
0.87  -0.554 0.367  -0.281 0.42           0.47           0.50            20.00         -32.72        36.45          0.67        0.70        0.71         12.62          -21.56         24.42           7.39          -11.17        12.03          
0.90  -0.541 0.374  -0.277 0.43           0.40           0.45            29.28         -16.91        32.54          0.66        0.64        0.67         18.67          -10.38         21.03           10.61         -6.53         11.51          
0.93  -0.541 0.375  -0.270 0.01           0.23           0.23            73.69         -88.96        88.97          0.25        0.34        0.34         3.21           -42.23         42.29           70.48         -46.73        46.68          
0.97  -0.537 0.375  -0.253 0.13           0.52           0.52            -3.69         -75.40        75.40          0.38        0.63        0.63         -1.27          -52.89         52.90           -2.42         -22.51        22.50          
1.00  -0.528 0.372  -0.238 0.27           0.52           0.53            -17.06        -60.46        60.82          0.51        0.68        0.68         -8.84          -41.79         42.22           -8.22         -18.66        18.60          
1.03  -0.530 0.381  -0.211 0.28           0.81           0.85            97.94         -92.74        92.59          0.35        0.83        0.88         52.64          -75.32         76.08           45.29         -17.42        16.51          
1.07  -0.522 0.383  -0.185 0.23           0.82           0.82            13.55         -74.18        74.22          0.48        0.92        0.92         6.50           -59.07         59.13           7.05          -15.11        15.09          
