time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.015 0.195  -0.155 
0.03  -1.002 0.188  -0.188 0.44           1.05           1.07            -28.79        68.57         69.01          0.67        1.17        1.19         -18.41         57.06          57.65           -10.38        11.51         11.36          
0.07  -0.973 0.178  -0.225 0.90           1.40           1.43            -17.88        52.25         53.09          1.14        1.57        1.59         -14.04         45.02          45.88           -3.85         7.24          7.20           
0.10  -0.955 0.165  -0.263 0.68           1.28           1.34            -37.25        64.98         66.26          0.89        1.40        1.46         -27.45         55.67          57.23           -9.79         9.31          9.03           
0.13  -0.926 0.157  -0.294 0.90           1.27           1.29            -14.97        46.62         47.51          1.15        1.46        1.47         -11.75         39.45          40.32           -3.23         7.17          7.18           
0.17  -0.895 0.154  -0.329 0.95           1.41           1.41            -5.55         47.55         47.66          1.20        1.59        1.59         -4.40          40.88          40.99           -1.15         6.67          6.67           
0.20  -0.856 0.157  -0.359 1.15           1.47           1.47            4.37          38.58         38.70          1.40        1.67        1.67         3.59           33.22          33.34           0.78          5.35          5.36           
0.23  -0.820 0.170  -0.379 1.15           1.23           1.29            20.81         28.78         33.74          1.39        1.45        1.51         17.14          24.02          28.46           3.67          4.76          5.29           
0.27  -0.776 0.191  -0.392 1.47           1.39           1.52            24.74         16.28         28.61          1.70        1.63        1.74         21.21          13.81          24.67           3.53          2.46          3.94           
0.30  -0.738 0.214  -0.394 1.33           1.13           1.33            32.02         3.02          32.11          1.55        1.38        1.55         27.10          2.47           27.18           4.92          0.55          4.93           
0.33  -0.711 0.243  -0.383 1.19           0.89           1.23            46.02         -20.73        47.81          1.38        1.12        1.41         38.53          -16.21         40.29           7.50          -4.52         7.53           
0.37  -0.679 0.266  -0.361 1.19           1.18           1.37            35.70         -34.91        45.05          1.40        1.39        1.55         29.72          -29.00         38.51           5.98          -5.91         6.54           
0.40  -0.648 0.290  -0.335 1.18           1.21           1.41            38.17         -40.25        49.12          1.38        1.41        1.59         31.75          -33.68         42.29           6.42          -6.57         6.83           
0.43  -0.630 0.295  -0.300 0.54           1.17           1.18            13.59         -63.12        63.29          0.79        1.30        1.31         9.32           -53.25         53.46           4.27          -9.87         9.83           
0.47  -0.615 0.310  -0.268 0.64           1.07           1.16            44.61         -64.81        66.89          0.84        1.20        1.28         32.53          -53.96         56.57           12.08         -10.85        10.32          
0.50  -0.602 0.317  -0.225 0.44           1.33           1.35            30.47         -73.37        73.61          0.67        1.42        1.44         19.55          -63.67         64.02           10.92         -9.70         9.59           
0.53  -0.592 0.310  -0.187 0.37           1.20           1.22            -34.05        -75.32        75.54          0.59        1.29        1.30         -20.35         -64.49         64.83           -13.70        -10.83        10.70          
0.57  -0.586 0.315  -0.155 0.22           0.96           0.96            38.54         -79.59        79.70          0.44        1.03        1.04         18.02          -65.78         66.00           20.52         -13.81        13.69          
0.60  -0.566 0.288  -0.115 1.00           1.34           1.56            -52.83        -63.28        67.25          1.17        1.47        1.67         -43.00         -54.54         59.32           -9.83         -8.73         7.92           
0.63  -0.551 0.268  -0.068 0.76           1.49           1.62            -53.70        -72.51        73.85          0.93        1.59        1.70         -41.18         -63.87         65.74           -12.52        -8.64         8.11           
0.67  -0.533 0.259  -0.016 0.62           1.65           1.67            -26.02        -70.25        70.53          0.85        1.75        1.77         -18.61         -62.51         62.86           -7.41         -7.74         7.67           
0.70  -0.506 0.243  0.038  0.94           1.81           1.88            -31.11        -63.57        64.54          1.16        1.94        2.00         -24.73         -56.93         58.05           -6.38         -6.64         6.49           
0.73  -0.499 0.255  0.088  0.42           1.51           1.56            62.02         -82.47        82.69          0.58        1.57        1.61         39.80          -73.37         73.84           22.22         -9.10         8.85           
0.77  -0.488 0.262  0.127  0.38           1.21           1.22            31.75         -74.30        74.53          0.61        1.30        1.31         19.31          -63.60         63.94           12.44         -10.70        10.58          
0.80  -0.476 0.281  0.156  0.67           0.95           1.10            57.53         -67.83        71.06          0.83        1.07        1.21         42.78          -55.30         59.76           14.76         -12.52        11.30          
0.83  -0.468 0.293  0.177  0.44           0.67           0.76            53.97         -67.26        70.04          0.62        0.80        0.88         35.05          -50.59         54.55           18.92         -16.66        15.48          
0.87  -0.443 0.320  0.204  1.11           1.11           1.38            47.47         -47.43        57.01          1.29        1.29        1.53         39.28          -39.24         49.13           8.19          -8.19         7.88           
0.90  -0.430 0.365  0.221  1.42           0.64           1.51            73.95         -52.10        74.90          1.51        0.82        1.59         64.79          -38.12         66.17           9.17          -13.98        8.73           
0.93  -0.413 0.399  0.213  1.14           0.57           1.17            63.39         24.97         64.00          1.28        0.80        1.30         53.31          17.38          54.03           10.08         7.59          9.96           
0.97  -0.418 0.439  0.189  1.19           0.72           1.38            97.49         102.47        96.45          1.18        0.71        1.38         85.41          82.31          86.05           12.08         20.16         10.40          
1.00  -0.403 0.452  0.178  0.58           0.55           0.67            41.40         37.28         49.36          0.78        0.76        0.85         29.23          25.78          36.47           12.17         11.50         12.88          
1.03  -0.393 0.471  0.161  0.66           0.61           0.85            61.28         58.60         67.82          0.81        0.77        0.97         45.67          42.59          53.99           15.61         16.02         13.83          
1.07  -0.388 0.488  0.137  0.53           0.73           0.89            75.15         79.29         81.24          0.64        0.81        0.96         52.94          61.69          66.32           22.20         17.60         14.92          
1.10  -0.371 0.487  0.104  0.51           1.12           1.12            -4.23         62.81         62.82          0.76        1.26        1.26         -2.84          52.61          52.63           -1.38         10.20         10.19          
1.13  -0.360 0.490  0.077  0.34           0.87           0.88            17.78         68.51         68.67          0.58        0.99        1.00         10.21          54.97          55.19           7.57          13.54         13.48          
