time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.092 0.424  -0.318 
0.03  -1.090 0.392  -0.343 0.98           0.76           1.24            -87.55        86.85         88.06          1.02        0.81        1.27         -73.38         69.01          76.74           -14.17        17.84         11.32          
0.07  -1.084 0.371  -0.383 0.66           1.20           1.36            -73.69        81.11         82.14          0.77        1.27        1.42         -55.55         69.85          72.07           -18.14        11.25         10.07          
0.10  -1.073 0.352  -0.414 0.65           1.00           1.14            -58.44        70.10         72.68          0.81        1.11        1.24         -43.19         57.88          61.59           -15.25        12.22         11.08          
0.13  -1.066 0.323  -0.441 0.90           0.83           1.21            -76.63        75.43         80.05          0.99        0.92        1.27         -62.41         60.26          68.91           -14.22        15.18         11.14          
0.17  -1.052 0.286  -0.462 1.17           0.77           1.34            -69.04        56.84         71.71          1.28        0.93        1.44         -58.56         43.81          62.20           -10.47        13.03         9.51           
0.20  -1.033 0.261  -0.479 0.94           0.75           1.07            -53.27        41.60         58.12          1.11        0.96        1.22         -42.88         31.60          48.09           -10.39        10.00         10.03          
0.23  -1.007 0.235  -0.488 1.11           0.83           1.14            -44.54        18.14         46.05          1.30        1.07        1.33         -36.79         13.98          38.25           -7.75         4.16          7.80           
0.27  -0.975 0.217  -0.495 1.11           0.98           1.13            -30.25        12.80         32.04          1.33        1.23        1.35         -24.82         10.22          26.40           -5.42         2.58          5.64           
0.30  -0.940 0.206  -0.506 1.08           1.09           1.14            -17.62        18.50         24.76          1.32        1.33        1.37         -14.34         15.07          20.37           -3.28         3.43          4.39           
0.33  -0.907 0.207  -0.522 1.01           1.11           1.11            2.13          24.65         24.72          1.26        1.34        1.34         1.70           20.19          20.25           0.42          4.46          4.47           
0.37  -0.881 0.209  -0.528 0.77           0.80           0.80            3.84          14.73         15.18          1.02        1.04        1.04         2.90           11.23          11.58           0.94          3.50          3.60           
0.40  -0.000 0.000  -0.000 27.16          30.82          31.45           -13.33        -30.96        32.83          27.40       31.03       31.66        -13.21         -30.73         32.58           -0.12         -0.24         0.25           
0.43  -0.796 0.226  -0.556 24.83          29.13          29.91           164.13        145.10        143.01         24.59       28.92       29.71        163.98         144.81         142.72          0.16          0.28          0.29           
