time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.329 0.335  -0.510 
0.03  -1.322 0.328  -0.471 0.27           1.20           1.21            -45.08        -80.74        80.86          0.48        1.26        1.28         -23.58         -69.46         69.71           -21.51        -11.28        11.15          
0.07  -1.317 0.328  -0.436 0.17           1.05           1.05            -6.47         -80.75        80.76          0.42        1.11        1.11         -2.61          -67.96         67.97           -3.86         -12.79        12.79          
0.10  -1.311 0.327  -0.406 0.17           0.93           0.93            -2.06         -79.21        79.21          0.42        1.01        1.01         -0.85          -65.10         65.10           -1.21         -14.11        14.11          
0.13  -1.299 0.322  -0.379 0.40           0.90           0.92            -24.59        -65.98        66.42          0.64        1.03        1.04         -15.22         -53.14         53.70           -9.37         -12.84        12.71          
0.17  -1.274 0.316  -0.357 0.77           0.99           1.00            -12.18        -40.27        41.17          1.02        1.19        1.20         -9.21          -32.48         33.30           -2.97         -7.80         7.87           
0.20  -1.257 0.312  -0.349 0.53           0.57           0.59            -14.44        -26.12        28.98          0.78        0.81        0.82         -9.83          -18.26         20.44           -4.61         -7.86         8.54           
0.23  -1.228 0.317  -0.347 0.88           0.87           0.88            9.39          -2.91         9.82           1.13        1.12        1.13         7.32           -2.26          7.65            2.08          -0.65         2.17           
0.27  -1.205 0.327  -0.351 0.76           0.70           0.77            24.60         9.51          25.99          0.99        0.95        1.00         18.57          7.01           19.68           6.03          2.50          6.31           
0.30  -1.181 0.330  -0.360 0.72           0.77           0.77            7.37          20.66         21.74          0.97        1.00        1.01         5.48           15.62          16.47           1.89          5.04          5.27           
0.33  -1.155 0.333  -0.378 0.79           0.94           0.95            6.42          33.98         34.34          1.04        1.16        1.16         4.88           27.05          27.37           1.55          6.93          6.97           
0.37  -1.120 0.339  -0.401 1.05           1.24           1.25            10.19         33.63         34.57          1.29        1.45        1.46         8.23           28.16          29.01           1.96          5.47          5.56           
0.40  -1.095 0.332  -0.417 0.78           0.89           0.92            -16.26        33.07         35.51          1.02        1.11        1.13         -12.33         26.02          28.14           -3.92         7.05          7.36           
0.43  -1.075 0.319  -0.432 0.74           0.77           0.87            -32.76        35.92         44.10          0.96        0.98        1.06         -24.66         27.34          34.66           -8.10         8.59          9.44           
0.47  -1.045 0.297  -0.446 1.10           0.99           1.19            -36.06        26.03         41.24          1.31        1.22        1.38         -29.63         20.89          34.41           -6.43         5.15          6.84           
0.50  -1.023 0.273  -0.460 0.98           0.78           1.05            -46.76        30.65         50.60          1.16        1.00        1.23         -37.75         23.34          41.55           -9.01         7.31          9.04           
0.53  -0.995 0.239  -0.462 1.31           0.82           1.32            -51.48        5.04          51.55          1.48        1.07        1.48         -43.90         3.87           43.97           -7.58         1.18          7.58           
0.57  -0.967 0.212  -0.452 1.19           0.90           1.22            -44.05        -19.27        45.81          1.38        1.14        1.41         -36.80         -15.13         38.50           -7.25         -4.14         7.31           
0.60  -0.930 0.188  -0.440 1.30           1.15           1.35            -32.96        -17.98        35.95          1.52        1.39        1.56         -27.82         -14.80         30.55           -5.14         -3.19         5.40           
0.63  -0.896 0.179  -0.419 1.08           1.23           1.26            -14.29        -31.69        33.74          1.32        1.45        1.47         -11.61         -26.49         28.33           -2.67         -5.20         5.41           
0.67  -0.856 0.167  -0.397 1.23           1.35           1.40            -17.06        -29.46        32.73          1.47        1.57        1.61         -14.20         -24.97         27.92           -2.86         -4.49         4.81           
0.70  -0.816 0.153  -0.371 1.27           1.43           1.50            -19.48        -33.10        36.56          1.51        1.65        1.70         -16.32         -28.35         31.55           -3.16         -4.75         5.02           
0.73  -0.783 0.136  -0.345 1.13           1.26           1.36            -26.73        -37.05        42.22          1.36        1.47        1.55         -21.98         -31.17         36.02           -4.76         -5.88         6.20           
0.77  -0.740 0.126  -0.315 1.31           1.56           1.59            -12.67        -35.28        36.59          1.55        1.77        1.80         -10.65         -30.61         31.83           -2.02         -4.67         4.76           
0.80  -0.710 0.132  -0.283 0.93           1.33           1.34            9.70          -46.78        47.15          1.17        1.52        1.52         7.64           -39.88         40.24           2.05          -6.90         6.90           
0.83  -0.689 0.137  -0.244 0.65           1.32           1.33            15.30         -61.95        62.20          0.89        1.46        1.47         11.05          -53.25         53.53           4.26          -8.70         8.66           
0.87  -0.656 0.139  -0.198 0.99           1.70           1.70            2.36          -54.46        54.47          1.24        1.86        1.86         1.88           -48.17         48.18           0.48          -6.29         6.29           
0.90  -0.637 0.141  -0.150 0.58           1.55           1.55            8.18          -68.17        68.20          0.83        1.66        1.66         5.72           -60.13         60.17           2.45          -8.04         8.03           
0.93  -0.623 0.149  -0.102 0.48           1.49           1.50            27.71         -73.25        73.45          0.71        1.58        1.59         18.35          -64.52         64.79           9.36          -8.73         8.65           
0.97  -0.600 0.171  -0.071 0.94           1.16           1.33            43.14         -53.51        58.70          1.14        1.32        1.47         34.52          -44.77         50.36           8.63          -8.74         8.34           
1.00  -0.584 0.189  -0.039 0.73           1.08           1.22            50.24         -64.23        67.33          0.92        1.21        1.34         38.12          -53.51         57.39           12.12         -10.72        9.94           
1.03  -0.564 0.199  -0.006 0.66           1.14           1.17            25.72         -58.65        59.69          0.89        1.29        1.32         18.72          -49.10         50.27           7.00          -9.55         9.42           
1.07  -0.552 0.217  0.002  0.65           0.44           0.69            56.54         -35.13        59.07          0.81        0.66        0.85         41.66          -22.47         44.46           14.88         -12.66        14.61          
1.10  -0.535 0.248  0.025  1.06           0.85           1.26            60.92         -52.78        65.83          1.20        1.02        1.38         50.43          -41.54         56.31           10.48         -11.23        9.52           
1.13  -0.531 0.282  0.033  1.05           0.28           1.08            82.91         -62.08        83.10          1.11        0.45        1.13         69.95          -32.74         70.44           12.96         -29.34        12.66          
1.17  -0.535 0.316  0.015  1.01           0.55           1.15            97.79         104.47        96.89          1.01        0.54        1.14         83.61          78.06          84.34           14.19         26.41         12.55          
1.20  -0.536 0.332  -0.005 0.49           0.59           0.76            93.10         92.57         91.98          0.54        0.63        0.80         65.36          69.18          73.68           27.74         23.38         18.29          
1.23  -0.544 0.354  -0.040 0.69           1.08           1.26            110.34        102.90        101.03         0.65        1.05        1.23         89.14          89.47          89.55           21.20         13.43         11.48          
1.27  -0.576 0.372  -0.073 1.09           1.38           1.48            150.60        133.46        129.89         0.88        1.22        1.33         142.59         124.92         121.63          8.01          8.54          8.26           
1.30  -0.597 0.382  -0.101 0.70           1.04           1.09            153.83        127.08        125.31         0.49        0.91        0.96         140.75         114.44         113.08          13.08         12.63         12.23          
1.33  -0.630 0.387  -0.144 1.00           1.64           1.65            171.39        127.14        126.96         0.76        1.51        1.51         168.56         119.54         119.38          2.83          7.60          7.58           
