time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.746 0.025  -0.099 
0.03  -0.735 0.031  -0.120 0.38           0.71           0.74            31.25         62.57         63.67          0.61        0.86        0.88         19.02          47.59          48.93           12.23         14.99         14.73          
0.07  -0.717 0.034  -0.140 0.53           0.81           0.81            8.34          49.03         49.25          0.78        0.99        0.99         5.69           38.01          38.24           2.66          11.01         11.02          
0.10  -0.701 0.043  -0.164 0.56           0.87           0.91            30.46         55.98         57.89          0.79        1.03        1.07         21.22          44.37          46.47           9.23          11.60         11.43          
0.13  -0.691 0.063  -0.191 0.65           0.84           1.03            64.12         70.12         73.83          0.80        0.95        1.12         47.70          55.86          61.46           16.42         14.27         12.37          
0.17  -0.675 0.075  -0.208 0.60           0.70           0.79            37.70         47.64         53.30          0.81        0.89        0.96         26.85          35.68          41.30           10.85         11.95         12.00          
0.20  -0.669 0.092  -0.225 0.54           0.55           0.74            67.58         67.82         73.83          0.68        0.68        0.85         47.63          47.97          57.33           19.95         19.85         16.49          
0.23  -0.652 0.107  -0.249 0.66           0.89           0.99            41.81         56.20         60.13          0.87        1.05        1.14         30.73          44.79          49.16           11.08         11.41         10.96          
0.27  -0.636 0.115  -0.255 0.55           0.52           0.58            28.39         19.72         32.96          0.78        0.76        0.80         19.66          13.33          23.20           8.73          6.39          9.76           
0.30  -0.625 0.121  -0.269 0.37           0.52           0.55            27.33         50.97         53.22          0.60        0.71        0.73         16.38          35.05          37.26           10.95         15.92         15.96          
0.33  -0.606 0.124  -0.270 0.56           0.56           0.56            7.65          4.61          8.90           0.81        0.81        0.81         5.29           3.18           6.16            2.36          1.43          2.74           
0.37  -0.591 0.129  -0.275 0.49           0.48           0.51            19.27         17.41         25.16          0.73        0.72        0.74         12.76          11.48          16.92           6.51          5.93          8.24           
0.40  -0.574 0.136  -0.279 0.56           0.53           0.58            22.98         12.72         25.66          0.80        0.78        0.81         15.98          8.67           17.97           7.01          4.06          7.69           
0.43  -0.568 0.135  -0.266 0.18           0.42           0.42            -9.07         -64.79        64.85          0.43        0.57        0.57         -3.81          -41.51         41.59           -5.27         -23.28        23.26          
0.47  -0.553 0.130  -0.252 0.46           0.62           0.63            -18.46        -44.84        46.37          0.70        0.81        0.82         -11.98         -32.30         33.70           -6.48         -12.54        12.67          
0.50  -0.544 0.124  -0.240 0.34           0.44           0.48            -33.18        -50.55        54.07          0.56        0.63        0.66         -19.10         -32.77         36.16           -14.08        -17.78        17.91          
0.53  -0.529 0.115  -0.234 0.53           0.48           0.56            -32.58        -22.61        37.33          0.75        0.72        0.78         -22.28         -14.95         26.06           -10.30        -7.66         11.27          
0.57  -0.513 0.105  -0.224 0.55           0.55           0.63            -32.16        -32.83        42.02          0.77        0.78        0.83         -22.25         -22.77         30.37           -9.92         -10.07        11.65          
0.60  -0.490 0.082  -0.213 0.98           0.78           1.03            -44.21        -25.25        47.23          1.17        1.01        1.22         -35.65         -19.17         38.55           -8.56         -6.08         8.67           
0.63  -0.466 0.077  -0.207 0.73           0.73           0.75            -12.31        -14.67        18.82          0.97        0.98        0.99         -9.17          -10.96         14.15           -3.14         -3.71         4.67           
0.67  -0.434 0.072  -0.205 0.97           0.96           0.97            -8.45         -3.81         9.25           1.22        1.21        1.22         -6.72          -3.03          7.36            -1.72         -0.78         1.88           
0.70  -0.410 0.076  -0.208 0.73           0.73           0.74            9.81          6.48          11.69          0.98        0.98        0.98         7.32           4.82           8.74            2.49          1.66          2.95           
0.73  -0.388 0.091  -0.215 0.78           0.70           0.81            32.79         19.46         36.31          1.00        0.93        1.03         25.01          14.35          28.01           7.79          5.11          8.30           
0.77  -0.355 0.093  -0.221 1.01           1.02           1.02            3.96          9.12          9.92           1.26        1.27        1.27         3.17           7.33           7.97            0.79          1.79          1.95           
0.80  -0.339 0.121  -0.229 0.96           0.54           0.99            60.62         28.61         61.71          1.10        0.76        1.13         49.22          19.60          50.49           11.40         9.01          11.22          
0.83  -0.322 0.129  -0.241 0.57           0.61           0.66            27.42         33.74         40.22          0.80        0.83        0.87         19.14          24.08          29.50           8.28          9.66          10.72          
0.87  -0.308 0.146  -0.252 0.66           0.55           0.74            49.07         37.91         54.30          0.85        0.76        0.91         36.20          26.29          41.44           12.88         11.62         12.86          
0.90  -0.282 0.152  -0.252 0.78           0.76           0.78            12.26         1.37          12.33          1.02        1.01        1.02         9.28           1.03           9.34            2.97          0.34          2.99           
0.93  -0.277 0.178  -0.251 0.81           0.18           0.81            77.85         -17.28        77.88          0.90        0.42        0.90         62.04          -7.19          62.09           15.82         -10.09        15.79          
0.97  -0.270 0.197  -0.234 0.60           0.54           0.78            71.22         -69.11        75.76          0.72        0.67        0.87         51.93          -48.68         59.68           19.30         -20.43        16.08          
1.00  -0.259 0.210  -0.222 0.53           0.49           0.64            49.96         -45.09        57.28          0.72        0.69        0.80         34.55          -30.14         42.01           15.40         -14.95        15.27          
1.03  -0.240 0.221  -0.207 0.66           0.74           0.81            28.94         -38.62        44.17          0.89        0.95        1.00         21.12          -29.16         34.16           7.82          -9.46         10.01          
1.07  -0.234 0.238  -0.195 0.53           0.41           0.65            71.81         -65.83        75.15          0.66        0.56        0.76         50.62          -41.73         56.49           21.19         -24.10        18.67          
1.10  -0.222 0.252  -0.183 0.54           0.49           0.64            48.44         -42.97        55.64          0.73        0.69        0.80         33.60          -28.76         40.75           14.84         -14.21        14.89          
1.13  -0.207 0.265  -0.185 0.62           0.47           0.63            41.06         6.38          41.29          0.83        0.72        0.83         29.61          4.17           29.82           11.44         2.21          11.47          
1.17  -0.206 0.278  -0.195 0.38           0.29           0.48            87.63         86.84         88.11          0.46        0.39        0.55         55.10          47.07          60.83           32.54         39.77         27.27          
1.20  -0.186 0.262  -0.187 0.77           0.64           0.80            -38.67        -20.13        41.36          0.97        0.88        1.00         -29.44         -14.49         31.83           -9.23         -5.64         9.53           
1.23  -0.175 0.263  -0.186 0.32           0.32           0.32            5.45          -7.14         8.95           0.57        0.57        0.57         3.05           -4.01          5.03            2.39          -3.14         3.92           
1.27  -0.163 0.264  -0.191 0.37           0.39           0.40            5.68          21.84         22.43          0.62        0.63        0.63         3.38           13.40          13.79           2.30          8.44          8.64           
1.30  -0.154 0.271  -0.195 0.36           0.31           0.38            37.11         24.35         41.40          0.58        0.55        0.59         21.91          13.53          25.11           15.20         10.83         16.29          
1.33  -0.138 0.264  -0.192 0.50           0.47           0.51            -24.06        -11.03        25.97          0.74        0.72        0.74         -16.13         -7.19          17.51           -7.93         -3.84         8.46           
1.37  -0.128 0.260  -0.182 0.34           0.43           0.45            -22.52        -43.00        45.58          0.58        0.64        0.65         -13.04         -27.52         29.70           -9.47         -15.47        15.88          
1.40  -0.114 0.258  -0.192 0.42           0.51           0.51            -7.86         34.78         35.30          0.67        0.72        0.73         -4.93          23.44          23.84           -2.94         11.35         11.46          
1.43  -0.109 0.281  -0.197 0.70           0.21           0.71            77.18         43.65         77.46          0.79        0.43        0.80         59.21          20.01          59.78           17.98         23.64         17.68          
1.47  -0.111 0.299  -0.226 0.55           0.86           1.02            96.71         94.28         93.62          0.58        0.88        1.04         71.34          77.87          79.72           25.37         16.42         13.90          
1.50  -0.100 0.308  -0.243 0.44           0.63           0.69            38.43         57.03         60.02          0.66        0.80        0.84         24.72          41.81          45.17           13.71         15.22         14.86          
1.53  -0.099 0.326  -0.263 0.54           0.58           0.79            88.40         88.49         88.90          0.60        0.64        0.84         63.98          65.37          71.52           24.42         23.13         17.38          
1.57  -0.092 0.344  -0.264 0.56           0.21           0.57            69.04         14.12         69.13          0.69        0.45        0.70         49.38          6.41           49.51           19.66         7.71          19.62          
1.60  -0.075 0.350  -0.280 0.55           0.70           0.72            20.17         42.31         44.47          0.79        0.90        0.92         13.88          31.48          33.44           6.29          10.83         11.03          
1.63  -0.064 0.360  -0.284 0.44           0.36           0.46            40.67         20.99         43.26          0.65        0.60        0.67         26.24          12.41          28.36           14.43         8.58          14.89          
1.67  -0.042 0.355  -0.286 0.68           0.66           0.68            -11.88        3.66          12.40          0.92        0.91        0.92         -8.68          2.66           9.06            -3.20         1.00          3.34           
1.70  -0.031 0.354  -0.291 0.32           0.36           0.36            -5.75         28.52         28.93          0.57        0.59        0.59         -3.22          16.90          17.17           -2.53         11.63         11.76          
1.73  -0.007 0.338  -0.295 0.88           0.74           0.88            -32.97        7.16          33.46          1.10        0.99        1.10         -25.84         5.36           26.25           -7.14         1.80          7.20           
1.77  0.006  0.320  -0.293 0.66           0.39           0.66            -53.68        -7.76         53.82          0.83        0.64        0.84         -39.70         -4.75          39.84           -13.98        -3.01         13.98          
1.80  0.026  0.305  -0.281 0.77           0.71           0.85            -37.77        -31.00        44.43          0.98        0.93        1.04         -28.76         -23.06         34.78           -9.01         -7.94         9.65           
1.83  0.033  0.293  -0.260 0.41           0.66           0.75            -60.83        -72.46        74.62          0.57        0.77        0.85         -38.37         -54.43         58.10           -22.46        -18.03        16.52          
1.87  0.048  0.275  -0.255 0.71           0.49           0.73            -49.43        -18.07        50.49          0.90        0.73        0.91         -37.19         -11.97         38.23           -12.24        -6.10         12.26          
1.90  0.058  0.279  -0.234 0.32           0.69           0.70            25.54         -65.49        65.99          0.55        0.82        0.83         14.27          -49.42         50.08           11.27         -16.07        15.91          
1.93  -0.000 0.000  -0.000 8.56           7.23           11.07           -101.71       -103.91       99.03          8.51        7.17        11.03        -100.06        -101.97        97.75           -1.65         -1.94         1.28           
1.97  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
2.00  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
2.03  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
2.07  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
2.10  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
2.13  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
2.17  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
2.20  0.101  0.191  -0.292 6.48           9.27           10.90           62.25         71.00         73.93          6.60        9.35        10.97        60.33          69.55          72.67           1.92          1.45          1.25           
