time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.255 0.292  -0.377 
0.03  -1.229 0.293  -0.372 0.79           0.81           0.81            2.01          -10.48        10.66          1.04        1.05        1.05         1.53           -8.01          8.15            0.48          -2.48         2.52           
0.07  -1.202 0.299  -0.369 0.83           0.81           0.83            11.67         -7.02         13.52          1.07        1.06        1.08         8.97           -5.37          10.41           2.71          -1.65         3.11           
0.10  -1.178 0.304  -0.361 0.72           0.74           0.76            13.06         -19.35        22.82          0.96        0.98        0.99         9.69           -14.49         17.21           3.37          -4.86         5.61           
0.13  -1.149 0.310  -0.366 0.90           0.90           0.92            10.65         9.18          13.92          1.15        1.15        1.16         8.35           7.19           10.95           2.30          1.99          2.97           
0.17  -1.116 0.317  -0.365 0.99           0.97           0.99            12.84         -0.89         12.87          1.24        1.22        1.24         10.27          -0.70          10.29           2.57          -0.18         2.58           
0.20  -1.078 0.311  -0.364 1.16           1.14           1.16            -9.57         -1.70         9.72           1.40        1.39        1.40         -7.87          -1.40          7.99            -1.70         -0.31         1.72           
0.23  -1.044 0.317  -0.365 1.04           1.03           1.04            10.02         1.98          10.21          1.29        1.28        1.29         8.09           1.59           8.24            1.93          0.39          1.97           
0.27  -1.009 0.302  -0.363 1.14           1.06           1.14            -22.30        -2.93         22.45          1.37        1.31        1.37         -18.34         -2.37          18.47           -3.96         -0.56         3.98           
0.30  -0.973 0.284  -0.358 1.21           1.09           1.22            -26.92        -9.27         28.07          1.44        1.34        1.45         -22.41         -7.55          23.42           -4.51         -1.72         4.65           
0.33  -0.938 0.265  -0.351 1.20           1.08           1.22            -27.94        -10.01        29.20          1.43        1.32        1.44         -23.23         -8.13          24.34           -4.71         -1.88         4.86           
0.37  -0.903 0.250  -0.329 1.13           1.22           1.30            -23.57        -32.60        37.74          1.36        1.44        1.51         -19.35         -27.24         31.93           -4.22         -5.36         5.82           
0.40  -0.874 0.236  -0.313 0.98           1.01           1.10            -26.34        -29.76        37.10          1.21        1.24        1.31         -21.09         -24.00         30.50           -5.25         -5.75         6.60           
0.43  -0.838 0.227  -0.293 1.11           1.23           1.26            -13.15        -28.98        31.01          1.35        1.46        1.48         -10.74         -24.21         26.02           -2.41         -4.77         5.00           
0.47  -0.798 0.232  -0.268 1.20           1.40           1.41            6.20          -31.84        32.23          1.45        1.62        1.62         5.13           -27.17         27.52           1.07          -4.67         4.71           
0.50  -0.761 0.235  -0.250 1.12           1.23           1.24            4.99          -25.75        26.11          1.36        1.46        1.47         4.08           -21.49         21.81           0.91          -4.26         4.30           
0.53  -0.725 0.252  -0.223 1.22           1.37           1.46            25.59         -36.63        41.49          1.45        1.58        1.66         21.31          -31.20         35.77           4.28          -5.43         5.72           
0.57  -0.686 0.264  -0.214 1.22           1.20           1.25            16.99         -12.76        20.82          1.47        1.45        1.49         14.13          -10.57         17.40           2.86          -2.19         3.42           
0.60  -0.641 0.287  -0.211 1.50           1.34           1.50            26.96         -3.51         27.13          1.72        1.59        1.73         23.19          -2.96          23.34           3.77          -0.55         3.79           
0.63  -0.607 0.314  -0.207 1.31           1.04           1.32            37.85         -7.94         38.29          1.51        1.29        1.52         32.03          -6.41          32.44           5.82          -1.53         5.85           
0.67  -0.567 0.345  -0.210 1.53           1.21           1.54            38.36         4.97          38.53          1.74        1.46        1.74         33.23          4.12           33.39           5.13          0.85          5.14           
0.70  -0.544 0.385  -0.212 1.36           0.70           1.37            59.46         5.13          59.50          1.51        0.95        1.51         51.25          3.77           51.29           8.22          1.36          8.21           
0.73  -0.517 0.413  -0.221 1.17           0.84           1.20            46.75         17.65         47.98          1.36        1.08        1.38         39.04          13.65          40.25           7.71          4.01          7.73           
0.77  -0.494 0.429  -0.225 0.85           0.70           0.86            35.11         10.29         35.99          1.06        0.95        1.07         27.32          7.60           28.08           7.79          2.69          7.91           
0.80  -0.465 0.429  -0.232 0.86           0.89           0.89            -0.02         14.18         14.18          1.11        1.14        1.14         -0.02          11.09          11.09           -0.01         3.09          3.09           
0.83  -0.441 0.432  -0.242 0.71           0.77           0.77            6.47          21.92         22.69          0.96        1.00        1.01         4.79           16.58          17.18           1.67          5.35          5.51           
0.87  -0.418 0.416  -0.248 0.84           0.72           0.86            -34.46        14.17         36.17          1.06        0.96        1.07         -26.79         10.52          28.28           -7.67         3.65          7.89           
0.90  -0.396 0.397  -0.263 0.88           0.81           0.98            -39.83        33.82         46.93          1.08        1.03        1.17         -31.30         26.03          37.95           -8.53         7.79          8.98           
0.93  -0.377 0.384  -0.279 0.69           0.75           0.86            -36.39        42.15         49.41          0.91        0.95        1.04         -26.99         32.03          38.89           -9.40         10.13         10.52          
0.97  -0.355 0.360  -0.302 0.99           0.95           1.20            -47.06        44.99         55.73          1.17        1.14        1.35         -38.10         36.10          46.96           -8.97         8.89          8.78           
