time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.005 0.125  -0.298 
0.03  -0.981 0.134  -0.300 0.79           0.74           0.79            19.93         6.28          20.75          1.03        0.99        1.03         15.17          4.70           15.82           4.76          1.58          4.94           
0.07  -0.962 0.143  -0.307 0.62           0.59           0.65            26.22         18.52         30.78          0.85        0.83        0.87         18.77          13.01          22.34           7.45          5.50          8.43           
0.10  -0.942 0.147  -0.310 0.63           0.63           0.64            10.02         9.12          13.43          0.88        0.88        0.88         7.18           6.53           9.65            2.84          2.59          3.77           
0.13  -0.922 0.164  -0.321 0.76           0.68           0.84            40.73         31.15         46.45          0.97        0.90        1.03         31.01          22.88          36.29           9.72          8.27          10.16          
0.17  -0.907 0.167  -0.331 0.48           0.54           0.55            12.44         30.89         32.52          0.72        0.77        0.78         8.17           21.28          22.54           4.27          9.61          9.98           
0.20  -0.893 0.171  -0.347 0.42           0.64           0.65            15.78         50.68         51.41          0.67        0.82        0.83         9.92           37.07          37.79           5.86          13.61         13.62          
0.23  -0.872 0.173  -0.361 0.63           0.76           0.76            6.27          33.95         34.30          0.88        0.98        0.98         4.50           25.72          26.02           1.77          8.22          8.28           
0.27  -0.859 0.174  -0.376 0.41           0.60           0.60            1.33          47.20         47.21          0.66        0.79        0.79         0.82           33.83          33.84           0.50          13.37         13.37          
0.30  -0.842 0.165  -0.400 0.56           0.87           0.90            -25.72        54.54         56.03          0.79        1.03        1.06         -17.84         43.18          44.77           -7.87         11.36         11.26          
0.33  -0.823 0.159  -0.421 0.60           0.84           0.86            -19.62        48.11         49.49          0.84        1.02        1.04         -13.86         37.65          39.01           -5.76         10.46         10.49          
0.37  -0.804 0.156  -0.452 0.57           1.11           1.11            -9.94         59.61         59.74          0.82        1.25        1.26         -6.91          49.69          49.84           -3.03         9.92          9.91           
0.40  -0.787 0.145  -0.477 0.62           0.91           0.96            -30.56        54.32         56.53          0.84        1.07        1.12         -21.86         43.41          45.78           -8.70         10.90         10.75          
0.43  -0.773 0.135  -0.505 0.51           0.93           0.98            -35.52        63.33         64.70          0.73        1.07        1.11         -24.06         51.24          52.92           -11.46        12.09         11.78          
0.47  -0.762 0.141  -0.542 0.38           1.16           1.18            27.93         73.26         73.46          0.61        1.26        1.27         16.88          62.28          62.58           11.05         10.98         10.88          
0.50  -0.739 0.128  -0.570 0.78           1.08           1.16            -31.06        51.73         54.53          1.01        1.25        1.32         -23.69         42.72          45.64           -7.37         9.01          8.89           
0.53  -0.726 0.127  -0.612 0.40           1.31           1.31            -3.33         72.24         72.25          0.65        1.40        1.40         -2.05          62.47          62.48           -1.28         9.77          9.77           
0.57  -0.719 0.117  -0.643 0.36           0.95           1.00            -55.70        77.56         78.15          0.55        1.03        1.08         -33.43         63.91          65.02           -22.27        13.65         13.13          
0.60  -0.706 0.109  -0.675 0.45           1.04           1.07            -31.70        68.28         68.85          0.68        1.16        1.18         -20.52         56.69          57.46           -11.18        11.59         11.40          
0.63  -0.695 0.102  -0.705 0.41           0.96           0.99            -31.53        68.80         69.33          0.64        1.08        1.10         -19.65         56.32          57.05           -11.88        12.48         12.28          
0.67  -0.689 0.093  -0.733 0.31           0.85           0.89            -59.19        79.18         79.68          0.49        0.93        0.97         -33.20         63.90          64.99           -25.99        15.28         14.69          
0.70  -0.691 0.089  -0.751 0.13           0.56           0.57            -114.72       95.64         95.52          0.23        0.59        0.60         -31.49         70.69          71.09           -83.23        24.95         24.43          
0.73  -0.658 0.079  -0.759 1.05           1.04           1.08            -16.11        12.79         20.17          1.30        1.28        1.32         -13.04         10.32          16.41           -3.07         2.47          3.76           
0.77  -0.644 0.071  -0.756 0.47           0.41           0.47            -29.59        -11.09        31.00          0.70        0.66        0.70         -19.37         -6.92          20.41           -10.22        -4.17         10.59          
0.80  -0.633 0.065  -0.748 0.39           0.41           0.45            -31.38        -35.10        42.94          0.62        0.63        0.66         -19.20         -21.86         27.98           -12.18        -13.24        14.96          
0.83  -0.614 0.062  -0.736 0.58           0.69           0.70            -8.56         -33.37        34.05          0.83        0.91        0.92         -6.00          -24.69         25.25           -2.56         -8.68         8.80           
0.87  -0.592 0.056  -0.721 0.67           0.78           0.80            -13.62        -33.70        35.36          0.91        1.00        1.01         -9.92          -25.71         27.13           -3.70         -7.99         8.23           
0.90  -0.583 0.049  -0.703 0.36           0.60           0.64            -41.10        -63.02        65.05          0.57        0.75        0.78         -24.44         -45.65         48.23           -16.66        -17.37        16.82          
0.93  -0.564 0.044  -0.685 0.59           0.80           0.82            -13.24        -44.83        45.61          0.83        1.00        1.01         -9.29          -34.65         35.39           -3.95         -10.17        10.22          
0.97  -0.552 0.050  -0.659 0.39           0.84           0.86            27.15         -65.56        66.13          0.62        0.97        0.99         16.60          -51.99         52.73           10.55         -13.57        13.40          
1.00  -0.540 0.047  -0.640 0.39           0.69           0.70            -14.00        -56.29        56.65          0.64        0.85        0.86         -8.57          -42.19         42.57           -5.43         -14.11        14.08          
1.03  -0.529 0.038  -0.618 0.41           0.72           0.77            -42.27        -64.76        66.58          0.62        0.85        0.90         -26.56         -49.39         51.76           -15.72        -15.37        14.81          
1.07  -0.513 0.039  -0.589 0.49           1.00           1.00            4.24          -60.66        60.68          0.74        1.14        1.14         2.81           -49.66         49.68           1.43          -11.00        11.00          
1.10  -0.508 0.033  -0.571 0.23           0.57           0.59            -45.65        -73.39        74.08          0.44        0.68        0.70         -21.93         -52.85         54.07           -23.72        -20.54        20.01          
1.13  -0.497 0.026  -0.550 0.38           0.71           0.74            -33.89        -63.47        64.67          0.60        0.85        0.88         -20.56         -48.19         49.71           -13.33        -15.27        14.96          
1.17  -0.491 0.016  -0.532 0.35           0.57           0.65            -60.81        -72.39        74.57          0.52        0.69        0.75         -36.12         -52.10         55.91           -24.69        -20.29        18.67          
1.20  -0.484 0.017  -0.510 0.22           0.70           0.70            4.89          -72.10        72.10          0.46        0.81        0.81         2.26           -55.01         55.02           2.63          -17.08        17.08          
1.23  -0.478 0.009  -0.488 0.30           0.69           0.73            -51.04        -74.06        74.93          0.50        0.80        0.83         -28.11         -56.52         58.05           -22.94        -17.54        16.88          
1.27  -0.467 0.001  -0.469 0.39           0.66           0.69            -34.46        -61.09        62.69          0.61        0.81        0.84         -21.03         -45.42         47.34           -13.43        -15.67        15.35          
1.30  -0.470 0.004  -0.442 0.11           0.81           0.81            127.26        -94.91        94.88          0.20        0.82        0.83         26.69          -77.33         77.41           100.58        -17.58        17.47          
1.33  -0.455 -0.006 -0.411 0.55           1.02           1.07            -33.92        -63.61        64.80          0.77        1.15        1.19         -23.44         -52.42         53.87           -10.48        -11.19        10.93          
1.37  -0.457 -0.000 -0.388 0.18           0.70           0.72            116.18        -96.36        96.21          0.23        0.72        0.74         42.66          -76.17         76.50           73.52         -20.20        19.71          
1.40  -0.449 -0.002 -0.371 0.24           0.55           0.55            -13.93        -65.13        65.27          0.48        0.69        0.69         -6.77          -45.91         46.10           -7.16         -19.22        19.18          
1.43  -0.442 -0.004 -0.344 0.22           0.86           0.86            -12.81        -75.40        75.43          0.47        0.95        0.95         -6.02          -60.68         60.73           -6.79         -14.72        14.70          
1.47  -0.431 -0.004 -0.323 0.33           0.70           0.70            -2.01         -61.94        61.94          0.58        0.84        0.84         -1.14          -46.79         46.80           -0.87         -15.14        15.14          
1.50  -0.426 0.004  -0.304 0.28           0.59           0.64            58.36         -75.60        76.67          0.46        0.70        0.74         31.01          -55.28         57.40           27.34         -20.32        19.27          
1.53  -0.412 0.011  -0.282 0.50           0.79           0.82            27.91         -55.83        57.43          0.73        0.95        0.98         18.71          -43.29         45.03           9.20          -12.54        12.40          
1.57  -0.412 0.021  -0.261 0.28           0.63           0.69            89.73         -89.88        89.89          0.37        0.68        0.73         47.89          -68.28         69.97           41.84         -21.60        19.92          
1.60  -0.412 0.030  -0.245 0.28           0.47           0.55            91.38         -90.82        90.70          0.37        0.53        0.60         49.14          -62.88         66.22           42.24         -27.94        24.49          
1.63  -0.412 0.039  -0.221 0.28           0.74           0.79            91.06         -90.40        90.38          0.37        0.78        0.83         48.76          -71.70         72.81           42.31         -18.70        17.57          
1.67  -0.409 0.048  -0.203 0.27           0.56           0.61            71.78         -81.19        82.02          0.42        0.64        0.69         37.66          -58.61         61.10           34.12         -22.58        20.91          
1.70  -0.410 0.060  -0.179 0.35           0.70           0.78            93.85         -91.94        91.73          0.42        0.73        0.81         57.24          -72.06         73.87           36.61         -19.88        17.87          
1.73  -0.411 0.074  -0.157 0.43           0.66           0.78            95.43         -93.52        92.96          0.47        0.69        0.81         63.72          -72.30         75.00           31.72         -21.22        17.96          
1.77  -0.413 0.089  -0.139 0.44           0.57           0.72            97.52         -95.88        94.64          0.48        0.60        0.74         66.45          -71.22         75.00           31.06         -24.65        19.65          
1.80  -0.414 0.100  -0.123 0.35           0.47           0.59            92.35         -91.74        91.40          0.42        0.53        0.63         55.94          -63.37         68.07           36.41         -28.37        23.33          
1.83  -0.420 0.111  -0.106 0.38           0.53           0.62            120.04        -110.87       107.65         0.33        0.50        0.59         79.20          -82.84         84.01           40.84         -28.03        23.65          
1.87  -0.419 0.127  -0.101 0.49           0.16           0.52            85.77         -76.53        85.96          0.57        0.32        0.59         59.84          -27.96         60.96           25.93         -48.57        25.00          
1.90  -0.407 0.146  -0.089 0.66           0.51           0.75            57.03         -44.83        61.40          0.82        0.70        0.90         42.24          -30.35         47.21           14.79         -14.48        14.19          
1.93  -0.409 0.165  -0.082 0.59           0.23           0.63            96.74         -107.29       96.31          0.61        0.29        0.65         72.73          -50.70         73.80           24.01         -56.60        22.51          
1.97  -0.406 0.177  -0.085 0.35           0.12           0.37            76.65         49.19         77.11          0.48        0.34        0.49         46.02          15.90          47.06           30.63         33.29         30.05          
2.00  -0.401 0.185  -0.083 0.31           0.19           0.32            55.60         -18.64        56.29          0.50        0.43        0.50         31.07          -7.92          31.73           24.53         -10.72        24.56          
2.03  -0.397 0.206  -0.094 0.63           0.34           0.71            80.56         72.38         81.62          0.71        0.48        0.79         60.38          42.65          63.27           20.18         29.74         18.35          
2.07  -0.381 0.214  -0.116 0.55           0.82           0.86            25.04         53.00         54.59          0.78        0.99        1.02         17.25          41.42          43.09           7.79          11.58         11.51          
2.10  -0.374 0.222  -0.124 0.31           0.29           0.39            53.58         50.93         61.36          0.50        0.49        0.55         29.99          27.68          37.95           23.59         23.25         23.41          
2.13  -0.369 0.235  -0.135 0.42           0.37           0.54            67.38         64.22         72.49          0.57        0.53        0.66         43.34          39.14          51.25           24.04         25.08         21.24          
2.17  -0.355 0.237  -0.154 0.41           0.71           0.71            9.42          55.08         55.26          0.66        0.87        0.88         5.86           41.53          41.72           3.56          13.55         13.54          
2.20  -0.351 0.242  -0.179 0.18           0.76           0.77            43.70         80.05         80.18          0.40        0.84        0.85         18.28          63.08          63.40           25.42         16.97         16.78          
2.23  -0.343 0.245  -0.202 0.26           0.74           0.74            21.12         71.06         71.21          0.50        0.85        0.86         10.69          54.92          55.15           10.43         16.14         16.06          
2.27  -0.338 0.241  -0.226 0.20           0.73           0.74            -38.18        77.80         77.97          0.42        0.82        0.83         -16.71         60.48          60.83           -21.47        17.33         17.14          
2.30  -0.327 0.231  -0.255 0.43           0.91           0.95            -40.23        68.81         69.78          0.64        1.03        1.07         -25.69         55.72          57.07           -14.54        13.09         12.71          
2.33  -0.328 0.231  -0.274 0.04           0.57           0.57            -157.46       93.69         93.69          0.21        0.61        0.61         -4.11          69.55          69.56           -153.36       24.14         24.13          
2.37  -0.327 0.225  -0.310 0.17           1.08           1.09            -72.86        87.28         87.31          0.34        1.12        1.13         -28.93         74.42          74.59           -43.92        12.86         12.72          
2.40  -0.318 0.211  -0.316 0.50           0.32           0.53            -58.67        36.19         60.92          0.66        0.54        0.69         -39.86         20.40          42.43           -18.81        15.79         18.49          
2.43  -0.319 0.218  -0.332 0.21           0.47           0.52            97.77         93.47         93.17          0.30        0.52        0.56         43.35          64.81          66.73           54.43         28.66         26.44          
2.47  -0.304 0.198  -0.343 0.73           0.55           0.81            -53.54        37.47         57.26          0.90        0.76        0.96         -40.69         25.96          44.65           -12.85        11.51         12.61          
