time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -0.000 0.000  -0.000 
0.03  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
0.07  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
0.10  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
0.13  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
0.17  -0.000 0.000  -0.000 0.00           0.00           0.00            0.00          0.00          0.00           0.25        0.25        0.25         0.00           -0.00          0.00            0.00          0.00          0.00           
0.20  -1.159 0.377  -0.106 36.57          34.93          36.71           161.99        174.76        161.34         36.33       34.68       36.47        161.87         174.72         161.21          0.12          0.04          0.13           
0.23  -1.126 0.375  -0.109 0.99           0.99           1.00            -3.88         4.22          5.72           1.24        1.24        1.25         -3.10          3.37           4.57            -0.78         0.85          1.15           
0.27  -1.089 0.375  -0.108 1.13           1.13           1.13            1.00          -1.76         2.02           1.38        1.38        1.38         0.82           -1.44          1.66            0.18          -0.32         0.37           
0.30  -1.041 0.373  -0.110 1.42           1.42           1.43            -2.81         2.79          3.96           1.67        1.67        1.68         -2.39          2.37           3.37            -0.42         0.42          0.59           
0.33  -1.007 0.360  -0.112 1.11           1.04           1.11            -20.69        3.23          20.90          1.35        1.29        1.35         -16.92         2.60           17.10           -3.76         0.63          3.80           
0.37  -0.969 0.353  -0.106 1.14           1.13           1.15            -10.61        -9.62         14.18          1.38        1.38        1.40         -8.70          -7.89          11.67           -1.90         -1.73         2.51           
0.40  -0.932 0.349  -0.089 1.14           1.23           1.24            -6.05         -23.24        23.86          1.38        1.46        1.47         -4.96          -19.38         19.91           -1.09         -3.87         3.95           
0.43  -0.900 0.343  -0.070 0.98           1.13           1.14            -10.31        -31.27        32.37          1.23        1.35        1.36         -8.22          -25.74         26.72           -2.09         -5.53         5.66           
0.47  -0.874 0.343  -0.053 0.78           0.92           0.92            -0.78         -32.78        32.79          1.03        1.14        1.14         -0.59          -25.97         25.98           -0.19         -6.81         6.81           
0.50  -0.849 0.343  -0.025 0.75           1.12           1.12            1.06          -48.22        48.23          1.00        1.30        1.30         0.79           -39.99         39.99           0.27          -8.24         8.24           
0.53  -0.829 0.337  0.003  0.64           1.05           1.07            -17.24        -54.71        55.35          0.88        1.21        1.23         -12.40         -45.04         45.72           -4.84         -9.67         9.63           
0.57  -0.828 0.341  0.023  0.12           0.60           0.61            75.49         -87.09        87.14          0.30        0.66        0.67         22.85          -65.01         65.42           52.64         -22.08        21.72          
0.60  -0.824 0.345  0.042  0.16           0.58           0.59            52.11         -79.92        80.17          0.37        0.67        0.68         20.31          -58.32         58.97           31.80         -21.60        21.20          
0.63  -0.826 0.349  0.069  0.12           0.79           0.80            113.58        -93.58        93.55          0.23        0.81        0.82         29.33          -75.68         75.82           84.25         -17.91        17.73          
0.67  -0.832 0.354  0.082  0.24           0.43           0.46            138.31        -114.02       112.50         0.17        0.40        0.43         65.00          -79.52         80.24           73.31         -34.50        32.26          
0.70  -0.840 0.357  0.095  0.26           0.47           0.48            163.70        -121.17       120.78         0.07        0.41        0.41         86.41          -89.36         89.37           77.29         -31.80        31.41          
0.73  -0.851 0.370  0.109  0.53           0.54           0.68            128.23        -127.48       118.79         0.42        0.43        0.60         100.42         -100.15        97.31           27.81         -27.33        21.48          
0.77  -0.877 0.392  0.110  1.03           0.80           1.03            140.76        -178.65       140.75         0.85        0.55        0.85         130.05         -178.03        130.04          10.70         -0.62         10.70          
0.80  -0.894 0.406  0.115  0.67           0.53           0.68            139.97        -163.13       138.24         0.50        0.30        0.52         121.22         -149.22        119.69          18.75         -13.91        18.55          
0.83  -0.901 0.430  0.113  0.74           0.21           0.74            105.81        165.20        105.76         0.71        0.07        0.71         86.06          47.32          86.07           19.75         117.89        19.70          
0.87  -0.919 0.457  0.110  0.96           0.55           0.97            124.02        169.91        123.83         0.85        0.30        0.85         109.85         161.61         109.72          14.17         8.31          14.11          
0.90  -0.925 0.477  0.109  0.65           0.20           0.65            107.14        167.92        107.10         0.62        0.07        0.63         84.63          35.10          84.65           22.50         132.83        22.46          
0.93  -0.938 0.504  0.105  0.88           0.39           0.89            115.56        164.35        115.36         0.80        0.17        0.81         99.28          140.66         99.20           16.28         23.70         16.16          
0.97  -0.961 0.528  0.089  0.99           0.84           1.10            133.41        144.38        128.06         0.84        0.65        0.97         120.89         131.44         116.34          12.52         12.94         11.72          
1.00  -0.972 0.556  0.083  0.90           0.39           0.92            112.26        150.52        111.74         0.84        0.21        0.86         96.28          115.43         96.12           15.98         35.09         15.62          
1.03  -0.985 0.586  0.073  0.98           0.48           1.02            113.22        144.26        112.29         0.91        0.31        0.95         98.64          116.20         98.26           14.58         28.06         14.03          
1.07  -1.000 0.607  0.061  0.79           0.58           0.87            124.43        140.26        120.77         0.68        0.42        0.77         106.70         117.77         104.61          17.72         22.48         16.16          
1.10  -1.006 0.635  0.052  0.85           0.33           0.90            101.83        122.14        101.24         0.84        0.29        0.88         84.83          74.81          85.09           17.00         47.33         16.15          
1.13  -1.012 0.657  0.046  0.69           0.26           0.71            105.86        137.28        105.36         0.67        0.18        0.69         84.71          70.57          84.89           21.14         66.71         20.48          
1.17  -1.022 0.680  0.040  0.74           0.36           0.76            114.13        147.85        113.33         0.67        0.20        0.70         94.36          105.14         94.19           19.78         42.71         19.13          
1.20  -1.026 0.697  0.028  0.55           0.37           0.65            101.63        107.39        99.76          0.55        0.38        0.66         75.34          68.30          77.67           26.29         39.09         22.09          
1.23  -1.035 0.703  0.019  0.32           0.38           0.42            146.65        134.52        129.54         0.18        0.27        0.32         95.16          93.34          92.81           51.49         41.17         36.73          
1.27  -1.038 0.704  0.010  0.10           0.30           0.30            171.83        109.41        109.39         0.15        0.32        0.32         5.40           61.83          61.86           166.43        47.59         47.53          
1.30  -1.043 0.704  0.003  0.16           0.26           0.26            177.14        128.05        128.03         0.09        0.23        0.23         5.32           67.23          67.25           171.82        60.82         60.78          
1.33  -1.038 0.708  -0.008 0.19           0.36           0.37            36.06         64.49         65.73          0.42        0.52        0.53         15.47          38.53          40.13           20.59         25.96         25.60          
1.37  -1.036 0.720  0.000  0.38           0.26           0.45            78.11         -72.23        80.02          0.50        0.41        0.56         48.70          -36.80         53.71           29.41         -35.43        26.30          
1.40  -1.035 0.736  0.009  0.48           0.26           0.54            86.92         -84.19        87.28          0.55        0.37        0.61         60.07          -42.62         63.04           26.85         -41.58        24.24          
1.43  -1.045 0.756  0.023  0.69           0.53           0.81            118.14        -127.87       113.78         0.61        0.42        0.74         97.05          -100.19        95.81           21.09         -27.68        17.97          
1.47  -1.057 0.772  0.041  0.57           0.65           0.80            127.86        -122.70       116.33         0.47        0.56        0.72         102.76         -100.59        98.21           25.10         -22.10        18.13          
1.50  -1.065 0.791  0.064  0.62           0.74           0.94            110.77        -107.26       103.51         0.58        0.71        0.92         87.03          -87.57         88.12           23.74         -19.69        15.40          
1.53  -1.073 0.804  0.096  0.46           0.98           1.05            123.00        -104.98       103.90         0.39        0.94        1.02         90.36          -90.15         90.14           32.64         -14.83        13.76          
1.57  -1.095 0.813  0.118  0.71           0.95           0.98            158.32        -134.36       132.34         0.49        0.79        0.83         147.43         -121.32        119.56          10.89         -13.04        12.79          
1.60  -1.107 0.809  0.144  0.39           0.84           0.85            -164.21       -116.17       115.95         0.16        0.77        0.77         -139.21        -99.15         99.06           -25.00        -17.02        16.89          
1.63  -1.128 0.802  0.164  0.65           0.87           0.89            -161.67       -135.22       133.70         0.42        0.71        0.74         -150.86        -120.91        119.59          -10.81        -14.31        14.11          
1.67  -1.147 0.785  0.186  0.77           0.88           1.02            -137.69       -130.19       123.81         0.61        0.74        0.90         -121.56        -115.29        110.53          -16.13        -14.91        13.28          
1.70  -1.151 0.775  0.206  0.34           0.62           0.69            -112.51       -102.33       100.94         0.34        0.61        0.69         -69.53         -78.86         80.12           -42.97        -23.46        20.82          
1.73  -1.155 0.757  0.213  0.53           0.23           0.57            -101.83       -117.81       101.02         0.54        0.25        0.58         -74.95         -55.90         75.97           -26.88        -61.91        25.05          
1.77  -1.165 0.753  0.234  0.32           0.70           0.71            -156.57       -115.24       114.79         0.14        0.63        0.64         -110.00        -94.25         94.17           -46.57        -20.99        20.63          
1.80  -1.171 0.743  0.240  0.36           0.25           0.39            -122.59       -140.31       119.45         0.30        0.17        0.34         -78.89         -69.69         80.16           -43.70        -70.62        39.29          
1.83  -1.166 0.731  0.231  0.38           0.30           0.45            -66.67        59.78         70.88          0.53        0.47        0.59         -40.84         32.62          47.08           -25.83        27.16         23.80          
1.87  -1.170 0.715  0.221  0.50           0.33           0.59            -104.36       111.97        102.20         0.50        0.33        0.59         -75.33         67.59          77.54           -29.03        44.38         24.66          
1.90  -1.179 0.704  0.223  0.42           0.26           0.43            -126.38       -163.01       125.70         0.34        0.08        0.35         -89.82         -89.20         89.82           -36.56        -73.80        35.88          
