time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.021 0.252  -0.264 
0.03  -1.017 0.260  -0.293 0.29           0.88           0.92            64.03         81.80         82.13          0.46        0.95        0.99         34.53          66.72          67.58           29.51         15.08         14.55          
0.07  -1.011 0.264  -0.312 0.21           0.59           0.60            30.23         72.27         72.55          0.44        0.71        0.71         13.67          52.55          53.02           16.56         19.72         19.53          
0.10  -1.005 0.266  -0.333 0.19           0.67           0.67            16.02         74.56         74.60          0.43        0.78        0.78         6.83           56.48          56.57           9.19          18.07         18.04          
0.13  -1.000 0.287  -0.349 0.65           0.50           0.80            77.06         73.17         79.63          0.74        0.62        0.88         57.91          50.45          63.46           19.15         22.72         16.17          
0.17  -0.997 0.304  -0.365 0.54           0.48           0.71            80.13         78.82         82.56          0.63        0.58        0.79         57.20          53.81          64.19           22.93         25.01         18.37          
0.20  -0.994 0.318  -0.366 0.41           0.11           0.41            76.14         21.70         76.21          0.53        0.35        0.53         48.71          6.38           48.85           27.43         15.32         27.36          
0.23  -0.984 0.328  -0.364 0.44           0.30           0.44            47.16         -11.13        47.62          0.63        0.55        0.64         30.35          -6.10          30.76           16.81         -5.03         16.87          
0.27  -0.980 0.349  -0.355 0.63           0.29           0.69            80.63         -69.70        81.43          0.71        0.45        0.76         60.38          -38.12         62.56           20.25         -31.58        18.87          
0.30  -0.974 0.366  -0.342 0.54           0.43           0.67            68.24         -62.19        72.34          0.68        0.59        0.78         48.21          -40.26         54.53           20.03         -21.93        17.82          
0.33  -0.967 0.376  -0.327 0.37           0.51           0.60            56.35         -66.70        70.12          0.55        0.65        0.72         33.94          -46.13         51.10           22.41         -20.57        19.03          
0.37  -0.950 0.387  -0.306 0.60           0.80           0.87            33.28         -51.24        54.61          0.82        0.98        1.03         23.65          -39.72         43.21           9.63          -11.51        11.41          
0.40  -0.942 0.389  -0.275 0.26           0.95           0.95            11.60         -74.49        74.51          0.51        1.04        1.05         5.90           -61.15         61.19           5.70          -13.34        13.33          
0.43  -0.923 0.387  -0.253 0.55           0.87           0.87            -4.29         -50.71        50.77          0.80        1.04        1.05         -2.95          -40.04         40.09           -1.34         -10.67        10.67          
0.47  -0.902 0.386  -0.223 0.64           1.10           1.10            -4.24         -54.40        54.43          0.89        1.26        1.26         -3.05          -45.10         45.14           -1.19         -9.30         9.29           
0.50  -0.888 0.388  -0.195 0.43           0.95           0.95            11.52         -63.37        63.49          0.68        1.08        1.08         7.30           -51.44         51.58           4.21          -11.93        11.91          
0.53  -0.867 0.391  -0.161 0.63           1.21           1.21            6.09          -58.79        58.84          0.88        1.36        1.36         4.36           -49.73         49.79           1.73          -9.06         9.05           
0.57  -0.853 0.395  -0.131 0.45           0.99           1.00            18.75         -64.71        64.99          0.69        1.12        1.13         12.05          -53.07         53.42           6.70          -11.63        11.57          
0.60  -0.843 0.404  -0.101 0.39           0.95           0.98            42.49         -72.18        72.86          0.60        1.05        1.08         26.17          -59.07         60.11           16.32         -13.11        12.75          
0.63  -0.837 0.414  -0.074 0.35           0.83           0.87            54.78         -75.72        76.53          0.54        0.92        0.96         32.46          -60.45         61.93           22.32         -15.27        14.60          
0.67  -0.847 0.423  -0.048 0.43           0.85           0.90            140.22        -112.65       111.51         0.28        0.79        0.84         105.98         -95.68         95.37           34.24         -16.97        16.14          
0.70  -0.858 0.432  -0.026 0.42           0.73           0.78            139.75        -115.98       114.25         0.28        0.66        0.71         104.54         -96.11         95.65           35.22         -19.88        18.61          
0.73  -0.871 0.435  -0.003 0.39           0.79           0.80            165.59        -118.60       118.37         0.16        0.70        0.71         142.81         -100.46        100.36          22.78         -18.14        18.01          
0.77  -0.888 0.437  0.022  0.52           0.90           0.90            173.98        -124.82       124.75         0.27        0.79        0.79         168.41         -109.67        109.62          5.57          -15.15        15.13          
0.80  -0.913 0.437  0.041  0.76           0.96           0.96            -179.28       -142.85       142.84         0.51        0.77        0.77         -178.93        -131.58        131.57          -0.35         -11.27        11.27          
0.83  -0.936 0.434  0.055  0.70           0.81           0.82            -172.68       -148.79       148.23         0.45        0.61        0.62         -168.64        -136.57        135.94          -4.03         -12.22        12.29          
0.87  -0.962 0.427  0.074  0.80           0.96           0.98            -165.62       -143.80       142.21         0.56        0.77        0.79         -159.23        -132.73        131.08          -6.39         -11.07        11.13          
0.90  -0.981 0.426  0.091  0.57           0.75           0.75            -177.18       -138.76       138.71         0.32        0.59        0.59         -174.96        -122.51        122.47          -2.22         -16.25        16.24          
0.93  -0.993 0.428  0.109  0.37           0.67           0.67            173.36        -123.17       123.09         0.13        0.58        0.58         160.10         -101.86        101.83          13.27         -21.31        21.26          
0.97  -1.012 0.427  0.127  0.57           0.77           0.77            -177.12       -137.66       137.62         0.32        0.61        0.61         -174.88        -121.61        121.57          -2.25         -16.05        16.05          
1.00  -1.029 0.427  0.141  0.49           0.65           0.65            -179.65       -139.11       139.11         0.24        0.49        0.49         -179.29        -119.69        119.68          -0.36         -19.43        19.43          
1.03  -1.039 0.419  0.154  0.37           0.49           0.53            -144.30       -128.65       124.74         0.23        0.38        0.44         -103.95        -98.12         97.06           -40.35        -30.53        27.68          
1.07  -1.051 0.412  0.163  0.43           0.47           0.51            -149.12       -142.03       135.49         0.25        0.31        0.38         -118.07        -112.23        107.97          -31.05        -29.81        27.52          
1.10  -1.061 0.401  0.164  0.44           0.29           0.44            -131.56       -175.42       131.49         0.33        0.05        0.33         -97.10         -150.32        97.08           -34.46        -25.10        34.41          
1.13  -1.069 0.398  0.177  0.25           0.46           0.47            -160.46       -121.08       120.51         0.09        0.40        0.41         -83.28         -88.56         88.59           -77.18        -32.52        31.92          
1.17  -1.068 0.383  0.183  0.46           0.19           0.50            -88.08        -85.28        88.22          0.53        0.33        0.56         -60.10         -35.27         61.96           -27.97        -50.01        26.26          
1.20  -1.070 0.368  0.188  0.45           0.16           0.48            -95.85        -107.07       95.55          0.49        0.25        0.52         -65.61         -36.34         66.73           -30.24        -70.73        28.83          
1.23  -1.053 0.341  0.177  0.96           0.62           1.02            -57.21        32.56         59.21          1.12        0.84        1.17         -46.38         23.34          48.61           -10.83        9.21          10.61          
1.27  -1.047 0.321  0.173  0.62           0.22           0.63            -73.07        34.28         73.40          0.73        0.45        0.74         -53.91         15.89          54.49           -19.16        18.39         18.92          
1.30  -1.033 0.303  0.174  0.67           0.39           0.67            -53.83        -2.46         53.84          0.84        0.64        0.84         -39.92         -1.51          39.93           -13.91        -0.96         13.91          
1.33  -1.024 0.286  0.162  0.60           0.45           0.69            -61.52        50.68         65.66          0.75        0.64        0.83         -44.49         33.05          49.68           -17.03        17.63         15.98          
1.37  -1.012 0.271  0.150  0.57           0.51           0.67            -50.78        44.81         57.63          0.75        0.71        0.83         -35.86         30.37          42.94           -14.92        14.44         14.69          
1.40  -1.008 0.247  0.142  0.73           0.28           0.77            -79.78        62.48         80.33          0.81        0.45        0.85         -62.19         33.27          63.50           -17.59        29.21         16.83          
1.43  -0.999 0.234  0.123  0.46           0.61           0.73            -58.43        66.53         70.47          0.63        0.74        0.84         -38.70         48.59          54.23           -19.73        17.94         16.24          
1.47  -0.993 0.223  0.098  0.37           0.78           0.84            -59.18        76.05         77.09          0.54        0.88        0.93         -35.76         59.98          61.92           -23.42        16.08         15.17          
1.50  -0.990 0.213  0.076  0.34           0.69           0.76            -71.84        81.09         81.95          0.48        0.76        0.83         -42.25         62.25          64.61           -29.59        18.84         17.34          
1.53  -0.988 0.205  0.050  0.23           0.76           0.79            -79.27        86.81         86.94          0.37        0.81        0.84         -37.23         68.84          69.62           -42.04        17.97         17.31          
1.57  -0.982 0.192  0.026  0.45           0.76           0.86            -66.19        76.18         77.88          0.59        0.85        0.95         -43.55         59.63          62.89           -22.63        16.56         14.99          
1.60  -0.988 0.187  -0.006 0.21           0.97           0.98            -142.47       99.88         99.79          0.15        0.96        0.97         -56.87         85.01          85.06           -85.60        14.87         14.74          
1.63  -0.991 0.177  -0.031 0.32           0.77           0.83            -109.65       98.01         97.46          0.33        0.78        0.83         -64.70         79.44          80.16           -44.95        18.57         17.30          
1.67  -1.000 0.164  -0.064 0.48           1.00           1.08            -124.29       105.73        104.59         0.40        0.96        1.04         -93.06         91.27          91.17           -31.22        14.46         13.42          
1.70  -1.009 0.154  -0.089 0.41           0.81           0.87            -129.93       108.85        107.54         0.31        0.76        0.83         -92.01         90.82          90.76           -37.92        18.03         16.78          
1.73  -1.013 0.141  -0.117 0.41           0.85           0.93            -108.32       98.64         97.86          0.40        0.85        0.93         -72.36         81.70          82.45           -35.96        16.94         15.42          
1.77  -1.022 0.129  -0.144 0.44           0.86           0.93            -127.37       108.24        106.84         0.35        0.81        0.89         -93.01         91.30          91.19           -34.36        16.94         15.64          
1.80  -1.027 0.117  -0.171 0.40           0.82           0.90            -110.51       99.92         99.00          0.39        0.81        0.89         -73.81         82.27          82.99           -36.70        17.65         16.02          
1.83  -1.033 0.113  -0.198 0.22           0.84           0.84            -149.66       103.25        103.13         0.13        0.82        0.82         -62.48         85.89          85.93           -87.19        17.35         17.20          
1.87  -1.032 0.109  -0.224 0.13           0.79           0.80            -74.11        87.41         87.44          0.31        0.84        0.85         -23.72         70.11          70.33           -50.40        17.30         17.11          
1.90  -1.028 0.105  -0.250 0.16           0.78           0.79            -38.67        80.60         80.68          0.39        0.86        0.86         -15.14         63.91          64.10           -23.52        16.69         16.57          
1.93  -1.022 0.103  -0.280 0.19           0.90           0.91            -20.75        78.39         78.43          0.44        0.99        0.99         -9.07          64.01          64.08           -11.68        14.39         14.35          
1.97  -1.009 0.100  -0.306 0.40           0.88           0.88            -11.27        63.58         63.69          0.64        1.01        1.01         -6.92          50.79          50.93           -4.35         12.79         12.76          
2.00  -0.997 0.107  -0.333 0.41           0.88           0.90            26.70         65.36         65.92          0.65        1.01        1.03         16.68          52.42          53.13           10.02         12.95         12.79          
2.03  -0.981 0.112  -0.354 0.49           0.79           0.81            20.31         54.27         55.19          0.73        0.96        0.98         13.52          42.08          43.06           6.79          12.19         12.13          
2.07  -0.960 0.113  -0.378 0.64           0.96           0.96            1.52          48.07         48.08          0.89        1.15        1.15         1.09           38.73          38.73           0.42          9.34          9.34           
2.10  -0.938 0.119  -0.397 0.67           0.87           0.89            15.77         41.64         43.01          0.92        1.07        1.08         11.53          32.70          33.96           4.24          8.94          9.05           
2.13  -0.924 0.124  -0.413 0.44           0.63           0.64            19.52         48.30         49.65          0.68        0.82        0.83         12.50          35.07          36.36           7.02          13.23         13.29          
2.17  -0.905 0.129  -0.428 0.59           0.73           0.75            16.45         38.80         40.59          0.84        0.94        0.95         11.60          29.20          30.77           4.86          9.61          9.82           
2.20  -0.890 0.136  -0.438 0.50           0.55           0.58            23.43         32.44         37.57          0.74        0.77        0.80         15.72          22.42          26.54           7.72          10.02         11.03          
2.23  -0.876 0.144  -0.441 0.47           0.43           0.49            29.21         14.67         31.69          0.70        0.67        0.71         19.21          9.27           21.04           10.00         5.41          10.65          
2.27  -0.866 0.152  -0.449 0.39           0.37           0.45            39.84         35.68         47.74          0.60        0.59        0.64         24.47          21.39          30.98           15.37         14.29         16.76          
2.30  -0.858 0.152  -0.444 0.23           0.26           0.26            1.83          -29.24        29.28          0.48        0.50        0.50         0.88           -14.98         15.00           0.96          -14.26        14.28          
