time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.130 0.495  -0.176 
0.03  -1.103 0.490  -0.174 0.81           0.80           0.81            -10.15        -5.23         11.37          1.06        1.05        1.06         -7.76          -3.99          8.70            -2.39         -1.24         2.66           
0.07  -1.082 0.484  -0.164 0.67           0.71           0.73            -15.15        -24.37        27.82          0.91        0.94        0.96         -11.03         -18.07         20.81           -4.11         -6.30         7.01           
0.10  -1.064 0.482  -0.141 0.53           0.86           0.86            -7.79         -52.14        52.29          0.78        1.03        1.03         -5.30          -41.08         41.24           -2.49         -11.06        11.05          
0.13  -1.046 0.471  -0.116 0.63           0.93           0.98            -29.72        -54.00        56.14          0.85        1.09        1.14         -21.38         -43.35         45.62           -8.34         -10.66        10.52          
0.17  -1.026 0.460  -0.089 0.70           1.03           1.08            -27.72        -53.11        55.08          0.93        1.20        1.24         -20.51         -43.50         45.57           -7.20         -9.62         9.51           
0.20  -1.021 0.451  -0.050 0.33           1.17           1.21            -62.24        -82.42        82.65          0.50        1.23        1.26         -35.93         -70.77         71.32           -26.31        -11.65        11.33          
0.23  -1.022 0.443  -0.012 0.24           1.16           1.18            -98.10        -91.68        91.65          0.32        1.18        1.20         -47.88         -79.42         79.64           -50.21        -12.26        12.01          
0.27  -1.028 0.437  0.033  0.25           1.35           1.36            -136.14       -97.69        97.62          0.19        1.34        1.35         -68.19         -87.03         87.05           -67.95        -10.66        10.57          
0.30  -1.035 0.435  0.065  0.22           0.98           0.98            -163.56       -102.55       102.53         0.07        0.96        0.96         -59.99         -87.83         87.83           -103.57       -14.72        14.69          
0.33  -1.039 0.436  0.093  0.13           0.85           0.85            166.61        -98.82        98.81          0.12        0.85        0.85         14.64          -81.95         81.96           151.97        -16.86        16.85          
0.37  -1.037 0.436  0.116  0.08           0.70           0.70            9.29          -83.64        83.64          0.33        0.77        0.77         2.22           -64.84         64.84           7.06          -18.80        18.80          
0.40  -1.001 0.441  0.144  1.08           1.35           1.36            8.23          -37.87        38.34          1.33        1.56        1.56         6.68           -32.21         32.65           1.55          -5.66         5.69           
0.43  -1.013 0.438  0.154  0.37           0.46           0.47            -163.55       -140.11       138.45         0.15        0.31        0.33         -134.91        -109.40        108.37          -28.64        -30.71        30.08          
0.47  -1.024 0.428  0.146  0.47           0.41           0.52            -138.14       147.79        132.40         0.33        0.24        0.39         -107.41        114.05         104.39          -30.72        33.75         28.00          
0.50  -1.018 0.419  0.143  0.33           0.21           0.34            -54.68        25.85         56.17          0.51        0.45        0.52         -31.28         11.78          32.71           -23.40        14.07         23.46          
0.53  -1.018 0.414  0.147  0.15           0.11           0.19            -93.20        -94.46        92.60          0.28        0.26        0.30         -31.99         -24.09         37.53           -61.21        -70.37        55.07          
0.57  -0.983 0.399  0.139  1.16           1.09           1.18            -22.65        12.19         25.17          1.39        1.34        1.41         -18.68         9.93           20.84           -3.97         2.27          4.33           
0.60  -0.950 0.390  0.116  1.03           1.21           1.24            -14.57        35.26         36.99          1.27        1.43        1.45         -11.73         29.45          31.03           -2.84         5.81          5.96           
0.63  -0.934 0.389  0.095  0.46           0.79           0.79            -3.44         54.09         54.12          0.71        0.95        0.95         -2.23          41.83          41.86           -1.21         12.26         12.26          
0.67  -0.921 0.395  0.073  0.43           0.76           0.78            22.05         58.70         59.44          0.67        0.92        0.93         13.94          45.22          46.07           8.11          13.47         13.37          
0.70  -0.913 0.399  0.051  0.29           0.71           0.73            27.76         69.06         69.44          0.52        0.84        0.85         14.90          52.87          53.42           12.86         16.19         16.02          
0.73  -0.898 0.424  0.037  0.87           0.61           0.96            58.72         41.95         61.93          1.02        0.81        1.10         46.64          30.04          50.35           12.08         11.91         11.59          
0.77  -0.900 0.447  0.017  0.71           0.63           0.94            96.60         97.50         94.97          0.73        0.64        0.96         76.59          74.83          79.85           20.01         22.67         15.12          
0.80  -0.888 0.471  0.001  0.81           0.60           0.94            62.55         51.52         66.50          0.95        0.78        1.06         49.06          37.00          54.02           13.48         14.52         12.48          
0.83  -0.880 0.498  -0.015 0.82           0.54           0.96            73.33         63.87         75.67          0.93        0.68        1.05         58.37          44.74          62.27           14.96         19.13         13.39          
0.87  -0.879 0.519  -0.033 0.65           0.54           0.84            86.56         85.90         87.36          0.71        0.61        0.89         65.94          61.94          71.10           20.62         23.96         16.26          
0.90  -0.867 0.546  -0.045 0.86           0.50           0.93            66.10         45.05         67.95          0.99        0.70        1.05         52.79          30.31          55.24           13.31         14.74         12.71          
0.93  -0.867 0.568  -0.055 0.66           0.32           0.73            88.79         87.46         88.91          0.71        0.41        0.78         68.29          50.06          70.22           20.50         37.40         18.68          
0.97  -0.862 0.595  -0.070 0.83           0.45           0.93            79.58         70.59         80.74          0.91        0.58        1.00         63.88          46.78          66.50           15.71         23.81         14.24          
1.00  -0.855 0.618  -0.080 0.74           0.38           0.80            73.85         57.60         75.24          0.84        0.56        0.90         57.24          35.34          59.65           16.61         22.26         15.59          
1.03  -0.850 0.633  -0.091 0.46           0.34           0.55            72.24         65.53         75.32          0.58        0.50        0.66         48.21          38.23          53.84           24.02         27.30         21.48          
1.07  -0.845 0.657  -0.110 0.73           0.61           0.94            78.57         76.15         81.12          0.82        0.71        1.01         61.17          56.14          66.95           17.39         20.01         14.16          
1.10  -0.840 0.688  -0.124 0.94           0.43           1.02            81.03         69.94         81.76          1.01        0.56        1.09         66.86          45.32          68.58           14.17         24.62         13.18          
1.13  -0.832 0.710  -0.142 0.72           0.60           0.90            69.22         64.73         73.53          0.84        0.74        1.00         53.10          46.95          59.66           16.13         17.78         13.87          
1.17  -0.831 0.729  -0.162 0.55           0.62           0.83            87.10         87.43         88.07          0.61        0.68        0.87         63.15          65.83          71.44           23.95         21.59         16.64          
1.20  -0.821 0.744  -0.185 0.55           0.74           0.87            56.13         65.20         69.17          0.72        0.87        0.99         39.48          50.12          55.46           16.65         15.08         13.70          
1.23  -0.816 0.755  -0.209 0.36           0.75           0.82            65.96         78.63         79.61          0.52        0.84        0.90         39.88          61.66          63.82           26.08         16.97         15.80          
1.27  -0.812 0.747  -0.231 0.26           0.66           0.70            -63.84        79.94         80.52          0.43        0.74        0.78         -32.67         60.60          62.08           -31.17        19.34         18.45          
1.30  -0.810 0.734  -0.254 0.41           0.71           0.82            -81.40        85.04         85.69          0.51        0.78        0.88         -52.59         66.30          69.16           -28.81        18.74         16.54          
1.33  -0.802 0.717  -0.277 0.56           0.73           0.89            -64.98        71.02         74.52          0.70        0.84        0.99         -46.21         54.77          60.38           -18.77        16.25         14.15          
1.37  -0.799 0.697  -0.303 0.59           0.78           0.97            -82.45        84.35         85.47          0.67        0.84        1.02         -60.63         67.19          71.38           -21.83        17.16         14.09          
1.40  -0.795 0.672  -0.333 0.76           0.90           1.18            -80.79        82.19         84.02          0.84        0.97        1.23         -63.75         67.35          72.33           -17.04        14.84         11.69          
1.43  -0.795 0.656  -0.361 0.48           0.82           0.95            -87.97        88.83         88.98          0.54        0.87        0.99         -60.68         72.03          74.31           -27.29        16.80         14.67          
1.47  -0.802 0.629  -0.390 0.85           0.90           1.22            -104.39       103.57        99.97          0.82        0.88        1.20         -87.32         87.48          88.17           -17.07        16.09         11.81          
1.50  -0.809 0.621  -0.417 0.31           0.85           0.89            -129.56       103.62        103.09         0.25        0.83        0.86         -78.46         86.57          86.71           -51.10        17.05         16.38          
1.53  -0.819 0.597  -0.456 0.79           1.20           1.40            -113.76       105.40        103.14         0.73        1.16        1.36         -95.39         93.38          92.87           -18.36        12.02         10.28          
1.57  -0.836 0.562  -0.484 1.15           0.98           1.43            -115.82       120.63        110.54         1.06        0.88        1.36         -103.61        106.50         100.62          -12.21        14.13         9.92           
1.60  -0.844 0.543  -0.503 0.64           0.62           0.85            -112.36       113.13        106.50         0.59        0.57        0.82         -89.21         89.18          89.43           -23.15        23.95         17.07          
1.63  -0.845 0.522  -0.527 0.61           0.71           0.93            -93.83        93.27         92.49          0.64        0.74        0.96         -70.91         73.55          77.34           -22.92        19.72         15.15          
1.67  -0.839 0.497  -0.543 0.78           0.53           0.93            -76.09        69.52         78.33          0.87        0.66        1.01         -59.95         48.89          64.26           -16.14        20.62         14.08          
1.70  -0.841 0.475  -0.533 0.67           0.33           0.74            -95.51        -101.40       94.97          0.69        0.37        0.76         -74.51         -59.92         75.97           -20.99        -41.48        19.01          
1.73  -0.828 0.453  -0.520 0.78           0.55           0.87            -58.83        -42.50        62.12          0.94        0.75        1.01         -45.65         -29.54         49.46           -13.19        -12.95        12.66          
1.77  -0.828 0.424  -0.501 0.87           0.57           1.04            -90.97        -91.48        90.81          0.90        0.62        1.07         -74.91         -67.52         77.27           -16.06        -23.96        13.54          
1.80  -0.824 0.407  -0.472 0.51           0.87           1.00            -74.91        -81.18        82.34          0.63        0.94        1.07         -52.27         -65.99         68.89           -22.64        -15.19        13.45          
1.83  -0.826 0.391  -0.442 0.48           0.93           1.04            -97.14        -93.67        93.27          0.51        0.94        1.06         -68.05         -78.33         79.59           -29.09        -15.34        13.68          
1.87  -0.832 0.376  -0.414 0.49           0.84           0.96            -111.62       -102.50       100.95         0.46        0.83        0.94         -81.63         -85.29         85.89           -29.99        -17.20        15.06          
1.90  -0.842 0.363  -0.383 0.49           0.98           1.05            -129.40       -108.57       107.27         0.39        0.93        1.01         -99.32         -93.84         93.56           -30.08        -14.73        13.72          
1.93  -0.851 0.343  -0.360 0.67           0.76           0.97            -113.11       -110.32       105.63         0.62        0.71        0.94         -91.16         -91.01         90.76           -21.95        -19.31        14.86          
1.97  -0.860 0.323  -0.333 0.67           0.85           1.04            -115.41       -109.69       105.95         0.60        0.80        1.00         -93.47         -92.62         92.09           -21.94        -17.07        13.86          
2.00  -0.865 0.298  -0.304 0.74           0.87           1.13            -101.44       -99.69        97.44          0.73        0.86        1.13         -81.86         -83.12         84.73           -19.58        -16.57        12.70          
2.03  -0.879 0.289  -0.275 0.51           0.97           1.01            -144.98       -115.53       114.36         0.34        0.89        0.93         -119.69        -100.80        100.26          -25.29        -14.72        14.11          
2.07  -0.900 0.282  -0.237 0.65           1.30           1.32            -162.75       -118.57       118.23         0.42        1.21        1.22         -152.60        -108.07        107.83          -10.14        -10.50        10.40          
2.10  -0.910 0.278  -0.206 0.32           0.98           0.99            -153.73       -106.96       106.78         0.15        0.94        0.95         -104.46        -92.22         92.20           -49.27        -14.74        14.58          
2.13  -0.914 0.272  -0.180 0.21           0.80           0.81            -125.60       -99.02        98.81          0.21        0.80        0.81         -54.26         -80.93         81.15           -71.34        -18.09        17.66          
2.17  -0.913 0.274  -0.157 0.07           0.68           0.69            72.58         -88.20        88.20          0.28        0.74        0.74         14.19          -68.34         68.44           58.39         -19.85        19.76          
2.20  -0.900 0.272  -0.140 0.40           0.65           0.65            -8.05         -52.14        52.30          0.65        0.82        0.83         -4.96          -38.27         38.44           -3.09         -13.87        13.87          
2.23  -0.882 0.262  -0.125 0.62           0.70           0.76            -28.86        -38.73        44.22          0.85        0.91        0.95         -20.69         -28.79         33.69           -8.18         -9.94         10.53          
