time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.153 0.165  -0.114 
0.03  -1.152 0.176  -0.102 0.33           0.37           0.49            86.76         -87.14        87.85          0.42        0.46        0.56         50.46          -53.92         61.35           36.30         -33.22        26.50          
0.07  -1.145 0.184  -0.091 0.32           0.40           0.46            45.88         -55.58        60.76          0.53        0.58        0.62         26.01          -34.62         40.21           19.87         -20.95        20.55          
0.10  -1.141 0.197  -0.074 0.40           0.53           0.66            74.37         -78.27        80.54          0.53        0.63        0.74         47.12          -55.43         61.04           27.25         -22.84        19.50          
0.13  -1.134 0.220  -0.067 0.74           0.29           0.76            73.44         -43.18        74.02          0.84        0.50        0.87         56.92          -23.19         57.89           16.52         -19.99        16.12          
0.17  -1.125 0.240  -0.060 0.66           0.36           0.69            64.75         -38.55        66.18          0.79        0.57        0.83         48.22          -22.81         50.09           16.53         -15.73        16.08          
0.20  -1.115 0.249  -0.049 0.41           0.44           0.52            41.67         -47.12        54.41          0.61        0.64        0.70         25.99          -30.53         37.42           15.69         -16.59        16.99          
0.23  -1.106 0.263  -0.041 0.49           0.34           0.54            59.22         -42.80        62.45          0.66        0.55        0.70         40.10          -24.92         43.89           19.11         -17.88        18.57          
0.27  -1.094 0.273  -0.031 0.49           0.48           0.57            39.64         -38.77        49.09          0.70        0.70        0.76         26.46          -25.76         34.73           13.18         -13.01        14.36          
0.30  -1.075 0.273  -0.020 0.56           0.65           0.65            -0.40         -30.78        30.78          0.81        0.87        0.87         -0.28          -22.37         22.37           -0.12         -8.41         8.41           
0.33  -1.066 0.275  -0.006 0.27           0.48           0.49            11.84         -56.56        56.81          0.52        0.65        0.66         6.17           -37.99         38.25           5.67          -18.58        18.56          
0.37  -1.050 0.279  0.003  0.51           0.57           0.58            12.64         -28.79        30.69          0.76        0.80        0.81         8.50           -20.11         21.58           4.14          -8.68         9.11           
0.40  -1.038 0.282  0.015  0.36           0.52           0.52            12.66         -47.52        48.11          0.60        0.71        0.71         7.45           -32.47         33.01           5.20          -15.05        15.10          
0.43  -1.017 0.281  0.026  0.64           0.72           0.72            -1.39         -27.09        27.11          0.89        0.94        0.94         -1.00          -20.17         20.19           -0.39         -6.92         6.93           
0.47  -0.993 0.284  0.038  0.72           0.79           0.80            7.80          -26.79        27.62          0.96        1.02        1.03         5.78           -20.47         21.14           2.02          -6.32         6.47           
0.50  -0.969 0.291  0.051  0.74           0.81           0.83            15.84         -28.24        31.28          0.98        1.04        1.06         11.86          -21.69         24.21           3.98          -6.56         7.06           
0.53  -0.951 0.298  0.068  0.60           0.77           0.79            19.84         -43.00        45.00          0.84        0.97        0.99         14.02          -32.83         34.67           5.83          -10.17        10.32          
0.57  -0.934 0.308  0.075  0.60           0.54           0.63            32.17         -20.65        36.26          0.82        0.78        0.85         22.88          -14.19         26.20           9.29          -6.46         10.06          
0.60  -0.922 0.320  0.079  0.49           0.38           0.50            42.90         -18.12        44.58          0.69        0.62        0.70         28.72          -10.92         30.16           14.18         -7.20         14.42          
0.63  -0.899 0.332  0.074  0.77           0.69           0.79            29.55         13.20         31.53          0.99        0.93        1.01         22.43          9.69           24.07           7.12          3.51          7.46           
0.67  -0.884 0.331  0.066  0.46           0.51           0.51            -4.27         26.46         26.71          0.71        0.74        0.74         -2.76          17.83          18.01           -1.51         8.63          8.70           
0.70  -0.878 0.339  0.047  0.30           0.60           0.64            50.43         71.74         72.97          0.49        0.72        0.76         27.51          52.52          54.54           22.93         19.22         18.42          
0.73  -0.864 0.343  0.028  0.43           0.68           0.70            19.10         53.63         54.49          0.67        0.86        0.87         12.10          40.04          40.93           7.01          13.59         13.56          
0.77  -0.860 0.335  0.000  0.28           0.86           0.90            -60.76        80.82         81.18          0.46        0.93        0.97         -32.34         65.50          66.35           -28.42        15.32         14.83          
0.80  -0.860 0.332  -0.032 0.08           0.96           0.96            -86.06        89.66         89.66          0.27        0.99        0.99         -17.92         75.04          75.10           -68.14        14.62         14.57          
0.83  -0.862 0.323  -0.068 0.29           1.08           1.11            -102.78       93.42         93.31          0.34        1.09        1.13         -56.72         80.18          80.50           -46.06        13.24         12.81          
0.87  -0.864 0.319  -0.092 0.15           0.75           0.76            -119.07       95.48         95.40          0.22        0.77        0.78         -35.74         76.52          76.71           -83.33        18.96         18.69          
0.90  -0.864 0.309  -0.128 0.30           1.07           1.12            -87.07        89.18         89.21          0.40        1.11        1.15         -48.42         76.13          76.61           -38.65        13.06         12.60          
0.93  -0.874 0.290  -0.161 0.64           1.03           1.17            -118.72       107.51        105.29         0.57        0.98        1.13         -96.01         93.47          93.01           -22.71        14.04         12.29          
0.97  -0.875 0.268  -0.200 0.67           1.17           1.34            -93.11        91.77         91.54          0.70        1.18        1.36         -72.16         79.59          80.94           -20.95        12.18         10.60          
1.00  -0.871 0.263  -0.217 0.20           0.53           0.55            -49.47        76.01         76.55          0.41        0.64        0.66         -21.63         53.69          54.80           -27.84        22.32         21.75          
1.03  -0.859 0.256  -0.245 0.42           0.91           0.93            -28.56        66.25         66.84          0.65        1.03        1.05         -17.92         53.48          54.24           -10.64        12.77         12.60          
1.07  -0.844 0.253  -0.265 0.43           0.73           0.74            -12.43        54.70         55.03          0.68        0.90        0.91         -7.89          41.62          41.97           -4.53         13.08         13.06          
1.10  -0.831 0.248  -0.281 0.44           0.63           0.65            -19.24        49.47         50.67          0.68        0.82        0.83         -12.24         36.02          37.19           -7.00         13.45         13.48          
1.13  -0.815 0.254  -0.295 0.51           0.64           0.66            21.33         42.46         44.85          0.74        0.84        0.86         14.31          30.88          33.03           7.02          11.58         11.82          
1.17  -0.798 0.261  -0.305 0.54           0.60           0.63            19.81         31.58         35.47          0.78        0.83        0.85         13.61          22.45          25.59           6.20          9.13          9.88           
1.20  -0.774 0.262  -0.312 0.72           0.74           0.74            3.57          15.06         15.44          0.97        0.99        0.99         2.65           11.28          11.57           0.92          3.78          3.87           
