time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.191 0.402  -0.214 
0.03  -1.183 0.420  -0.191 0.59           0.72           0.90            66.42         -70.91        74.83          0.72        0.83        0.99         47.99          -54.46         60.76           18.44         -16.45        14.06          
0.07  -1.175 0.439  -0.161 0.60           0.95           1.09            65.05         -74.51        76.61          0.74        1.04        1.17         47.23          -61.14         64.66           17.83         -13.37        11.95          
0.10  -1.175 0.450  -0.134 0.35           0.80           0.87            90.48         -90.21        90.19          0.43        0.84        0.91         54.69          -72.84         74.20           35.80         -17.37        16.00          
0.13  -1.178 0.461  -0.112 0.35           0.67           0.75            106.14        -98.35        97.46          0.37        0.68        0.76         65.66          -77.07         78.43           40.48         -21.28        19.03          
0.17  -1.184 0.475  -0.084 0.43           0.86           0.95            114.42        -102.04       100.93         0.40        0.84        0.93         79.89          -85.21         85.66           34.53         -16.84        15.27          
0.20  -1.191 0.479  -0.055 0.26           0.90           0.91            150.60        -104.40       104.25         0.13        0.88        0.88         78.69          -88.34         88.36           71.91         -16.05        15.89          
0.23  -1.200 0.474  -0.026 0.30           0.90           0.91            -153.51       -107.35       107.15         0.13        0.86        0.87         -97.83         -91.23         91.21           -55.69        -16.12        15.94          
0.27  -1.207 0.473  0.002  0.20           0.85           0.85            -166.10       -102.90       102.88         0.08        0.83        0.83         -37.71         -85.81         85.81           -128.39       -17.09        17.07          
0.30  -1.208 0.474  0.026  0.06           0.75           0.75            122.00        -92.44        92.44          0.22        0.78        0.78         13.12          -73.67         73.70           108.88        -18.78        18.73          
0.33  -1.209 0.478  0.049  0.11           0.69           0.70            104.34        -92.20        92.18          0.25        0.73        0.73         24.92          -72.07         72.25           79.42         -20.13        19.92          
0.37  -1.220 0.496  0.068  0.64           0.65           0.85            122.95        -122.43       114.41         0.55        0.56        0.78         100.49         -100.29        97.39           22.46         -22.14        17.02          
0.40  -1.213 0.508  0.084  0.42           0.53           0.64            58.82         -65.73        70.12          0.59        0.67        0.76         37.49          -45.83         52.08           21.33         -19.90        18.04          
0.43  -1.206 0.521  0.096  0.45           0.44           0.58            60.05         -59.17        67.48          0.61        0.60        0.72         39.36          -38.37         48.74           20.69         -20.80        18.74          
0.47  -1.203 0.545  0.104  0.72           0.25           0.76            83.23         -69.85        83.56          0.79        0.41        0.83         64.99          -34.74         66.07           18.24         -35.11        17.49          
0.50  -1.198 0.567  0.109  0.68           0.20           0.70            77.65         -43.30        77.90          0.78        0.42        0.79         59.33          -19.18         59.85           18.32         -24.11        18.04          
0.53  -1.197 0.575  0.108  0.23           0.03           0.23            84.54         34.25         84.55          0.36        0.27        0.36         40.20          3.15           40.26           44.33         31.10         44.28          
0.57  -1.192 0.593  0.102  0.57           0.24           0.60            74.22         50.14         75.02          0.68        0.45        0.71         53.61          24.67          55.08           20.61         25.47         19.93          
0.60  -1.183 0.621  0.082  0.88           0.65           1.06            71.13         64.10         74.38          0.99        0.79        1.15         57.29          47.62          62.29           13.84         16.48         12.09          
0.63  -1.174 0.629  0.072  0.34           0.39           0.46            45.33         52.20         58.61          0.55        0.58        0.63         26.43          32.36          38.85           18.90         19.84         19.76          
0.67  -1.138 0.635  0.063  1.10           1.12           1.13            9.11          14.12         16.61          1.35        1.36        1.37         7.42           11.55          13.62           1.69          2.57          2.98           
0.70  -1.125 0.634  0.046  0.40           0.65           0.65            -1.87         52.27         52.28          0.65        0.83        0.83         -1.15          38.48          38.49           -0.72         13.79         13.79          
0.73  -1.094 0.632  0.029  0.95           1.07           1.07            -4.49         27.58         27.84          1.20        1.29        1.29         -3.55          22.44          22.66           -0.94         5.14          5.17           
0.77  -1.074 0.632  0.010  0.59           0.83           0.83            0.16          44.67         44.67          0.84        1.02        1.02         0.11           34.75          34.75           0.05          9.92          9.92           
0.80  -1.049 0.610  -0.012 0.98           0.99           1.19            -41.67        42.38         51.89          1.18        1.19        1.36         -33.58         34.23          43.55           -8.10         8.15          8.34           
0.83  -1.028 0.596  -0.045 0.77           1.18           1.25            -32.68        56.51         58.65          0.99        1.33        1.40         -24.87         47.52          49.87           -7.81         8.99          8.78           
0.87  -1.008 0.584  -0.078 0.70           1.15           1.21            -32.40        58.95         60.64          0.92        1.29        1.35         -24.05         49.43          51.34           -8.35         9.52          9.30           
0.90  -0.993 0.567  -0.113 0.68           1.15           1.25            -46.46        66.10         68.12          0.87        1.27        1.36         -34.40         55.74          58.32           -12.06        10.35         9.80           
0.93  -0.984 0.561  -0.154 0.32           1.26           1.28            -38.92        78.70         78.84          0.54        1.34        1.35         -21.89         68.12          68.37           -17.03        10.58         10.47          
0.97  -0.967 0.555  -0.195 0.53           1.33           1.34            -17.08        67.52         67.69          0.77        1.44        1.45         -11.64         58.32          58.52           -5.44         9.21          9.16           
1.00  -0.963 0.556  -0.235 0.12           1.19           1.19            5.22          84.30         84.30          0.37        1.24        1.24         1.68           72.68          72.69           3.54          11.61         11.61          
1.03  -0.957 0.558  -0.270 0.21           1.09           1.09            17.28         79.16         79.18          0.46        1.16        1.16         7.96           66.93          66.97           9.32          12.23         12.21          
1.07  -0.956 0.551  -0.308 0.20           1.13           1.14            -85.21        89.16         89.18          0.33        1.16        1.17         -36.35         76.70          76.89           -48.86        12.47         12.29          
1.10  -0.949 0.562  -0.345 0.39           1.13           1.17            57.30         79.33         79.75          0.56        1.20        1.24         35.30          67.49          68.31           22.00         11.85         11.44          
1.13  -0.944 0.563  -0.372 0.16           0.84           0.84            6.84          79.20         79.20          0.41        0.92        0.92         2.66           63.77          63.77           4.18          15.43         15.43          
1.17  -0.948 0.578  -0.395 0.46           0.68           0.81            105.51        100.35        98.67          0.46        0.68        0.81         73.87          79.23          80.97           31.64         21.12         17.70          
1.20  -0.950 0.588  -0.407 0.31           0.38           0.49            104.31        101.71        99.14          0.35        0.41        0.51         60.57          65.37          70.41           43.74         36.34         28.72          
1.23  -0.954 0.600  -0.413 0.38           0.22           0.42            108.40        122.70        106.46         0.38        0.23        0.42         69.70          54.48          71.82           38.70         68.21         34.64          
1.27  -0.957 0.607  -0.415 0.23           0.11           0.24            111.78        142.60        110.91         0.27        0.18        0.28         52.28          21.55          53.51           59.50         121.05        57.40          
1.30  -0.966 0.612  -0.415 0.30           0.26           0.30            149.06        -174.53       148.74         0.15        0.02        0.15         91.57          -99.76         91.56           57.48         -74.77        57.18          
1.33  -0.976 0.610  -0.409 0.32           0.35           0.35            -168.86       -153.61       151.90         0.09        0.17        0.18         -135.53        -112.03        110.61          -33.32        -41.59        41.30          
1.37  -0.981 0.608  -0.404 0.16           0.23           0.23            -166.49       -134.17       133.41         0.10        0.19        0.19         -22.54         -60.65         61.29           -143.95       -73.52        72.12          
1.40  -0.989 0.604  -0.390 0.25           0.46           0.48            -146.53       -117.67       116.36         0.15        0.41        0.43         -74.83         -84.63         84.93           -71.70        -33.04        31.43          
1.43  -0.994 0.601  -0.372 0.19           0.58           0.59            -153.13       -106.58       106.41         0.12        0.57        0.57         -45.37         -81.53         81.62           -107.77       -25.06        24.79          
1.47  -1.010 0.587  -0.347 0.65           0.88           0.98            -138.58       -123.54       119.78         0.49        0.77        0.88         -118.77        -107.80        105.49          -19.81        -15.74        14.29          
1.50  -1.025 0.582  -0.326 0.47           0.77           0.78            -164.01       -125.72       125.16         0.24        0.66        0.67         -147.32        -107.81        107.46          -16.69        -17.91        17.70          
1.53  -1.038 0.574  -0.296 0.45           1.00           1.03            -144.96       -111.79       111.05         0.29        0.94        0.97         -114.91        -97.42         97.14           -30.04        -14.37        13.90          
1.57  -1.048 0.562  -0.267 0.48           0.92           0.99            -131.37       -110.01       108.60         0.37        0.87        0.94         -100.45        -94.36         94.03           -30.92        -15.65        14.57          
1.60  -1.058 0.555  -0.232 0.37           1.07           1.09            -146.15       -106.47       106.18         0.21        1.03        1.05         -104.65        -92.97         92.91           -41.50        -13.51        13.27          
1.63  -1.064 0.542  -0.199 0.43           1.03           1.10            -112.51       -99.22        98.59          0.41        1.02        1.09         -77.92         -85.21         85.54           -34.60        -14.01        13.06          
1.67  -1.070 0.535  -0.158 0.28           1.25           1.26            -134.73       -98.97        98.86          0.20        1.23        1.25         -74.17         -87.41         87.45           -60.55        -11.56        11.41          
1.70  -1.078 0.535  -0.125 0.24           1.00           1.00            -178.03       -103.63       103.63         0.02        0.98        0.98         -31.65         -89.22         89.22           -146.38       -14.41        14.41          
1.73  -1.086 0.536  -0.097 0.23           0.86           0.87            171.58        -105.23       105.22         0.04        0.83        0.84         55.85          -88.43         88.44           115.73        -16.79        16.78          
1.77  -1.091 0.537  -0.074 0.16           0.71           0.72            171.05        -102.75       102.74         0.10        0.70        0.70         15.07          -82.47         82.47           155.98        -20.28        20.27          
1.80  -1.094 0.556  -0.053 0.59           0.64           0.87            99.07         -98.34        96.16          0.61        0.66        0.88         75.04          -76.22         79.76           24.03         -22.12        16.40          
1.83  -1.098 0.567  -0.045 0.33           0.27           0.41            110.99        -116.30       106.86         0.34        0.27        0.41         67.13          -61.49         71.58           43.86         -54.80        35.29          
1.87  -1.102 0.586  -0.043 0.59           0.14           0.59            102.92        -162.91       102.88         0.59        0.12        0.59         78.43          -18.99         78.45           24.49         -143.92       24.43          
1.90  -1.104 0.605  -0.048 0.57           0.16           0.59            95.90         112.27        95.73          0.60        0.24        0.62         71.54          37.10          72.07           24.36         75.17         23.66          
1.93  -1.114 0.627  -0.051 0.72           0.31           0.73            113.89        161.07        113.65         0.66        0.11        0.67         93.65          112.80         93.61           20.24         48.27         20.04          
1.97  -1.108 0.654  -0.062 0.82           0.37           0.88            77.88         62.53         78.77          0.90        0.54        0.96         62.20          38.09          64.02           15.67         24.44         14.75          
2.00  -1.124 0.666  -0.082 0.60           0.75           0.83            143.17        129.34        124.94         0.42        0.62        0.72         122.39         111.28         108.36          20.78         18.06         16.58          
2.03  -1.133 0.681  -0.107 0.53           0.81           0.92            121.37        109.89        107.28         0.45        0.76        0.88         93.06          91.82          91.56           28.31         18.07         15.72          
2.07  -1.149 0.693  -0.128 0.59           0.78           0.87            139.86        125.45        121.40         0.43        0.67        0.77         117.99         107.70         105.30          21.87         17.75         16.10          
2.10  -1.156 0.700  -0.152 0.30           0.76           0.78            139.49        107.81        107.21         0.20        0.72        0.75         84.64          88.53          88.58           54.85         19.29         18.64          
2.13  -1.162 0.708  -0.181 0.30           0.89           0.92            124.61        100.88        100.49         0.26        0.88        0.91         71.30          84.61          84.81           53.31         16.27         15.68          
2.17  -1.169 0.699  -0.213 0.36           0.96           1.00            -128.22       103.30        102.76         0.28        0.94        0.98         -84.20         88.26          88.33           -44.02        15.04         14.43          
2.20  -1.176 0.709  -0.250 0.37           1.15           1.19            121.71        99.78         99.42          0.32        1.13        1.18         80.18          87.24          87.34           41.53         12.54         12.09          
2.23  -1.173 0.711  -0.286 0.10           1.07           1.07            34.09         85.67         85.67          0.34        1.12        1.12         9.38           72.77          72.79           24.71         12.90         12.89          
2.27  -1.169 0.713  -0.316 0.14           0.92           0.92            28.19         82.37         82.38          0.38        0.98        0.98         9.96           67.76          67.81           18.23         14.61         14.58          
2.30  -1.172 0.698  -0.345 0.46           0.86           0.98            -99.35        94.97         94.40          0.49        0.88        0.99         -68.89         78.48          79.79           -30.46        16.48         14.61          
2.33  -1.162 0.693  -0.383 0.34           1.19           1.20            -27.77        75.49         75.62          0.57        1.28        1.29         -15.99         64.57          64.77           -11.78        10.92         10.85          
2.37  -1.163 0.688  -0.413 0.15           0.88           0.90            -102.09       92.01         91.98          0.26        0.91        0.92         -33.49         76.09          76.27           -68.60        15.92         15.71          
2.40  -1.160 0.683  -0.443 0.15           0.92           0.93            -63.43        85.88         85.92          0.34        0.97        0.98         -22.67         70.97          71.15           -40.76        14.91         14.77          
2.43  -1.131 0.674  -0.477 0.92           1.34           1.37            -17.58        48.99         50.03          1.17        1.52        1.54         -13.87         41.86          42.90           -3.71         7.13          7.12           
2.47  -1.121 0.661  -0.499 0.49           0.73           0.82            -51.68        65.36         68.36          0.67        0.86        0.94         -34.72         50.06          54.09           -16.95        15.30         14.27          
2.50  -1.105 0.652  -0.517 0.56           0.73           0.78            -29.87        47.90         51.27          0.79        0.92        0.96         -20.81         36.22          39.53           -9.06         11.68         11.74          
2.53  -1.081 0.642  -0.532 0.77           0.83           0.88            -23.72        32.06         37.42          1.00        1.05        1.09         -17.95         24.79          29.43           -5.77         7.27          7.99           
2.57  -1.060 0.628  -0.526 0.76           0.67           0.78            -32.28        -15.71        34.66          0.98        0.91        1.00         -24.45         -11.45         26.46           -7.83         -4.26         8.20           
2.60  -1.032 0.613  -0.520 0.94           0.84           0.95            -28.38        -11.48        29.99          1.16        1.09        1.18         -22.52         -8.86          23.89           -5.85         -2.62         6.10           
2.63  -1.007 0.591  -0.505 1.01           0.88           1.11            -42.15        -32.20        47.80          1.21        1.10        1.29         -34.15         -25.27         39.57           -8.00         -6.94         8.22           
2.67  -0.970 0.581  -0.485 1.15           1.26           1.29            -14.14        -27.79        30.29          1.39        1.48        1.51         -11.62         -23.28         25.50           -2.52         -4.51         4.79           
