time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.125 0.283  -0.269 
0.03  -1.130 0.283  -0.239 0.14           0.90           0.90            177.96        -99.16        99.16          0.11        0.90        0.90         2.77           -83.21         83.21           175.19        -15.94        15.94          
0.07  -1.125 0.284  -0.208 0.15           0.94           0.94            16.80         -81.06        81.07          0.40        1.01        1.01         6.36           -66.93         66.96           10.44         -14.13        14.12          
0.10  -1.115 0.285  -0.178 0.29           0.95           0.95            2.61          -72.01        72.01          0.54        1.05        1.05         1.41           -58.97         58.98           1.20          -13.04        13.04          
0.13  -1.107 0.289  -0.148 0.26           0.94           0.94            27.12         -75.66        75.78          0.50        1.03        1.03         13.84          -62.02         62.22           13.28         -13.64        13.56          
0.17  -1.101 0.303  -0.113 0.45           1.05           1.13            66.26         -80.03        80.73          0.60        1.12        1.20         43.76          -67.36         68.83           22.49         -12.68        11.91          
0.20  -1.095 0.317  -0.083 0.45           0.92           1.01            67.06         -78.89        79.90          0.60        1.00        1.08         44.38          -64.64         66.73           22.67         -14.25        13.17          
0.23  -1.088 0.329  -0.047 0.43           1.10           1.16            59.45         -78.44        79.06          0.60        1.17        1.23         38.38          -66.38         67.55           21.06         -12.06        11.52          
0.27  -1.080 0.343  -0.013 0.47           1.07           1.15            60.62         -77.57        78.40          0.63        1.15        1.22         40.42          -65.31         66.82           20.21         -12.26        11.58          
0.30  -1.071 0.356  0.023  0.50           1.12           1.19            55.23         -75.13        76.07          0.68        1.21        1.27         37.57          -63.56         65.09           17.65         -11.56        10.98          
0.33  -1.070 0.365  0.050  0.25           0.79           0.83            86.12         -88.78        88.83          0.37        0.84        0.87         43.10          -71.43         72.23           43.02         -17.35        16.60          
0.37  -1.057 0.375  0.071  0.49           0.73           0.79            38.67         -58.33        61.05          0.71        0.89        0.94         25.87          -44.49         47.61           12.80         -13.84        13.44          
0.40  -1.050 0.385  0.097  0.39           0.81           0.87            53.84         -73.68        74.79          0.57        0.92        0.97         33.19          -58.51         60.37           20.65         -15.17        14.42          
0.43  -1.034 0.400  0.113  0.65           0.68           0.81            43.63         -45.97        54.59          0.85        0.87        0.98         31.89          -34.02         42.55           11.75         -11.95        12.04          
0.47  -1.019 0.410  0.133  0.53           0.74           0.79            33.06         -52.94        55.87          0.75        0.91        0.95         22.61          -40.27         43.35           10.45         -12.67        12.53          
0.50  -1.012 0.421  0.134  0.40           0.23           0.40            55.87         -10.88        56.09          0.58        0.48        0.58         34.89          -5.19          35.12           20.98         -5.69         20.98          
0.53  -0.980 0.407  0.156  1.05           1.17           1.24            -23.67        -34.64        39.29          1.28        1.38        1.44         -19.18         -28.74         33.00           -4.49         -5.90         6.29           
0.57  -0.960 0.391  0.167  0.76           0.67           0.82            -38.74        -28.20        43.98          0.97        0.90        1.02         -29.41         -20.65         34.14           -9.33         -7.55         9.84           
0.60  -0.934 0.372  0.162  0.96           0.79           0.97            -36.12        10.18         36.92          1.17        1.04        1.18         -28.90         7.73           29.61           -7.22         2.44          7.31           
0.63  -0.912 0.357  0.154  0.81           0.70           0.85            -35.21        19.47         38.28          1.03        0.94        1.05         -27.14         14.40          29.83           -8.06         5.06          8.45           
0.67  -0.883 0.344  0.153  0.95           0.88           0.95            -22.44        1.65          22.49          1.18        1.13        1.18         -17.81         1.28           17.85           -4.62         0.37          4.63           
0.70  -0.861 0.333  0.133  0.73           0.89           0.95            -27.67        43.26         47.13          0.96        1.08        1.13         -20.70         34.15          37.83           -6.97         9.11          9.30           
0.73  -0.842 0.328  0.113  0.59           0.83           0.84            -15.84        46.58         47.57          0.83        1.01        1.03         -11.15         36.27          37.23           -4.69         10.31         10.35          
0.77  -0.814 0.307  0.074  1.05           1.46           1.59            -35.58        54.16         57.32          1.26        1.62        1.73         -28.98         46.99          50.35           -6.61         7.18          6.97           
0.80  -0.789 0.295  0.048  0.83           1.07           1.13            -25.55        45.52         48.37          1.06        1.26        1.31         -19.71         37.36          40.14           -5.83         8.16          8.22           
0.83  -0.768 0.283  0.025  0.71           0.92           0.99            -30.82        48.15         51.69          0.93        1.10        1.16         -22.95         38.39          41.93           -7.88         9.76          9.76           
0.87  -0.753 0.277  -0.006 0.50           1.06           1.08            -23.10        64.08         64.55          0.74        1.19        1.20         -15.47         53.17          53.75           -7.63         10.91         10.80          
0.90  -0.732 0.261  -0.034 0.80           1.05           1.16            -36.89        52.52         56.39          1.01        1.22        1.31         -28.36         43.16          47.25           -8.54         9.36          9.14           
0.93  -0.721 0.249  -0.075 0.47           1.26           1.30            -46.86        75.16         75.69          0.67        1.34        1.38         -30.98         64.78          65.62           -15.88        10.38         10.07          
0.97  -0.705 0.240  -0.107 0.56           1.09           1.13            -30.56        63.71         64.63          0.79        1.22        1.26         -21.27         53.16          54.28           -9.28         10.55         10.35          
1.00  -0.702 0.237  -0.136 0.12           0.88           0.88            -50.13        84.87         84.90          0.34        0.93        0.94         -15.94         69.38          69.49           -34.19        15.49         15.41          
1.03  -0.700 0.238  -0.177 0.08           1.21           1.21            18.41         86.42         86.43          0.33        1.25        1.25         4.42           74.95          74.95           13.99         11.47         11.47          
1.07  -0.700 0.243  -0.192 0.17           0.47           0.50            88.52         89.45         89.49          0.31        0.53        0.56         34.12          61.40          62.91           54.40         28.06         26.58          
1.10  -0.698 0.245  -0.210 0.06           0.52           0.52            42.33         85.34         85.35          0.29        0.60        0.60         7.52           60.65          60.71           34.81         24.69         24.64          
1.13  -0.696 0.238  -0.222 0.21           0.39           0.44            -73.48        81.11         82.12          0.37        0.49        0.53         -33.05         50.97          54.36           -40.43        30.14         27.76          
1.17  -0.696 0.249  -0.238 0.35           0.46           0.58            88.41         88.80         89.04          0.43        0.53        0.63         53.25          60.70          65.84           35.16         28.11         23.21          
1.20  -0.691 0.248  -0.246 0.15           0.28           0.28            -10.59        58.01         58.19          0.40        0.46        0.47         -3.99          30.87          31.04           -6.60         27.14         27.15          
1.23  -0.688 0.260  -0.264 0.35           0.57           0.66            75.20         81.09         82.32          0.48        0.66        0.74         44.63          58.98          62.66           30.57         22.10         19.66          
1.27  -0.676 0.257  -0.277 0.36           0.51           0.51            -10.65        46.25         46.71          0.60        0.70        0.71         -6.26          31.34          31.75           -4.39         14.91         14.96          
1.30  -0.660 0.261  -0.293 0.48           0.67           0.68            11.41         45.24         45.80          0.73        0.87        0.87         7.53           33.46          33.97           3.88          11.79         11.83          
1.33  -0.646 0.266  -0.300 0.46           0.48           0.51            22.66         28.95         34.72          0.69        0.71        0.73         14.68          19.15          23.51           7.98          9.81          11.22          
1.37  -0.627 0.275  -0.325 0.64           0.94           0.97            24.58         51.78         53.46          0.87        1.11        1.14         17.73          41.58          43.33           6.85          10.19         10.14          
1.40  -0.601 0.292  -0.345 0.93           0.99           1.11            32.41         37.92         45.14          1.15        1.20        1.30         25.71          30.58          37.32           6.70          7.34          7.83           
1.43  -0.574 0.305  -0.362 0.89           0.95           1.02            25.95         32.62         38.80          1.12        1.16        1.23         20.33          25.97          31.47           5.62          6.64          7.33           
1.47  -0.545 0.299  -0.371 0.91           0.93           0.95            -11.73        17.05         20.32          1.16        1.17        1.19         -9.22          13.47          16.14           -2.52         3.58          4.19           
1.50  -0.515 0.307  -0.390 0.91           1.04           1.07            16.77         32.64         35.29          1.16        1.26        1.29         13.19          26.48          28.84           3.58          6.15          6.45           
1.53  -0.477 0.309  -0.406 1.14           1.24           1.24            2.29          22.67         22.76          1.39        1.47        1.47         1.88           18.91          18.99           0.41          3.76          3.77           
1.57  -0.453 0.328  -0.422 0.92           0.87           1.04            38.61         34.38         46.44          1.12        1.08        1.23         30.63          26.90          37.95           7.98          7.48          8.49           
1.60  -0.422 0.338  -0.433 0.98           0.99           1.03            17.86         19.12         25.33          1.22        1.22        1.26         14.25          15.28          20.46           3.61          3.84          4.87           
1.63  -0.389 0.348  -0.441 1.05           1.03           1.08            17.08         14.06         21.62          1.29        1.28        1.31         13.81          11.34          17.60           3.26          2.73          4.02           
1.67  -0.351 0.337  -0.457 1.19           1.23           1.28            -16.57        22.47         27.00          1.43        1.47        1.51         -13.72         18.73          22.68           -2.86         3.73          4.32           
1.70  -0.312 0.340  -0.466 1.16           1.19           1.19            4.12          12.79         13.39          1.41        1.44        1.44         3.39           10.58          11.09           0.73          2.21          2.31           
1.73  -0.288 0.342  -0.469 0.72           0.72           0.73            5.38          7.03          8.82           0.97        0.97        0.97         4.00           5.23           6.57            1.38          1.80          2.25           
1.77  -0.258 0.339  -0.467 0.92           0.92           0.92            -5.65         -2.74         6.27           1.17        1.17        1.17         -4.45          -2.16          4.94            -1.20         -0.59         1.34           
1.80  -0.238 0.337  -0.454 0.60           0.72           0.72            -4.75         -33.58        33.79          0.85        0.94        0.94         -3.36          -25.12         25.29           -1.39         -8.46         8.49           
1.83  -0.224 0.333  -0.450 0.44           0.44           0.46            -16.00        -14.80        21.30          0.69        0.68        0.70         -10.24         -9.44          13.79           -5.77         -5.35         7.51           
1.87  -0.201 0.317  -0.428 0.85           0.96           1.08            -35.99        -43.93        50.35          1.06        1.15        1.25         -28.06         -35.26         41.52           -7.93         -8.67         8.82           
1.90  -0.181 0.308  -0.398 0.63           1.09           1.12            -24.92        -58.03        59.06          0.87        1.24        1.27         -17.95         -48.16         49.31           -6.97         -9.87         9.75           
1.93  -0.175 0.290  -0.373 0.57           0.77           0.93            -70.08        -75.35        78.03          0.70        0.86        1.02         -50.32         -59.10         64.11           -19.76        -16.25        13.92          
1.97  -0.162 0.271  -0.342 0.68           1.00           1.15            -55.09        -67.18        70.19          0.85        1.12        1.25         -41.09         -55.34         59.37           -14.00        -11.84        10.82          
2.00  -0.151 0.260  -0.313 0.45           0.92           0.98            -45.90        -69.90        71.10          0.65        1.03        1.08         -29.95         -56.76         58.49           -15.95        -13.14        12.62          
2.03  -0.129 0.243  -0.284 0.86           1.11           1.23            -37.86        -52.38        56.53          1.07        1.28        1.38         -29.60         -43.49         47.87           -8.26         -8.90         8.66           
2.07  -0.117 0.224  -0.253 0.67           0.99           1.14            -57.13        -68.54        71.43          0.83        1.11        1.24         -42.51         -56.43         60.45           -14.62        -12.11        10.99          
2.10  -0.105 0.231  -0.228 0.41           0.82           0.84            30.41         -64.50        65.33          0.64        0.95        0.98         18.95          -50.80         51.86           11.46         -13.70        13.47          
2.13  -0.092 0.224  -0.203 0.45           0.87           0.89            -27.38        -62.77        63.56          0.68        1.01        1.03         -17.62         -50.00         50.97           -9.76         -12.77        12.60          
2.17  -0.072 0.211  -0.191 0.71           0.68           0.78            -32.78        -29.62        40.66          0.93        0.91        0.99         -24.38         -21.81         31.16           -8.40         -7.81         9.51           
