time  x      y      z      groundspeedxy  groundspeedxz  groundspeedxyz  trackanglexy  trackanglexz  trackanglexyz  airspeedxy  airspeedxz  airspeedxyz  courseanglexy  courseanglexz  courseanglexyz  driftanglexy  driftanglexz  driftanglexyz  
0.00  -1.174 0.507  -0.350 
0.03  -1.168 0.511  -0.366 0.22           0.53           0.54            28.79         68.55         68.99          0.46        0.66        0.67         13.45          47.94          48.59           15.33         20.61         20.41          
0.07  -1.149 0.507  -0.388 0.56           0.87           0.87            -9.71         50.52         50.79          0.81        1.04        1.05         -6.71          39.85          40.13           -3.00         10.66         10.66          
0.10  -1.143 0.502  -0.407 0.27           0.59           0.62            -39.08        69.49         70.31          0.49        0.72        0.74         -20.22         50.47          51.71           -18.87        19.02         18.60          
0.13  -1.118 0.498  -0.428 0.73           0.96           0.96            -8.90         40.87         41.33          0.98        1.16        1.16         -6.64          32.74          33.16           -2.26         8.13          8.17           
0.17  -1.113 0.484  -0.453 0.46           0.77           0.88            -68.79        77.56         79.15          0.59        0.86        0.96         -45.71         61.00          64.27           -23.08        16.57         14.88          
0.20  -1.097 0.484  -0.478 0.49           0.89           0.89            1.34          56.93         56.93          0.74        1.05        1.05         0.88           45.38          45.38           0.46          11.55         11.55          
0.23  -1.104 0.479  -0.491 0.27           0.46           0.48            -145.29       118.62        117.04         0.15        0.40        0.43         -78.36         85.55          85.83           -66.92        33.08         31.21          
0.27  -1.081 0.474  -0.516 0.71           1.03           1.05            -13.41        47.73         48.38          0.96        1.21        1.23         -9.94          38.97          39.61           -3.47         8.76          8.77           
0.30  -1.071 0.469  -0.539 0.33           0.75           0.76            -23.74        65.93         66.33          0.57        0.88        0.89         -13.57         50.87          51.40           -10.16        15.06         14.93          
0.33  -1.064 0.465  -0.558 0.25           0.60           0.61            -33.30        69.83         70.35          0.48        0.72        0.73         -16.51         50.85          51.65           -16.79        18.97         18.70          
0.37  -1.050 0.475  -0.576 0.51           0.69           0.76            37.38         53.90         57.50          0.73        0.86        0.92         25.34          40.36          44.21           12.04         13.54         13.29          
0.40  -1.044 0.480  -0.590 0.24           0.46           0.48            39.61         65.66         67.04          0.47        0.61        0.62         19.59          43.55          45.43           20.03         22.11         21.62          
0.43  -1.040 0.485  -0.603 0.20           0.40           0.43            47.96         70.63         71.86          0.41        0.54        0.56         21.04          44.61          46.63           26.92         26.02         25.23          
0.47  -1.034 0.494  -0.613 0.31           0.33           0.42            58.76         61.69         68.06          0.48        0.50        0.57         32.61          35.77          43.94           26.15         25.92         24.13          
0.50  -1.014 0.501  -0.626 0.65           0.75           0.78            18.25         33.75         36.69          0.90        0.97        0.99         13.23          25.48          27.99           5.02          8.27          8.70           
0.53  -1.009 0.502  -0.633 0.13           0.23           0.23            13.79         56.53         56.87          0.38        0.42        0.42         4.71           26.91          27.21           9.08          29.62         29.66          
0.57  -1.013 0.508  -0.627 0.20           0.20           0.26            120.69        -121.82       113.21         0.23        0.22        0.28         50.29          -49.03         59.03           70.40         -72.78        54.18          
0.60  -1.009 0.510  -0.629 0.15           0.13           0.15            35.79         22.10         39.61          0.38        0.37        0.38         13.09          7.46           14.94           22.71         14.64         24.67          
0.63  -1.008 0.511  -0.629 0.03           0.02           0.03            56.82         18.11         57.40          0.27        0.27        0.27         5.72           1.23           5.85            51.10         16.88         51.55          
0.67  -1.007 0.508  -0.628 0.12           0.05           0.13            -76.48        -57.50        77.32          0.30        0.28        0.30         -22.60         -8.93          23.99           -53.88        -48.57        53.33          
0.70  -0.989 0.507  -0.627 0.55           0.55           0.55            -1.60         -0.91         1.84           0.80        0.80        0.80         -1.09          -0.63          1.26            -0.50         -0.29         0.58           
0.73  -0.985 0.506  -0.618 0.14           0.31           0.32            -16.36        -64.20        64.42          0.39        0.48        0.48         -5.93          -36.20         36.47           -10.43        -28.00        27.95          
0.77  -0.970 0.504  -0.611 0.45           0.49           0.49            -5.15         -24.80        25.21          0.69        0.72        0.72         -3.30          -16.47         16.76           -1.85         -8.33         8.45           
0.80  -0.970 0.499  -0.604 0.15           0.22           0.27            -94.40        -92.92        92.44          0.28        0.33        0.36         -31.76         -43.04         48.25           -62.64        -49.88        44.19          
0.83  -0.963 0.499  -0.587 0.23           0.55           0.55            -0.39         -64.97        64.97          0.48        0.69        0.69         -0.19          -45.88         45.88           -0.20         -19.09        19.09          
0.87  -0.960 0.503  -0.572 0.14           0.45           0.46            49.09         -78.57        78.86          0.35        0.56        0.56         16.84          -52.39         53.12           32.24         -26.18        25.74          
0.90  -0.957 0.494  -0.555 0.27           0.52           0.58            -72.14        -80.81        81.77          0.42        0.62        0.67         -37.88         -57.16         60.02           -34.26        -23.65        21.75          
0.93  -0.950 0.488  -0.535 0.27           0.62           0.65            -46.24        -72.50        73.33          0.48        0.74        0.76         -24.13         -53.68         55.08           -22.11        -18.82        18.25          
0.97  -0.952 0.482  -0.512 0.17           0.71           0.73            -108.90       -94.56        94.44          0.25        0.74        0.75         -40.53         -74.75         75.13           -68.37        -19.81        19.31          
1.00  -0.939 0.478  -0.494 0.41           0.65           0.66            -15.58        -52.94        53.54          0.65        0.82        0.83         -9.66          -38.95         39.55           -5.92         -14.00        13.98          
1.03  -0.934 0.477  -0.480 0.17           0.46           0.47            -19.86        -70.15        70.30          0.41        0.60        0.60         -7.94          -46.93         47.17           -11.92        -23.21        23.13          
1.07  -0.936 0.467  -0.465 0.30           0.44           0.53            -100.90       -97.31        96.09          0.35        0.48        0.56         -56.59         -66.28         69.91           -44.30        -31.04        26.18          
1.10  -0.940 0.468  -0.443 0.13           0.67           0.67            161.12        -100.25       100.23         0.14        0.67        0.67         17.11          -78.64         78.66           144.01        -21.61        21.57          
1.13  -0.946 0.462  -0.425 0.28           0.57           0.60            -135.46       -110.13       109.02         0.20        0.54        0.57         -74.44         -84.27         84.60           -61.03        -25.86        24.42          
1.17  -0.950 0.448  -0.414 0.42           0.37           0.55            -103.76       -105.79       100.49         0.44        0.38        0.56         -69.87         -67.06         74.51           -33.89        -38.73        25.97          
1.20  -0.947 0.446  -0.397 0.10           0.51           0.52            -30.44        -80.20        80.25          0.34        0.61        0.61         -8.67          -56.36         56.50           -21.77        -23.84        23.75          
1.23  -0.941 0.441  -0.383 0.25           0.46           0.48            -41.23        -65.90        67.39          0.47        0.60        0.62         -20.51         -43.65         45.70           -20.73        -22.25        21.69          
1.27  -0.927 0.441  -0.361 0.41           0.78           0.78            -1.64         -58.07        58.07          0.66        0.94        0.94         -1.02          -45.01         45.01           -0.62         -13.06        13.06          
1.30  -0.930 0.441  -0.347 0.10           0.43           0.43            169.87        -103.20       103.19         0.15        0.44        0.44         6.49           -69.77         69.79           163.39        -33.43        33.41          
1.33  -0.922 0.446  -0.331 0.28           0.53           0.55            32.36         -63.16        64.27          0.51        0.68        0.70         17.23          -44.03         45.43           15.14         -19.13        18.84          
1.37  -0.922 0.445  -0.314 0.04           0.50           0.50            -80.27        -89.23        89.23          0.26        0.56        0.56         -8.68          -62.88         62.95           -71.59        -26.35        26.28          
