x,y
-194.0476190476,14.4761904762
-192.619047619,14.0952380952
-191.9047619048,13.3333333333
-191.4285714286,12.9523809524
-189.7619047619,13.1428571429
-187.1428571429,13.2380952381
-185.4761904762,12.4761904762
-182.8571428571,12.7619047619
-179.0476190476,13.9047619048
-175.2380952381,13.619047619
-172.619047619,12.7619047619
-171.1904761905,12
-170.7142857143,9.2380952381
-168.3333333333,9.3333333333
-165.7142857143,9.3333333333
-165,11.3333333333
-163.0952380952,12.4761904762
-161.6666666667,13.619047619
-159.2857142857,13.3333333333
-158.5714285714,14.6666666667
-156.6666666667,15.3333333333
-156.1904761905,17.1428571429
-154.2857142857,18.5714285714
-154.0476190476,15.619047619
-153.3333333333,13.1428571429
-152.8571428571,11.8095238095
-151.4285714286,10.7619047619
-150,9.8095238095
-150,8.2857142857
-146.9047619048,9.2380952381
-145.9523809524,11.9047619048
-145.2380952381,13.8095238095
-143.3333333333,13.2380952381
-141.6666666667,14.4761904762
-140.4761904762,15.0476190476
-140,13.7142857143
-139.2857142857,12
-136.9047619048,11.4285714286
-135.9523809524,12.380952381
-134.7619047619,11.5238095238
-132.619047619,11.3333333333
-131.1904761905,10.6666666667
-130,10.4761904762
-128.5714285714,11.1428571429
-128.3333333333,11.8095238095
-130,12.1904761905
-131.6666666667,12.2857142857
-130.2380952381,13.1428571429
-127.1428571429,14.1904761905
-123.3333333333,14.9523809524
-120.2380952381,15.4285714286
-117.380952381,15.619047619
-115,15.7142857143
-111.6666666667,16.0952380952
-110.2380952381,14.6666666667
-110.4761904762,11.619047619
-110.7142857143,10
-110.7142857143,8.5714285714
-108.8095238095,9.5238095238
-107.1428571429,9.1428571429
-104.7619047619,11.4285714286
-102.8571428571,11.7142857143
-101.9047619048,12.7619047619
-101.4285714286,14
-100.2380952381,15.7142857143
-99.0476190476,17.1428571429
-97.380952381,18.2857142857
-96.4285714286,16.2857142857
-95,14.380952381
-94.5238095238,13.3333333333
-92.619047619,12.8571428571
-90.4761904762,13.0476190476
-90.4761904762,14.1904761905
-89.5238095238,15.619047619
-89.0476190476,17.3333333333
-86.9047619048,18.380952381
-85.4761904762,15.9047619048
-85.4761904762,13.2380952381
-83.3333333333,12
-82.619047619,11.2380952381
-80.7142857143,11.0476190476
-80.2380952381,13.619047619
-77.619047619,15.1428571429
-76.4285714286,16.7619047619
-75.7142857143,18.8571428571
-73.8095238095,18.6666666667
-72.380952381,16.6666666667
-70.9523809524,15.619047619
-69.2857142857,14.8571428571
-68.3333333333,11.8095238095
-67.8571428571,10.5714285714
-66.9047619048,9.3333333333
-66.6666666667,8.4761904762
-65.4761904762,7.2380952381
-63.3333333333,7.619047619
-61.4285714286,7.1428571429
-62.619047619,11.3333333333
-60.9523809524,13.3333333333
-59.7619047619,14.380952381
-58.0952380952,15.2380952381
-57.1428571429,16
-56.4285714286,17.7142857143
-55.2380952381,19.5238095238
-54.0476190476,20.5714285714
-53.3333333333,22.0952380952
-51.1904761905,21.7142857143
-50.4761904762,19.8095238095
-48.8095238095,18.4761904762
-47.8571428571,17.3333333333
-46.9047619048,16
-46.4285714286,13.9047619048
-45,12.7619047619
-44.0476190476,10.9523809524
-44.0476190476,9.4285714286
-42.1428571429,7.619047619
-40.4761904762,6.2857142857
-39.7619047619,8
-39.7619047619,10.8571428571
-39.7619047619,13.3333333333
-37.8571428571,14.8571428571
-35.9523809524,15.5238095238
-35.2380952381,17.3333333333
-33.8095238095,17.8095238095
-31.4285714286,17.7142857143
-30.2380952381,15.1428571429
-29.5238095238,13.8095238095
-28.8095238095,11.5238095238
-27.1428571429,11.3333333333
-26.9047619048,15.2380952381
-25,17.1428571429
-23.8095238095,18.380952381
-22.619047619,19.1428571429
-20,19.1428571429
-18.5714285714,19.3333333333
-17.619047619,18
-16.9047619048,15.0476190476
-15.4761904762,14.4761904762
-13.5714285714,13.4285714286
-13.5714285714,11.3333333333
-12.8571428571,10
-10.9523809524,10
-10.4761904762,13.0476190476
-8.5714285714,16.0952380952
-7.380952381,14.9523809524
-6.1904761905,13.5238095238
-5,12.5714285714
-3.8095238095,11.2380952381
-2.8571428571,9.9047619048
-1.9047619048,8.8571428571
-0.2380952381,8.1904761905
1.20067878084037E-31,6.6666666667
0.9523809524,5.8095238095
3.0952380952,5.1428571429
4.5238095238,6.8571428571
5,10.0952380952
6.6666666667,11.1428571429
6.9047619048,12.2857142857
8.3333333333,12.8571428571
8.8095238095,14.1904761905
9.7619047619,15.5238095238
11.6666666667,16.0952380952
13.3333333333,15.1428571429
14.5238095238,12.9523809524
16.4285714286,10.9523809524
17.8571428571,10
18.3333333333,9.0476190476
19.0476190476,11.1428571429
20.2380952381,14.1904761905
21.1904761905,15.0476190476
22.1428571429,16
23.8095238095,17.5238095238
25,18.1904761905
25.9523809524,19.0476190476
28.3333333333,19.3333333333
30.2380952381,18.2857142857
30.4761904762,15.3333333333
32.619047619,13.1428571429
33.3333333333,10.9523809524
33.8095238095,9.8095238095
36.4285714286,10.380952381
35.9523809524,8.4761904762
36.9047619048,7.0476190476
37.8571428571,6
40.2380952381,6.0952380952
41.9047619048,5.9047619048
43.3333333333,5.3333333333
44.5238095238,4.4761904762
46.4285714286,3.5238095238
46.4285714286,6.8571428571
46.9047619048,8.8571428571
49.0476190476,9.9047619048
50.9523809524,10.7619047619
52.8571428571,11.4285714286
53.0952380952,12.5714285714
55,14.1904761905
57.1428571429,15.0476190476
58.8095238095,15.619047619
59.2857142857,17.619047619
60.2380952381,19.619047619
61.1904761905,21.2380952381
62.1428571429,22.2857142857
64.5238095238,22.9523809524
66.1904761905,21.9047619048
67.1428571429,18.9523809524
69.5238095238,17.2380952381
70.2380952381,15.2380952381
70.2380952381,12.380952381
71.6666666667,10.1904761905
72.619047619,8
76.1904761905,6.5714285714
75.4761904762,4.8571428571
76.6666666667,3.9047619048
79.2857142857,3.619047619
80.9523809524,6.7619047619
82.619047619,8.2857142857
83.0952380952,9.9047619048
84.2857142857,11.7142857143
84.7619047619,14
86.4285714286,14.9523809524
87.1428571429,16.5714285714
88.0952380952,18.6666666667
88.8095238095,20.6666666667
89.7619047619,22.5714285714
90.2380952381,23.8095238095
91.4285714286,25.2380952381
91.4285714286,27.3333333333
93.3333333333,28.4761904762
93.8095238095,29.4285714286
94.7619047619,30.6666666667
95,32.0952380952
96.4285714286,33.5238095238
96.9047619048,34.380952381
97.380952381,35.619047619
98.0952380952,33.7142857143
98.5714285714,32
100.9523809524,29.2380952381
102.1428571429,27.2380952381
103.5714285714,26.7619047619
103.3333333333,25.4285714286
103.3333333333,24.1904761905
