x,y
-0.563395678,-0.564824208
-0.609154186,-0.5161051232
-0.6577324881,-0.4587734517
-0.7005469821,-0.4014252175
-0.7462019734,-0.3383380192
-0.7744827272,-0.263706642
-0.8084858824,-0.1833445821
-0.8251562067,-0.0971855888
-0.8360834262,-0.0138836555
-0.8354416228,0.0751986485
-0.8231479833,0.1815558141
-0.8109578604,0.2735448662
-0.7815591267,0.3540891154
-0.7350760019,0.4059468256
-0.6892139772,0.3715958544
-0.6751357104,0.3256592977
-0.6552936354,0.2797393036
-0.6557491087,0.216519604
-0.6903940673,0.2077993599
-0.7102775489,0.2479721085
-0.6926548713,0.2939997598
-0.6432070292,0.3573602421
-0.628424849,0.4091268576
-0.6280107823,0.4665993118
-0.6564778661,0.5153680846
-0.6996443167,0.5238647327
-0.7229686924,0.4864413868
-0.7118137362,0.4347493033
-0.6688750223,0.3946428054
-0.6258949016,0.3602835529
-0.5772337862,0.3144463722
-0.5516279031,0.2685429408
-0.6148434621,0.2942233558
-0.6666556249,0.30269516
-0.718488491,0.3082933414
-0.7532990762,0.2765841156
-0.7593320276,0.2392104577
-0.7190060744,0.2364527736
-0.6810030351,0.3112746214
-0.6489708373,0.3573436795
-0.6169179361,0.4062863602
-0.5705797347,0.4380287114
-0.5327630255,0.4869879548
-0.5094179465,0.5272849234
