x,y
-0.4405228758,-0.7334596154
-0.4928104575,-0.7017867199
-0.539869281,-0.6597040905
-0.5921568627,-0.6280311951
-0.6261437908,-0.5938667895
-0.6732026144,-0.5517841601
-0.7281045752,-0.5018174372
-0.7594771242,-0.4493933344
-0.7960784314,-0.3943241352
-0.8274509804,-0.3366781003
-0.8588235294,-0.260755303
-0.8640522876,-0.1954470213
-0.8640522876,-0.1249509377
-0.8666666667,-0.0570487551
-0.8718954248,0.026536289
-0.8718954248,0.0865885083
-0.8666666667,0.1648833598
-0.8509803922,0.2378880186
-0.8300653595,0.2899708186
-0.8013071895,0.3655011178
-0.7699346405,0.4357924197
-0.7437908497,0.4904520555
-0.7098039216,0.5555043601
-0.6758169935,0.6022799024
-0.6183006536,0.6384579942
-0.6078431373,0.6044471749
-0.6418300654,0.5550606666
-0.6705882353,0.5134729262
-0.6993464052,0.484940016
-0.7333333333,0.448608338
-0.8352941176,0.3239475076
-0.8562091503,0.292752436
-0.8379084967,0.2482465571
-0.7960784314,0.253195447
-0.785620915,0.3131794058
-0.8274509804,0.357838871
-0.8588235294,0.3998191095
-0.8483660131,0.4650250004
-0.8222222222,0.4283008242
-0.8117647059,0.3760132425
-0.8222222222,0.3369170122
-0.8300653595,0.2951927507
-0.8326797386,0.2534343589
-0.8196078431,0.2115735763
-0.7960784314,0.1644226011
-0.7751633987,0.1251215891
-0.7568627451,0.072782812
-0.754248366,0.0205464257
-0.7908496732,0.0468949982
-0.814379085,0.1018788717
-0.8248366013,0.1463335552
-0.8509803922,0.1882796635
-0.8849673203,0.2250550351
-0.9267973856,0.2096622809
-0.8980392157,0.1624771754
-0.877124183,0.102288435
-0.8379084967,0.062867967
-0.8248366013,0.0210071844
-0.8039215686,-0.0235157597
-0.8013071895,-0.0705302138
-0.8326797386,-0.0886021946
-0.8692810458,-0.0361439615
-0.9032679739,0.0032423761
-0.9346405229,-0.0017747743
-0.9137254902,-0.0410757863
-0.8797385621,-0.08307309
-0.8509803922,-0.1119814331
-0.814379085,-0.1513848359
-0.8065359477,-0.1879895561
-0.7960784314,-0.2167784433
-0.7594771242,-0.2561818461
-0.7699346405,-0.274390348
-0.7882352941,-0.2429392993
-0.8222222222,-0.2113858598
-0.8509803922,-0.1876994488
-0.8823529412,-0.1666069387
-0.8875816993,-0.2031263332
-0.8718954248,-0.2371712828
-0.8300653595,-0.2766088159
-0.7725490196,-0.3135377737
-0.7437908497,-0.350279015
-0.7019607843,-0.3975494462
-0.6679738562,-0.4317138518
-0.6287581699,-0.4633014215
-0.5843137255,-0.4949231216
-0.5294117647,-0.4717827949
-0.5529411765,-0.4089660233
-0.5607843137,-0.3645284049
-0.5843137255,-0.3017116333
